productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extCardText,extAttack3,extAttack4
208262,Frosmoth - SWSH007 (Prerelease),Frosmoth SWSH007 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/208262_200w.jpg,3,2545,https://cpt.tcgcsv.com/gkH2,2024-04-08T16:09:30.083,1,SWSH007,Promo,Water,90,Stage 1,[1W] Aurora Beam (30),Mx2,None,2,3.82,5.45,9.48,5.41,5.51,Holofoil,,"<strong>Ability — Ice Dance</strong>
<br>As often as you like during your turn, you may attach a Water Energy card from your hand to 1 of your Benched Water Pokemon.",,
208263,Frosmoth - SWSH007 (Prerelease) [Staff],Frosmoth SWSH007 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/208263_200w.jpg,3,2545,https://cpt.tcgcsv.com/hkH2,2024-04-08T16:09:34.74,1,SWSH007,Promo,Water,90,Stage 1,[1W] Aurora Beam (30),Mx2,None,2,71.24,79.99,199.99,76.66,,Holofoil,,"<strong>Ability — Ice Dance</strong>
<br>As often as you like during your turn, you may attach a Water Energy card from your hand to 1 of your Benched Water Pokemon.",,
208264,Galarian Perrserker - SWSH008 (Prerelease) [Staff],Galarian Perrserker SWSH008 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/208264_200w.jpg,3,2545,https://cpt.tcgcsv.com/jkH2,2024-04-08T16:11:13.987,1,SWSH008,Promo,Metal,120,Stage 1,[1MM] Metal Claw (70),Rx2,G-30,2,54.99,77.49,99.98,65.56,,Holofoil,,"<strong>Ability — Steely Spirit</strong>
<br>Your Metal Pokemon's attacks do 20 more damage to your opponent's Active Pokemon <em>(before applying Weakness and Resistance)</em>.",,
208265,Galarian Perrserker - SWSH008 (Prerelease),Galarian Perrserker SWSH008 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/208265_200w.jpg,3,2545,https://cpt.tcgcsv.com/kkH2,2024-04-08T16:11:00.82,1,SWSH008,Promo,Metal,120,Stage 1,[1MM] Metal Claw (70),Rx2,G-30,2,2.75,4.12,5.0,4.05,4.83,Holofoil,,"<strong>Ability — Steely Spirit</strong>
<br>Your Metal Pokemon's attacks do 20 more damage to your opponent's Active Pokemon <em>(before applying Weakness and Resistance)</em>.",,
208266,Cinccino - SWSH009 (Prerelease),Cinccino SWSH009 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/208266_200w.jpg,3,2545,https://cpt.tcgcsv.com/lkH2,2024-04-08T16:28:28.75,1,SWSH009,Promo,Colorless,90,Stage 1,"[1] Energy Assist (40)
<br>Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon.",Fx2,G-30,1,7.0,8.9,20.0,8.24,9.99,Holofoil,,"<strong>Ability — Make Do</strong>
<br>You may discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards.",,
208267,Cinccino - SWSH009 (Prerelease) [Staff],Cinccino SWSH009 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/208267_200w.jpg,3,2545,https://cpt.tcgcsv.com/mkH2,2024-04-08T16:28:34.563,1,SWSH009,Promo,Colorless,90,Stage 1,"[1] Energy Assist (40)
<br>Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon.",Fx2,G-30,1,75.0,84.38,100.0,77.63,,Holofoil,,"<strong>Ability — Make Do</strong>
<br>You may discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards.",,
210578,Snorlax - SWSH032,Snorlax SWSH032,https://tcgplayer-cdn.tcgplayer.com/product/210578_200w.jpg,3,2545,https://cpt.tcgcsv.com/BfJ2,2021-10-04T13:41:58.42,1,SWSH032,Promo,Colorless,150,Basic,[3] Rolling Tackle (80),Fx2,None,4,17.5,18.0,18.25,13.23,,Holofoil,[4] Heavy Impact (130),,,
210579,Morpeko - SWSH031,Morpeko SWSH031,https://tcgplayer-cdn.tcgplayer.com/product/210579_200w.jpg,3,2545,https://cpt.tcgcsv.com/CfJ2,2021-10-20T14:20:14.143,1,SWSH031,Promo,Lightning,80,Basic,"[1] Famished
<br>Draw a card.",Fx2,None,1,0.02,0.27,15.0,0.29,0.2,Holofoil,"[1L] Thunder Shock (40)
<br>Flip a coin. If heads, your opponent’s Active Pokemon is now Paralyzed.",,,
213096,Flapple - SWSH022 (Prerelease),Flapple SWSH022 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/213096_200w.jpg,3,2545,https://cpt.tcgcsv.com/XfK2,2024-04-08T16:08:35.127,1,SWSH022,Promo,Grass,80,Stage 1,"[2] Acid Spray (60)
<br>Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",Rx2,None,1,4.0,5.67,12.99,5.67,3.79,Holofoil,,"<strong>Ability — Apple Drop</strong>
<br>Once during your turn, you may put 2 damage counters on 1 of your opponent's Pokemon. If you placed any damage counters in this way, shuffle this Pokemon and all attached cards into your deck.",,
213097,Flapple - SWSH022 (Prerelease) [Staff],Flapple SWSH022 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/213097_200w.jpg,3,2545,https://cpt.tcgcsv.com/ZfK2,2025-02-21T03:12:37.507,1,SWSH022,Promo,Grass,80,Stage 1,"[2] Acid Spray (60)
<br>Flip a coin. If heads, discard an Energy from your opponent's Active Pokemon.",Rx2,None,1,80.0,80.0,80.0,37.62,,Holofoil,,"<strong>Ability — Apple Drop</strong>
<br>Once during your turn, you may put 2 damage counters on 1 of your opponent's Pokemon. If you placed any damage counters in this way, shuffle this Pokemon and all attached cards into your deck.",,
213144,Luxray - SWSH023 (Prerelease),Luxray SWSH023 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/213144_200w.jpg,3,2545,https://cpt.tcgcsv.com/VgK2,2024-04-08T15:49:09.04,1,SWSH023,Promo,Lightning,160,Stage 2,"[L] Raid (60+)
<br>If this Pokemon evolved from Luxio during this turn, this attack does 100 more damage.",Fx2,None,1,8.28,11.48,15.12,10.05,8.28,Holofoil,[1L] Head Bolt (120),,,
213145,Luxray - SWSH023 (Prerelease) [Staff],Luxray SWSH023 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/213145_200w.jpg,3,2545,https://cpt.tcgcsv.com/WgK2,2024-04-08T15:49:14.397,1,SWSH023,Promo,Lightning,160,Stage 2,"[L] Raid (60+)
<br>If this Pokemon evolved from Luxio during this turn, this attack does 100 more damage.",Fx2,None,1,14.99,30.17,45.35,53.32,,Holofoil,[1L] Head Bolt (120),,,
213196,Coalossal - SWSH024 (Prerelease),Coalossal SWSH024 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/213196_200w.jpg,3,2545,https://cpt.tcgcsv.com/XhK2,2024-04-08T16:30:37.897,1,SWSH024,Promo,Fighting,160,Stage 2,[3F] Flaming Avalanche (130),Gx2,None,4,2.5,3.92,9.99,3.7,,Holofoil,,"<strong>Ability —Tar Generator</strong>
<br>Once during your turn, you may attach a Fire Energy card, a Fighting Energy card, or 1 of each from your discard pile to your Pokemon in any way you like.",,
213197,Coalossal - SWSH024 (Prerelease) [Staff],Coalossal SWSH024 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/213197_200w.jpg,3,2545,https://cpt.tcgcsv.com/ZhK2,2024-04-08T16:31:58.313,1,SWSH024,Promo,Fighting,160,Stage 2,[3F] Flaming Avalanche (130),Gx2,None,4,60.0,90.01,99.98,17.73,,Holofoil,,"<strong>Ability —Tar Generator</strong>
<br>Once during your turn, you may attach a Fire Energy card, a Fighting Energy card, or 1 of each from your discard pile to your Pokemon in any way you like.",,
213211,Garbodor - SWSH025 (Prerelease),Garbodor SWSH025 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/213211_200w.jpg,3,2545,https://cpt.tcgcsv.com/fjK2,2024-04-08T16:11:27.5,1,SWSH025,Promo,Darkness,120,Stage 1,[2D] Sludge Bomb (80),Fx2,None,2,4.01,5.67,14.99,5.69,5.0,Holofoil,,"<strong>Ability — Poisonous Puddle</strong>
<br>Once during your turn, if a Stadium is in play, you may make your opponent's Active Pokemon Poisoned.",,
213212,Garbodor - SWSH025 (Prerelease) [Staff],Garbodor SWSH025 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/213212_200w.jpg,3,2545,https://cpt.tcgcsv.com/gjK2,2024-04-08T16:13:43.367,1,SWSH025,Promo,Darkness,120,Stage 1,[2D] Sludge Bomb (80),Fx2,None,2,50.0,80.0,85.99,25.31,,Holofoil,,"<strong>Ability — Poisonous Puddle</strong>
<br>Once during your turn, if a Stadium is in play, you may make your opponent's Active Pokemon Poisoned.",,
214228,Copperajah V - SWSH030,Copperajah V SWSH030,https://tcgplayer-cdn.tcgplayer.com/product/214228_200w.jpg,3,2545,https://cpt.tcgcsv.com/BJK2,2021-06-15T12:37:11.307,1,SWSH030,Promo,Metal,220,Basic,"[1MM] Adamantine Press (90)
<br>During your opponent's next turn, this Pokemon takes 30 less damage from attacks <em>(after applying Weakness and Resistance)</em>.",Rx2,G-30,4,0.5,0.99,3.25,0.84,,Holofoil,[1MMM] Wrack Down (180),,,
214233,Zacian V - SWSH018,Zacian V SWSH018,https://tcgplayer-cdn.tcgplayer.com/product/214233_200w.jpg,3,2545,https://cpt.tcgcsv.com/HJK2,2022-12-07T04:42:08.957,1,SWSH018,Promo,Metal,220,Basic,"[MMM] Brave Blade (230)
<br>During your next turn, this Pokemon can't attack.",Rx2,G-30,2,0.3,0.99,10.0,0.72,0.85,Holofoil,,"<strong>Ability — Intrepid Sword</strong>
<br>Once during your turn, you may look at the top 3 cards of your deck and attach any number of Metal Energy cards you find there to this Pokemon. Put the other cards into your hand. If you use this Ability, your turn ends.",,
214234,Zamazenta V - SWSH019,Zamazenta V SWSH019,https://tcgplayer-cdn.tcgplayer.com/product/214234_200w.jpg,3,2545,https://cpt.tcgcsv.com/JJK2,2024-08-20T18:07:45.743,1,SWSH019,Promo,Metal,230,Basic,"[1MM] Assault Tackle (130)
<br>Discard a Special Energy from your opponent's Active Pokémon.",Rx2,G-30,2,0.38,0.99,10.0,0.62,,Holofoil,,"<strong>Ability — Dauntless Shield</strong>
<br>Prevent all damage done to this Pokemon by attacks from your opponent's <strong>Pokemon VMAX</strong>.",,
214235,Polteageist V - SWSH021,Polteageist V SWSH021,https://tcgplayer-cdn.tcgplayer.com/product/214235_200w.jpg,3,2545,https://cpt.tcgcsv.com/KJK2,2023-03-02T17:05:04.493,1,SWSH021,Promo,Psychic,170,Basic,"[2P] Mind Bend (100)
<br>Your opponent's Active Pokemon is now Confused.",Dx2,F-30,1,0.94,1.31,5.0,1.24,1.27,Holofoil,,"<strong>Ability — Teapot of Surprises</strong>
<br>If this Pokemon is in the Active Spot and is damaged by an opponent's attack <em>(even if it is Knocked Out)</em>, choose a random card from your opponent's hand. Your opponent reveals that card and puts it on the bottom of their deck.",,
214237,Mantine - SWSH026,Mantine SWSH026,https://tcgplayer-cdn.tcgplayer.com/product/214237_200w.jpg,3,2545,https://cpt.tcgcsv.com/MJK2,2021-08-30T12:44:43.44,1,SWSH026,Promo,Water,110,Basic,"[W] Water Reserve
<br>Search your deck for up to 3 Water Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",Lx2,None,1,0.84,1.25,7.0,1.31,,Holofoil,[WW] Wave Splash (60),,,
214238,Noctowl - SWSH027,Noctowl SWSH027,https://tcgplayer-cdn.tcgplayer.com/product/214238_200w.jpg,3,2545,https://cpt.tcgcsv.com/NJK2,2024-05-13T08:33:44.737,1,SWSH027,Promo,Colorless,110,Stage 1,[2] Wing Attack (40),Lx2,F-30,1,1.0,1.89,7.0,1.93,2.23,Holofoil,"[3] Carry Off
<br>Choose 1 of your opponent's Benched Pokemon. They shuffle that Pokemon and all attached cards into their deck. Then, shuffle this Pokemon and all attached cards into your deck.",,,
214239,Duraludon - SWSH028,Duraludon SWSH028,https://tcgplayer-cdn.tcgplayer.com/product/214239_200w.jpg,3,2545,https://cpt.tcgcsv.com/PJK2,2025-01-31T10:42:46.517,1,SWSH028,Promo,Metal,130,Basic,[2M] Metal Claw (70),Rx2,G-30,2,0.02,0.52,3.0,0.51,,Holofoil,"[3M] Steel Beam (150)
<br>This Pokemon also does 40 damage to itself.",,,
214240,Rayquaza - SWSH029,Rayquaza SWSH029,https://tcgplayer-cdn.tcgplayer.com/product/214240_200w.jpg,3,2545,https://cpt.tcgcsv.com/QJK2,2022-05-04T11:11:53.517,1,SWSH029,Promo,Colorless,130,Basic,"[2] Jaw Lock (30)
<br>During your opponent's next turn, the Defending Pokemon can't retreat.",Lx2,F-30,2,3.0,6.12,49.99,5.13,5.69,Holofoil,"[3] Power Blast (120)
<br>Discard an Energy from this Pokemon.",,,
214241,Pikachu - SWSH020,Pikachu SWSH020,https://tcgplayer-cdn.tcgplayer.com/product/214241_200w.jpg,3,2545,https://cpt.tcgcsv.com/RJK2,2021-10-05T13:11:34.963,1,SWSH020,Promo,Lightning,70,Basic,"[2] Iron Tail (30x)
<br>Flip a coin until you get tails. This attack does 30 damage for each heads.",Fx2,None,1,94.0,149.85,208.7,103.19,139.99,Holofoil,[1LL] Electro Ball (60),,,
218574,Kangaskhan - SWSH038 (Prerelease),Kangaskhan SWSH038 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/218574_200w.jpg,3,2545,https://cpt.tcgcsv.com/vrM2,2024-04-08T16:14:47.723,1,SWSH038,Promo,Colorless,130,Basic,"[2] Rally Back (30+)
<br>If any of your Pokemon were Knocked Out by damage from an attack from your opponent's Pokemon during their last turn, this attack does 90 more damage.",Fx2,None,2,9.0,11.37,33.0,11.34,11.16,Holofoil,[3] Hammer In (100),,,
218576,Kangaskhan - SWSH038 (Prerelease) [Staff],Kangaskhan SWSH038 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/218576_200w.jpg,3,2545,https://cpt.tcgcsv.com/xrM2,2024-04-08T15:48:43.617,1,SWSH038,Promo,Colorless,130,Basic,"[2] Rally Back (30+)
<br>If any of your Pokemon were Knocked Out by damage from an attack from your opponent's Pokemon during their last turn, this attack does 90 more damage.",Fx2,None,2,50.2,65.0,89.99,59.05,,Holofoil,[3] Hammer In (100),,,
218578,Decidueye - SWSH035 (Prerelease) [Staff],Decidueye SWSH035 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/218578_200w.jpg,3,2545,https://cpt.tcgcsv.com/BrM2,2024-04-08T16:36:14.963,1,SWSH035,Promo,Grass,140,Stage 2,"[1G] Splitting Arrow (90)
<br>This attack also does 20 damage to 2 of your opponent's Benched Pokemon. <em>(Don't apply Weakness or Resistance for Benched Pokemon.)</em>",Rx2,None,2,50.0,64.99,75.0,51.67,,Holofoil,,"<strong>Ability — Deep Forest Camo</strong>
<br>Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon V and Pokemon GX.",,
218579,Decidueye - SWSH035 (Prerelease),Decidueye SWSH035 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/218579_200w.jpg,3,2545,https://cpt.tcgcsv.com/CrM2,2024-04-08T16:36:08.57,1,SWSH035,Promo,Grass,140,Stage 2,"[1G] Splitting Arrow (90)
<br>This attack also does 20 damage to 2 of your opponent's Benched Pokemon. <em>(Don't apply Weakness or Resistance for Benched Pokemon.)</em>",Rx2,None,2,4.81,5.85,12.0,5.68,5.96,Holofoil,,"<strong>Ability — Deep Forest Camo</strong>
<br>Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon V and Pokemon GX.",,
218580,Arctozolt - SWSH036 (Prerelease),Arctozolt SWSH036 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/218580_200w.jpg,3,2545,https://cpt.tcgcsv.com/DrM2,2024-04-08T16:19:37.437,1,SWSH036,Promo,Lightning,130,Stage 1,[1L] Electro Ball (70),Fx2,None,2,6.49,8.02,11.24,7.74,7.47,Holofoil,,"<strong>Ability — Biting Whirlpool</strong>
<br>Whenever your opponent attaches an Energy card from their hand to 1 of their Pokemon, put 2 damage counters on that Pokemon.",,
218581,Arctozolt - SWSH036 (Prerelease) [Staff],Arctozolt SWSH036 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/218581_200w.jpg,3,2545,https://cpt.tcgcsv.com/FrM2,2024-04-08T16:19:42.963,1,SWSH036,Promo,Lightning,130,Stage 1,[1L] Electro Ball (70),Fx2,None,2,31.35,45.37,119.99,44.73,,Holofoil,,"<strong>Ability — Biting Whirlpool</strong>
<br>Whenever your opponent attaches an Energy card from their hand to 1 of their Pokemon, put 2 damage counters on that Pokemon.",,
218582,Hydreigon - SWSH037 (Prerelease) [Staff],Hydreigon SWSH037 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/218582_200w.jpg,3,2545,https://cpt.tcgcsv.com/GrM2,2024-04-08T16:14:00.233,1,SWSH037,Promo,Darkness,160,Stage 2,[1DD] Pitch-Black Fangs (130),Gx2,None,3,94.48,104.0,143.4,82.48,,Holofoil,,"<strong>Ability — Dark Squall</strong>
<br>As often as you like during your turn, you may attach a Darkness Energy card from your hand to 1 of your Pokemon.",,
218583,Hydreigon - SWSH037 (Prerelease),Hydreigon SWSH037 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/218583_200w.jpg,3,2545,https://cpt.tcgcsv.com/HrM2,2024-04-08T16:13:56.423,1,SWSH037,Promo,Darkness,160,Stage 2,[1DD] Pitch-Black Fangs (130),Gx2,None,3,5.0,7.49,29.95,7.16,7.3,Holofoil,,"<strong>Ability — Dark Squall</strong>
<br>As often as you like during your turn, you may attach a Darkness Energy card from your hand to 1 of your Pokemon.",,
220268,Pikachu - SWSH039,Pikachu SWSH039,https://tcgplayer-cdn.tcgplayer.com/product/220268_200w.jpg,3,2545,https://cpt.tcgcsv.com/n7N2,2025-05-08T21:03:48.987,1,SWSH039,Promo,Lightning,60,Basic,"[1] Tail Whip 
<br>Flip a coin. If heads, during your opponent's next turn, the Defending Pokemon can't attack.",Fx2,None,1,3.47,12.61,99.99,9.7,,Holofoil,,,,
220269,Hatenna - SWSH040,Hatenna SWSH040,https://tcgplayer-cdn.tcgplayer.com/product/220269_200w.jpg,3,2545,https://cpt.tcgcsv.com/p7N2,2024-08-20T18:07:45.807,1,SWSH040,Promo,Psychic,60,Basic,"[1] Find a Friend
<br>Search your deck for a Pokemon, reveal it, and put it into your hand. Then, shuffle your deck.",Dx2,F-30,1,0.2,0.42,5.03,0.42,,Holofoil,[2] Psyshot (20),,,
220270,Flareon - SWSH041,Flareon SWSH041,https://tcgplayer-cdn.tcgplayer.com/product/220270_200w.jpg,3,2545,https://cpt.tcgcsv.com/q7N2,2021-06-15T12:42:44.69,1,SWSH041,Promo,Fire,110,Stage 1,"[R] Singe
<br>Your opponent's Active Pokemon is now Burned.",Wx2,None,2,4.26,5.49,9.32,5.15,,Holofoil,"[1RR] Kindle (120)
<br>Discard an Energy from this Pokemon. If you do, discard an Energy from your opponent's Active Pokemon.",,,
220271,Eevee - SWSH042,Eevee SWSH042,https://tcgplayer-cdn.tcgplayer.com/product/220271_200w.jpg,3,2545,https://cpt.tcgcsv.com/r7N2,2021-09-11T13:59:07.637,1,SWSH042,Promo,Colorless,60,Basic,"[1] Signs of Evolution
<br>Search your deck for a card that evolves from Eevee, reveal it, and put it into your hand. Then, shuffle your deck.",Fx2,None,1,3.87,5.92,11.0,5.59,,Holofoil,"[2] Wild Kick (30)
<br>Flip a coin. If tails, this attack does nothing.",,,
220273,Galarian Sirfetch'd V - SWSH043,Galarian Sirfetchd V SWSH043,https://tcgplayer-cdn.tcgplayer.com/product/220273_200w.jpg,3,2545,https://cpt.tcgcsv.com/t7N2,2021-06-15T12:43:11.49,1,SWSH043,Promo,Fighting,210,Basic,"[1FF] Meteor Smash (200)
<br>During your next turn, this Pokemon can't attack.",Px2,None,2,0.3,1.0,9.99,0.81,2.24,Holofoil,,"<strong>Ability — Resolute Spear</strong>
<br>Once during your turn, when this Pokemon moves from your Bench to the Active Spot, you may move any amount of Fighting Energy from your other Pokemon to it.",,
220279,Eternatus V - SWSH044,Eternatus V SWSH044,https://tcgplayer-cdn.tcgplayer.com/product/220279_200w.jpg,3,2545,https://cpt.tcgcsv.com/C7N2,2023-06-29T14:47:59.097,1,SWSH044,Promo,Darkness,220,Basic,"[1] Power Accelerator (30)
<br>You may attach a Darkness Energy card from your hand to 1 of your Benched Pokemon.",Fx2,None,2,1.25,2.34,26.83,2.06,2.49,Holofoil,"[3D] Dynamax Cannon (120+)
<br>If your opponent's Active Pokemon is a Pokemon VMAX, this attack does 120 more damage.",,,
