productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extCardType
84077,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84077_200w.jpg,3,1382,https://cpt.tcgcsv.com/zFH,2023-01-10T15:53:19.92,1,9/116,Common,70,Basic,"[G] Poison Sting - Flip a coin.  If heads, the Defending Pokemon is now Poisoned.",,Rx2,W-20,2,0.15,0.25,1.09,0.25,0.2,Normal,,
84077,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84077_200w.jpg,3,1382,https://cpt.tcgcsv.com/zFH,2023-01-10T15:53:19.92,1,9/116,Common,70,Basic,"[G] Poison Sting - Flip a coin.  If heads, the Defending Pokemon is now Poisoned.",,Rx2,W-20,2,0.15,0.39,3.75,0.25,,Reverse Holofoil,,
84082,Cacturne,Cacturne,https://tcgplayer-cdn.tcgplayer.com/product/84082_200w.jpg,3,1382,https://cpt.tcgcsv.com/GFH,2023-01-10T15:53:28.89,1,10/116,Rare,90,Stage 1,[G] Rapid-Fire Needles (60) Does 30 damage to 1 of your Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),"[1G] Payback (30+) If your opponent has only 1 Prize card left, this attack does 60 more damage and discard and Energy attached to the Defending Pokemon.",Rx2,W-20,1,0.22,0.49,2.0,0.54,,Normal,,
84082,Cacturne,Cacturne,https://tcgplayer-cdn.tcgplayer.com/product/84082_200w.jpg,3,1382,https://cpt.tcgcsv.com/GFH,2023-01-10T15:53:28.89,1,10/116,Rare,90,Stage 1,[G] Rapid-Fire Needles (60) Does 30 damage to 1 of your Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),"[1G] Payback (30+) If your opponent has only 1 Prize card left, this attack does 60 more damage and discard and Energy attached to the Defending Pokemon.",Rx2,W-20,1,0.4,0.98,4.0,1.12,,Reverse Holofoil,,
84167,Chandelure (Team Plasma),Chandelure Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84167_200w.jpg,3,1382,https://cpt.tcgcsv.com/mHH,2023-01-10T15:54:32.243,1,16/116,Holo Rare,130,Stage 2,[1RR] Absorb Life (70) Heal 30 damage from this Pokemon.,,Wx2,,2,2.25,3.44,9.0,3.59,,Holofoil,"Flare Navigate - Once during your turn (before your attack), you may search your deck for a R Energy card and attach it to 1 of your Pokemon.  If you do, put 1 damage counter on that Pokemon.  Shuffle your deck afterward.  (Ability)",
84167,Chandelure (Team Plasma),Chandelure Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84167_200w.jpg,3,1382,https://cpt.tcgcsv.com/mHH,2023-01-10T15:54:32.243,1,16/116,Holo Rare,130,Stage 2,[1RR] Absorb Life (70) Heal 30 damage from this Pokemon.,,Wx2,,2,2.32,4.2,10.0,3.56,,Reverse Holofoil,"Flare Navigate - Once during your turn (before your attack), you may search your deck for a R Energy card and attach it to 1 of your Pokemon.  If you do, put 1 damage counter on that Pokemon.  Shuffle your deck afterward.  (Ability)",
84312,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84312_200w.jpg,3,1382,https://cpt.tcgcsv.com/gLH,2023-01-10T15:59:31.067,1,35/116,Common,70,Basic,[1L] Static Shock (20),,Fx2,,2,0.09,0.25,1.49,0.19,,Normal,,
84312,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84312_200w.jpg,3,1382,https://cpt.tcgcsv.com/gLH,2023-01-10T15:59:31.067,1,35/116,Common,70,Basic,[1L] Static Shock (20),,Fx2,,2,0.26,0.55,2.0,0.68,,Reverse Holofoil,,
84387,Cofagrigus (Team Plasma) (56),Cofagrigus Team Plasma 56,https://tcgplayer-cdn.tcgplayer.com/product/84387_200w.jpg,3,1382,https://cpt.tcgcsv.com/MMH,2023-03-23T12:50:19.49,1,56/116,Holo Rare,100,Stage 1,"[1PP] Slap of Misfortune (70) Whenever your opponent flips a coin during his or here next turn, treat it as tails.",,Dx2,,2,1.3,5.05,9.99,5.31,,Holofoil,"Six Feet Under - Once during your turn (before your attack), you may Knock Out this Pokemon.  If you do, put 3 damage counters on your opponent's Pokemon in any way you like.  (Ability)",
84387,Cofagrigus (Team Plasma) (56),Cofagrigus Team Plasma 56,https://tcgplayer-cdn.tcgplayer.com/product/84387_200w.jpg,3,1382,https://cpt.tcgcsv.com/MMH,2023-03-23T12:50:19.49,1,56/116,Holo Rare,100,Stage 1,"[1PP] Slap of Misfortune (70) Whenever your opponent flips a coin during his or here next turn, treat it as tails.",,Dx2,,2,1.8,3.0,990.0,3.77,,Reverse Holofoil,"Six Feet Under - Once during your turn (before your attack), you may Knock Out this Pokemon.  If you do, put 3 damage counters on your opponent's Pokemon in any way you like.  (Ability)",
84388,Cofagrigus (Team Plasma) (57),Cofagrigus Team Plasma 57,https://tcgplayer-cdn.tcgplayer.com/product/84388_200w.jpg,3,1382,https://cpt.tcgcsv.com/NMH,2023-01-10T16:03:32.237,1,57/116,Rare,100,Stage 1,[1] Elongating Arms - This attack does 30 damage to 1 of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2P] Crazy Slap (40x) Flip 4 coins.  This attack does 40 damage times the number of heads.,Dx2,,2,0.38,1.22,3.75,1.48,,Normal,,
84388,Cofagrigus (Team Plasma) (57),Cofagrigus Team Plasma 57,https://tcgplayer-cdn.tcgplayer.com/product/84388_200w.jpg,3,1382,https://cpt.tcgcsv.com/NMH,2023-01-10T16:03:32.237,1,57/116,Rare,100,Stage 1,[1] Elongating Arms - This attack does 30 damage to 1 of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2P] Crazy Slap (40x) Flip 4 coins.  This attack does 40 damage times the number of heads.,Dx2,,2,1.79,3.0,10.0,4.15,,Reverse Holofoil,,
84515,Cryogonal (Team Plasma),Cryogonal Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84515_200w.jpg,3,1382,https://cpt.tcgcsv.com/kQH,2025-02-05T21:12:08.083,1,30/116,Uncommon,80,Basic,"[1] Call Sign - Search your deck for a W Pokemon, reveal it, and put it into your hand.  Shuffle your deck afterward.",[W] Cryofreeze (10) Discard an Energy attached to this Pokemon.  The Defending Pokemon can't attack during your opponent's next turn.,Mx2,,1,0.19,0.31,1.39,0.37,,Normal,,
84515,Cryogonal (Team Plasma),Cryogonal Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84515_200w.jpg,3,1382,https://cpt.tcgcsv.com/kQH,2025-02-05T21:12:08.083,1,30/116,Uncommon,80,Basic,"[1] Call Sign - Search your deck for a W Pokemon, reveal it, and put it into your hand.  Shuffle your deck afterward.",[W] Cryofreeze (10) Discard an Energy attached to this Pokemon.  The Defending Pokemon can't attack during your opponent's next turn.,Mx2,,1,0.98,1.7,10.0,1.78,,Reverse Holofoil,,
84731,Deino (75),Deino 75,https://tcgplayer-cdn.tcgplayer.com/product/84731_200w.jpg,3,1382,https://cpt.tcgcsv.com/FVH,2023-01-10T16:10:08.67,1,75/116,Common,60,Basic,[1D] Push Down (20) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,[2D] Bite (30),Fx2,P-20,2,0.22,0.33,1.0,0.32,,Normal,,
84731,Deino (75),Deino 75,https://tcgplayer-cdn.tcgplayer.com/product/84731_200w.jpg,3,1382,https://cpt.tcgcsv.com/FVH,2023-01-10T16:10:08.67,1,75/116,Common,60,Basic,[1D] Push Down (20) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,[2D] Bite (30),Fx2,P-20,2,0.25,0.94,6.0,0.85,,Reverse Holofoil,,
84732,Deino (76),Deino 76,https://tcgplayer-cdn.tcgplayer.com/product/84732_200w.jpg,3,1382,https://cpt.tcgcsv.com/GVH,2025-02-05T21:12:08.147,1,76/116,Common,60,Basic,[2] Slam (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,,Fx2,P-20,2,0.14,0.31,1.5,0.31,,Normal,,
84732,Deino (76),Deino 76,https://tcgplayer-cdn.tcgplayer.com/product/84732_200w.jpg,3,1382,https://cpt.tcgcsv.com/GVH,2025-02-05T21:12:08.147,1,76/116,Common,60,Basic,[2] Slam (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,,Fx2,P-20,2,0.33,0.69,3.12,0.66,,Reverse Holofoil,,
84775,Deoxys EX (Team Plasma),Deoxys EX Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84775_200w.jpg,3,1382,https://cpt.tcgcsv.com/wWH,2023-01-10T16:03:01.383,1,53/116,Ultra Rare,170,Basic,"[1P] Helix Force (30+) If this Pokemon has any Plasma Energy attached to it, this attack does 30 more damage for each Energy attached to the Defending Pokemon.",,Px2,,2,16.0,20.98,39.99,27.34,,Holofoil,Power Connect - Your Team Plasma Pokemon's attacks (excluding Deoxys-EX) do 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),
84777,Deoxys EX (Team Plasma) (Full Art),Deoxys EX Team Plasma Full Art,https://tcgplayer-cdn.tcgplayer.com/product/84777_200w.jpg,3,1382,https://cpt.tcgcsv.com/zWH,2023-01-10T16:15:39.4,1,111/116,Ultra Rare,170,Basic,"[1P] Helix Force (30+) If this Pokemon has any Plasma Energy attached to it, this attack does 30 more damage for each Energy attached to the Defending Pokemon.",,Px2,,2,499.99,499.99,500.0,180.5,,Holofoil,Power Connect - Your Team Plasma Pokemon's attacks (excluding Deoxys-EX) do 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  (Ability),Psychic
84904,Dragonair,Dragonair,https://tcgplayer-cdn.tcgplayer.com/product/84904_200w.jpg,3,1382,https://cpt.tcgcsv.com/6-H,2023-01-10T16:11:35.137,1,82/116,Uncommon,70,Stage 1,"[L] Wrap (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[2G] Tail Smack (50),Ox2,,1,0.75,1.5,4.99,1.61,,Normal,,
84904,Dragonair,Dragonair,https://tcgplayer-cdn.tcgplayer.com/product/84904_200w.jpg,3,1382,https://cpt.tcgcsv.com/6-H,2023-01-10T16:11:35.137,1,82/116,Uncommon,70,Stage 1,"[L] Wrap (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[2G] Tail Smack (50),Ox2,,1,3.7,6.16,15.0,7.16,,Reverse Holofoil,,
84916,Dragonite,Dragonite,https://tcgplayer-cdn.tcgplayer.com/product/84916_200w.jpg,3,1382,https://cpt.tcgcsv.com/l-H,2023-01-10T16:11:43.073,1,83/116,Holo Rare,150,Stage 2,[3] Deafen (60) Your opponent can't play any Item cards from his or her hand during his or her next turn.,[2GL] Healwing (90) Heal 30 damage from this Pokemon.,Ox2,,3,5.0,7.74,49.99,12.08,19.99,Holofoil,,
84916,Dragonite,Dragonite,https://tcgplayer-cdn.tcgplayer.com/product/84916_200w.jpg,3,1382,https://cpt.tcgcsv.com/l-H,2023-01-10T16:11:43.073,1,83/116,Holo Rare,150,Stage 2,[3] Deafen (60) Your opponent can't play any Item cards from his or her hand during his or her next turn.,[2GL] Healwing (90) Heal 30 damage from this Pokemon.,Ox2,,3,8.05,23.22,50.0,17.91,,Reverse Holofoil,,
84939,Dratini,Dratini,https://tcgplayer-cdn.tcgplayer.com/product/84939_200w.jpg,3,1382,https://cpt.tcgcsv.com/P-H,2023-01-10T16:11:26.827,1,81/116,Common,50,Basic,[G] Shed Skin - Heal 20 damage from this Pokemon.,[1L] Tail Smack (20),Ox2,,1,0.19,0.32,0.99,0.36,,Normal,,
84939,Dratini,Dratini,https://tcgplayer-cdn.tcgplayer.com/product/84939_200w.jpg,3,1382,https://cpt.tcgcsv.com/P-H,2023-01-10T16:11:26.827,1,81/116,Common,50,Basic,[G] Shed Skin - Heal 20 damage from this Pokemon.,[1L] Tail Smack (20),Ox2,,1,0.89,3.81,15.0,4.08,,Reverse Holofoil,,
85092,Eevee (89),Eevee 89,https://tcgplayer-cdn.tcgplayer.com/product/85092_200w.jpg,3,1382,https://cpt.tcgcsv.com/S2J,2024-02-22T10:04:38.067,1,89/116,Common,60,Basic,"[1] Growl - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).","[2] Quick Attack (10+) Flip a coin.  If heads, this attack does 10 more damage.",Fx2,,1,0.19,0.71,30.0,0.76,0.45,Normal,,
85092,Eevee (89),Eevee 89,https://tcgplayer-cdn.tcgplayer.com/product/85092_200w.jpg,3,1382,https://cpt.tcgcsv.com/S2J,2024-02-22T10:04:38.067,1,89/116,Common,60,Basic,"[1] Growl - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).","[2] Quick Attack (10+) Flip a coin.  If heads, this attack does 10 more damage.",Fx2,,1,5.32,10.95,30.0,6.4,5.32,Reverse Holofoil,,
85093,Eevee (90),Eevee 90,https://tcgplayer-cdn.tcgplayer.com/product/85093_200w.jpg,3,1382,https://cpt.tcgcsv.com/T2J,2023-01-10T16:12:47.16,1,90/116,Common,60,Basic,[1] Signs of Evolution - Search your deck for 3 Pokemon of different types that evolve from Eevee.  Reveal them and put them into your hand.  Shuffle your deck afterward.,[3] Bite (30),Fx2,,1,0.24,1.05,4.39,1.26,,Normal,,
85093,Eevee (90),Eevee 90,https://tcgplayer-cdn.tcgplayer.com/product/85093_200w.jpg,3,1382,https://cpt.tcgcsv.com/T2J,2023-01-10T16:12:47.16,1,90/116,Common,60,Basic,[1] Signs of Evolution - Search your deck for 3 Pokemon of different types that evolve from Eevee.  Reveal them and put them into your hand.  Shuffle your deck afterward.,[3] Bite (30),Fx2,,1,5.6,9.99,30.0,8.55,,Reverse Holofoil,,
85162,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/85162_200w.jpg,3,1382,https://cpt.tcgcsv.com/g5J,2023-01-10T15:59:12.913,1,33/116,Holo Rare,90,Stage 1,[2L] Electro Ball (60),,Fx2,,1,2.4,3.5,11.19,3.83,,Holofoil,"Magnetic Draw - Once during your turn (before your attack), you may draw cards until you have 4 cards in your hand.  (Ability)",
85162,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/85162_200w.jpg,3,1382,https://cpt.tcgcsv.com/g5J,2023-01-10T15:59:12.913,1,33/116,Holo Rare,90,Stage 1,[2L] Electro Ball (60),,Fx2,,1,2.58,4.68,7.0,3.65,,Reverse Holofoil,"Magnetic Draw - Once during your turn (before your attack), you may draw cards until you have 4 cards in your hand.  (Ability)",
85203,Empoleon (117 Secret Rare),Empoleon 117 Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/85203_200w.jpg,3,1382,https://cpt.tcgcsv.com/56J,2023-01-10T16:16:34.83,1,117/116,Secret Rare,140,Stage 2,[W] Attack Command (10x) Does 10 damage times the number of Pokemon in play (both yours and your opponent's).,,Lx2,,2,149.99,157.49,174.99,154.65,,Holofoil,"Diving Draw - Once during your turn (before your attack), you may discard a card from your hand.  If you do, draw 2 cards.  (Ability)",Water
85328,Espeon (Team Plasma),Espeon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85328_200w.jpg,3,1382,https://cpt.tcgcsv.com/B8J,2023-01-15T17:33:49.443,1,48/116,Uncommon,90,Stage 1,[1] Psy Alert (20) Draw cards until you have 6 cards in your hand.,[P] Shadow Ball - This attack does 40 damage to 1 of your opponent's Pokemon.  Also apply Weakness and Resistance for Benched Pokemon.,Px2,,1,2.18,3.59,6.0,3.61,,Normal,,
85328,Espeon (Team Plasma),Espeon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85328_200w.jpg,3,1382,https://cpt.tcgcsv.com/B8J,2023-01-15T17:33:49.443,1,48/116,Uncommon,90,Stage 1,[1] Psy Alert (20) Draw cards until you have 6 cards in your hand.,[P] Shadow Ball - This attack does 40 damage to 1 of your opponent's Pokemon.  Also apply Weakness and Resistance for Benched Pokemon.,Px2,,1,17.37,38.97,50.0,23.21,,Reverse Holofoil,,
85350,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/85350_200w.jpg,3,1382,https://cpt.tcgcsv.com/09J,2025-01-11T11:37:06.083,1,4/116,Uncommon,30,Basic,[1G] Seed Bomb (20),,Rx2,W-20,1,1.75,2.87,8.75,2.81,3.79,Normal,"Propagation - Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon into your hand.  (Ability)",
85350,Exeggcute,Exeggcute,https://tcgplayer-cdn.tcgplayer.com/product/85350_200w.jpg,3,1382,https://cpt.tcgcsv.com/09J,2025-01-11T11:37:06.083,1,4/116,Uncommon,30,Basic,[1G] Seed Bomb (20),,Rx2,W-20,1,3.63,6.99,19.99,8.21,,Reverse Holofoil,"Propagation - Once during your turn (before your attack), if this Pokemon is in your discard pile, you may put this Pokemon into your hand.  (Ability)",
85363,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/85363_200w.jpg,3,1382,https://cpt.tcgcsv.com/h9J,2023-01-10T15:52:39.693,1,5/116,Rare,100,Stage 1,[1] Blockage (10) Your opponent can't play any Supporter cards from his or her hand during his or her next turn.,"[2G] Stomp (60+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,W-20,2,0.99,1.09,2.3,1.09,,Normal,,
85363,Exeggutor,Exeggutor,https://tcgplayer-cdn.tcgplayer.com/product/85363_200w.jpg,3,1382,https://cpt.tcgcsv.com/h9J,2023-01-10T15:52:39.693,1,5/116,Rare,100,Stage 1,[1] Blockage (10) Your opponent can't play any Supporter cards from his or her hand during his or her next turn.,"[2G] Stomp (60+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,W-20,2,2.69,4.9,8.0,3.8,,Reverse Holofoil,,
85502,Flareon (Team Plasma),Flareon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85502_200w.jpg,3,1382,https://cpt.tcgcsv.com/3dJ,2023-10-13T08:17:48.81,1,12/116,Uncommon,100,Stage 1,[2] Vengeance (20+) Does 10 more damage for each Pokemon in your discard pile.,[2R] Heat Tackle (90) This Pokemon does 10 damage to itself.,Wx2,,2,1.5,3.11,8.85,3.16,,Normal,,
85502,Flareon (Team Plasma),Flareon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85502_200w.jpg,3,1382,https://cpt.tcgcsv.com/3dJ,2023-10-13T08:17:48.81,1,12/116,Uncommon,100,Stage 1,[2] Vengeance (20+) Does 10 more damage for each Pokemon in your discard pile.,[2R] Heat Tackle (90) This Pokemon does 10 damage to itself.,Wx2,,2,10.46,13.36,30.0,17.18,,Reverse Holofoil,,
85510,Float Stone,Float Stone,https://tcgplayer-cdn.tcgplayer.com/product/85510_200w.jpg,3,1382,https://cpt.tcgcsv.com/ddJ,2024-12-08T17:15:26.133,1,99/116,Uncommon,0,Tool,The Pokemon this card is attached to has no Retreat Cost.,,,,,4.0,6.15,19.99,7.47,,Normal,Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.,Item
85510,Float Stone,Float Stone,https://tcgplayer-cdn.tcgplayer.com/product/85510_200w.jpg,3,1382,https://cpt.tcgcsv.com/ddJ,2024-12-08T17:15:26.133,1,99/116,Uncommon,0,Tool,The Pokemon this card is attached to has no Retreat Cost.,,,,,9.79,10.42,30.0,10.84,,Reverse Holofoil,Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.,Item
85577,Frozen City (Team Plasma),Frozen City Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85577_200w.jpg,3,1382,https://cpt.tcgcsv.com/zfJ,2023-01-10T16:13:58.153,1,100/116,Uncommon,0,Stadium,"Whenever any player attaches an Energy from his or her hand to 1 of his or her Pokemon (excluding Team Plasma Pokemon), put 2 damage counters on that Pokemon.",,,,,0.4,1.13,4.74,1.2,,Normal,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",Stadium
85577,Frozen City (Team Plasma),Frozen City Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85577_200w.jpg,3,1382,https://cpt.tcgcsv.com/zfJ,2023-01-10T16:13:58.153,1,100/116,Uncommon,0,Stadium,"Whenever any player attaches an Energy from his or her hand to 1 of his or her Pokemon (excluding Team Plasma Pokemon), put 2 damage counters on that Pokemon.",,,,,1.4,2.82,8.0,2.16,,Reverse Holofoil,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",Stadium
85617,Garbodor (119 Secret Rare),Garbodor 119 Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/85617_200w.jpg,3,1382,https://cpt.tcgcsv.com/mgJ,2023-01-10T16:16:48.287,1,119/116,Secret Rare,100,Stage 1,[1PP] Sludge Toss (60),,Px2,,3,109.99,117.2,199.96,159.78,,Holofoil,"Garbotoxin - If this Pokemon has a Pokemon Tool card attached to it, each Pokemon in play, in each player's hand, and in each player's discard pile has no Abilities (except for Garbotoxin).  (Ability)",Psychic
85626,Garchomp (120 Secret Rare),Garchomp 120 Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/85626_200w.jpg,3,1382,https://cpt.tcgcsv.com/xgJ,2023-01-10T16:16:54.02,1,120/116,Secret Rare,140,Stage 2,[F] Mach Cut (60) Discard a Special Energy attached to the Defending Pokemon.,[FW] Dragonblade (100) Discard the top 2 cards of your deck.,Ox2,,1,499.99,499.99,499.99,264.38,,Holofoil,,Dragon
85694,Ghetsis (Team Plasma),Ghetsis Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85694_200w.jpg,3,1382,https://cpt.tcgcsv.com/VhJ,2023-01-10T16:14:34.1,1,101/116,Holo Rare,0,Supporter,"Your opponent reveals his or her hand and shuffles all Item cards found there into his or her deck.  Then, draw a number of cards equal to the number of Item cards your opponent shuffled into his or her deck.",,,,,0.95,1.5,5.0,1.57,,Holofoil,You may play only 1 Supporter card per turn (before your attack).,Supporter
85694,Ghetsis (Team Plasma),Ghetsis Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85694_200w.jpg,3,1382,https://cpt.tcgcsv.com/VhJ,2023-01-10T16:14:34.1,1,101/116,Holo Rare,0,Supporter,"Your opponent reveals his or her hand and shuffles all Item cards found there into his or her deck.  Then, draw a number of cards equal to the number of Item cards your opponent shuffled into his or her deck.",,,,,1.0,4.99,10.0,4.33,,Reverse Holofoil,You may play only 1 Supporter card per turn (before your attack).,Supporter
85695,Ghetsis (Team Plasma) (Full Art),Ghetsis Team Plasma Full Art,https://tcgplayer-cdn.tcgplayer.com/product/85695_200w.jpg,3,1382,https://cpt.tcgcsv.com/WhJ,2023-08-27T15:19:24.443,1,115/116,Ultra Rare,0,Supporter,"Your opponent reveals his or her hand and shuffles all Item cards found there into his or her deck.  Then, draw a number of cards equal to the number of Item cards your opponent shuffled into his or her deck.",,,,,70.99,82.4,129.99,76.7,,Holofoil,You may play only 1 Supporter card per turn (before your attack).,Supporter
