productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardText
83854,Black Kyurem EX,Black Kyurem EX,https://tcgplayer-cdn.tcgplayer.com/product/83854_200w.jpg,3,1413,https://cpt.tcgcsv.com/6zH,2024-02-15T15:18:05.67,1,95/135,Ultra Rare,180,Basic,[3] Slash (60),[1LWW] Black Ballista (200) Discard 3 Energy attached to this Pokemon.,Ox2,,3,2.78,4.92,14.75,4.96,,Holofoil,,
83897,Blastoise,Blastoise,https://tcgplayer-cdn.tcgplayer.com/product/83897_200w.jpg,3,1413,https://cpt.tcgcsv.com/ZzH,2023-01-10T17:25:28.247,1,137/135,Secret Rare,140,Stage 2,[4] Hydro Pump (60+) Does 10 more damage for each W Energy attached to this Pokemon.,,Gx2,,4,199.98,233.89,499.99,185.85,499.99,Holofoil,,"Deluge - As often as you like during your turn (before your attack), you may attach a W Energy card from your hand to 1 of your Pokemon.  (Ability)"
83946,Bouffalant (Team Plasma),Bouffalant Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83946_200w.jpg,3,1413,https://cpt.tcgcsv.com/XBH,2023-01-10T17:21:51.437,1,114/135,Rare,100,Basic,[1] Tool Breaker - Discard a Pokemon Tool card attached to the Defending Pokemon.,[4] Hammer In (70),Fx2,,2,0.44,0.72,5.25,0.73,,Normal,,
83946,Bouffalant (Team Plasma),Bouffalant Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/83946_200w.jpg,3,1413,https://cpt.tcgcsv.com/XBH,2023-01-10T17:21:51.437,1,114/135,Rare,100,Basic,[1] Tool Breaker - Discard a Pokemon Tool card attached to the Defending Pokemon.,[4] Hammer In (70),Fx2,,2,0.74,1.6,6.0,1.75,,Reverse Holofoil,,
83952,Braviary,Braviary,https://tcgplayer-cdn.tcgplayer.com/product/83952_200w.jpg,3,1413,https://cpt.tcgcsv.com/3CH,2025-05-08T10:13:55.437,1,116/135,Rare,100,Stage 1,"[3] Wild Edge (60+) You may do 20 more damage.  If you do, this Pokemon does 20 damage to itself.",,Lx2,F-20,2,0.34,0.53,1.51,0.52,0.75,Normal,,"Big Wing - Once during your turn (before your attack), if this Pokemon is your Active Pokemon, you may have your opponent switch his or her Active Pokemon with 1 of his or her Benched Pokemon.  (Ability)"
83952,Braviary,Braviary,https://tcgplayer-cdn.tcgplayer.com/product/83952_200w.jpg,3,1413,https://cpt.tcgcsv.com/3CH,2025-05-08T10:13:55.437,1,116/135,Rare,100,Stage 1,"[3] Wild Edge (60+) You may do 20 more damage.  If you do, this Pokemon does 20 damage to itself.",,Lx2,F-20,2,0.38,0.99,3.0,0.91,,Reverse Holofoil,,"Big Wing - Once during your turn (before your attack), if this Pokemon is your Active Pokemon, you may have your opponent switch his or her Active Pokemon with 1 of his or her Benched Pokemon.  (Ability)"
84117,Carvanha,Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/84117_200w.jpg,3,1413,https://cpt.tcgcsv.com/mGH,2023-01-10T17:01:43.61,1,32/135,Common,60,Basic,[1W] Bite (20),,Lx2,,1,0.06,0.25,1.49,0.28,0.2,Normal,,
84117,Carvanha,Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/84117_200w.jpg,3,1413,https://cpt.tcgcsv.com/mGH,2023-01-10T17:01:43.61,1,32/135,Common,60,Basic,[1W] Bite (20),,Lx2,,1,0.1,0.63,2.0,0.84,0.25,Reverse Holofoil,,
84193,Charizard,Charizard,https://tcgplayer-cdn.tcgplayer.com/product/84193_200w.jpg,3,1413,https://cpt.tcgcsv.com/THH,2023-01-10T17:25:20.32,1,136/135,Secret Rare,160,Stage 2,[2R] Split Bomb - This attack does 40 damage to 2 of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[4R] Scorching Fire (150) Discard a R Energy attached to this Pokemon.,Wx2,,3,500.0,10250.0,19999.99,593.99,,Holofoil,,
84258,Cherrim,Cherrim,https://tcgplayer-cdn.tcgplayer.com/product/84258_200w.jpg,3,1413,https://cpt.tcgcsv.com/bKH,2023-01-10T16:57:15.52,1,7/135,Rare,70,Stage 1,[1G] Random Peck (20+) Flip 2 coins.  This attack does 20 more damage for each heads.,,Rx2,W-20,1,0.99,1.2,5.95,1.19,,Normal,,"Fair-Weather Heal - Once during your turn (before your attack), you may heal 20 damage from 1 of your Pokemon that has any G Energy attached to it.  (Ability)"
84258,Cherrim,Cherrim,https://tcgplayer-cdn.tcgplayer.com/product/84258_200w.jpg,3,1413,https://cpt.tcgcsv.com/bKH,2023-01-10T16:57:15.52,1,7/135,Rare,70,Stage 1,[1G] Random Peck (20+) Flip 2 coins.  This attack does 20 more damage for each heads.,,Rx2,W-20,1,1.5,1.74,6.0,1.64,,Reverse Holofoil,,"Fair-Weather Heal - Once during your turn (before your attack), you may heal 20 damage from 1 of your Pokemon that has any G Energy attached to it.  (Ability)"
84265,Cherubi,Cherubi,https://tcgplayer-cdn.tcgplayer.com/product/84265_200w.jpg,3,1413,https://cpt.tcgcsv.com/kKH,2023-01-10T16:57:06.903,1,6/135,Common,40,Basic,[G] Leech Seed (10) Heal 10 damage from this Pokemon.,,Rx2,W-20,1,0.12,0.26,1.49,0.26,,Normal,,
84265,Cherubi,Cherubi,https://tcgplayer-cdn.tcgplayer.com/product/84265_200w.jpg,3,1413,https://cpt.tcgcsv.com/kKH,2023-01-10T16:57:06.903,1,6/135,Common,40,Basic,[G] Leech Seed (10) Heal 10 damage from this Pokemon.,,Rx2,W-20,1,0.25,0.6,3.0,0.62,,Reverse Holofoil,,
84291,Chimchar,Chimchar,https://tcgplayer-cdn.tcgplayer.com/product/84291_200w.jpg,3,1413,https://cpt.tcgcsv.com/RKH,2025-02-05T21:10:59.53,1,15/135,Common,50,Basic,[R] Flare (20),,Wx2,,1,0.04,0.24,1.49,0.23,,Normal,,
84291,Chimchar,Chimchar,https://tcgplayer-cdn.tcgplayer.com/product/84291_200w.jpg,3,1413,https://cpt.tcgcsv.com/RKH,2025-02-05T21:10:59.53,1,15/135,Common,50,Basic,[R] Flare (20),,Wx2,,1,0.66,1.23,4.0,1.15,,Reverse Holofoil,,
84349,Clefable,Clefable,https://tcgplayer-cdn.tcgplayer.com/product/84349_200w.jpg,3,1413,https://cpt.tcgcsv.com/_LH,2023-01-10T17:19:21.713,1,98/135,Rare,90,Stage 1,[3] Moon Impact (50),,Fx2,,1,0.56,1.05,3.49,1.06,,Normal,,"Moon Guidance - Once during your turn (before your attack), you may flip a coin.  If heads, search your deck for a card that evolves from 1 of your Pokemon and put it onto that Pokemon.  (This counts as evolving that Pokemon.)  Shuffle your deck afterward.  (Ability)"
84349,Clefable,Clefable,https://tcgplayer-cdn.tcgplayer.com/product/84349_200w.jpg,3,1413,https://cpt.tcgcsv.com/_LH,2023-01-10T17:19:21.713,1,98/135,Rare,90,Stage 1,[3] Moon Impact (50),,Fx2,,1,1.25,3.64,10.0,1.79,,Reverse Holofoil,,"Moon Guidance - Once during your turn (before your attack), you may flip a coin.  If heads, search your deck for a card that evolves from 1 of your Pokemon and put it onto that Pokemon.  (This counts as evolving that Pokemon.)  Shuffle your deck afterward.  (Ability)"
84360,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/84360_200w.jpg,3,1413,https://cpt.tcgcsv.com/dMH,2023-01-10T17:19:13.353,1,97/135,Common,60,Basic,[1] Pound (10),[2] Double Slap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,Fx2,,1,0.09,0.3,1.0,0.34,,Normal,,
84360,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/84360_200w.jpg,3,1413,https://cpt.tcgcsv.com/dMH,2023-01-10T17:19:13.353,1,97/135,Common,60,Basic,[1] Pound (10),[2] Double Slap (20x) Flip 2 coins.  This attack does 20 damage times the number of heads.,Fx2,,1,0.35,0.62,6.0,0.55,,Reverse Holofoil,,
84382,Cobalion EX,Cobalion EX,https://tcgplayer-cdn.tcgplayer.com/product/84382_200w.jpg,3,1413,https://cpt.tcgcsv.com/GMH,2023-01-10T17:18:24.3,1,93/135,Ultra Rare,180,Basic,[M] Righteous Edge (30) Discard a Special Energy attached to the Defending Pokemon.,"[1MM] Steel Bullet (100) This attack's damage isn't affected by Weakness, Resistance, or any other effects on the Defending Pokemon.",Rx2,P-20,2,10.56,11.34,24.99,8.81,,Holofoil,,
84383,Cobalion EX (133 Full Art),Cobalion EX 133 Full Art,https://tcgplayer-cdn.tcgplayer.com/product/84383_200w.jpg,3,1413,https://cpt.tcgcsv.com/HMH,2023-01-10T17:24:56.207,1,133/135,Ultra Rare,180,Basic,[M] Righteous Edge (30) Discard a Special Energy attached to the Defending Pokemon.,"[1MM] Steel Bullet (100) This attack's damage isn't affected by Weakness, Resistance, or any other effects on the Defending Pokemon.",Rx2,P-20,2,95.45,199.68,245.62,35.57,,Holofoil,,
84389,Colress (Team Plasma),Colress Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84389_200w.jpg,3,1413,https://cpt.tcgcsv.com/PMH,2023-01-10T17:22:25.24,1,118/135,Uncommon,0,Supporter,"Shuffle your hand into your deck.  Then, draw a number of cards equal to the number of Benched Pokemon (both yours and your opponent's).",,,,,0.97,3.06,14.65,3.09,5.97,Normal,Supporter,You may play only 1 Supporter card per turn (before your attack).
84389,Colress (Team Plasma),Colress Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84389_200w.jpg,3,1413,https://cpt.tcgcsv.com/PMH,2023-01-10T17:22:25.24,1,118/135,Uncommon,0,Supporter,"Shuffle your hand into your deck.  Then, draw a number of cards equal to the number of Benched Pokemon (both yours and your opponent's).",,,,,5.5,6.63,30.0,16.71,6.28,Reverse Holofoil,Supporter,You may play only 1 Supporter card per turn (before your attack).
84390,Colress (Team Plasma) (135 Full Art),Colress Team Plasma 135 Full Art,https://tcgplayer-cdn.tcgplayer.com/product/84390_200w.jpg,3,1413,https://cpt.tcgcsv.com/QMH,2023-03-06T15:56:27.003,1,135/135,Ultra Rare,0,,"Shuffle your hand into your deck.  Then, draw a number of cards equal to the number of Benched Pokemon (both yours and your opponent's).",,,,,59.99,74.9,134.85,91.52,,Holofoil,Supporter,You may play only 1 Supporter card per turn (before your attack).
84391,Colress Machine (Team Plasma),Colress Machine Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84391_200w.jpg,3,1413,https://cpt.tcgcsv.com/RMH,2025-02-05T21:10:59.607,1,119/135,Uncommon,0,,Search your deck for a Plasma Energy card and attach it to 1 of your Team Plasma Pokemon.  Shuffle your deck afterward.,,,,,0.08,0.25,2.98,0.21,,Normal,Item,You may play as many Item cards as you like during your turn (before your attack).
84391,Colress Machine (Team Plasma),Colress Machine Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84391_200w.jpg,3,1413,https://cpt.tcgcsv.com/RMH,2025-02-05T21:10:59.607,1,119/135,Uncommon,0,,Search your deck for a Plasma Energy card and attach it to 1 of your Team Plasma Pokemon.  Shuffle your deck afterward.,,,,,0.5,1.35,6.0,1.95,,Reverse Holofoil,Item,You may play as many Item cards as you like during your turn (before your attack).
84398,Combee,Combee,https://tcgplayer-cdn.tcgplayer.com/product/84398_200w.jpg,3,1413,https://cpt.tcgcsv.com/-MH,2023-01-10T16:56:49.36,1,4/135,Common,30,Basic,[G] Sting Missile (30) Shuffle this Pokemon and all cards attached to it into your deck.,,Rx2,,1,0.13,0.28,1.5,0.28,,Normal,,
84398,Combee,Combee,https://tcgplayer-cdn.tcgplayer.com/product/84398_200w.jpg,3,1413,https://cpt.tcgcsv.com/-MH,2023-01-10T16:56:49.36,1,4/135,Common,30,Basic,[G] Sting Missile (30) Shuffle this Pokemon and all cards attached to it into your deck.,,Rx2,,1,0.21,0.43,2.0,0.31,,Reverse Holofoil,,
84420,Conkeldurr,Conkeldurr,https://tcgplayer-cdn.tcgplayer.com/product/84420_200w.jpg,3,1413,https://cpt.tcgcsv.com/qNH,2023-01-10T17:16:20.27,1,81/135,Rare,140,Stage 2,"[3] Facade (60+) If this Pokemon is Burned or Poisoned, this attack does 60 more damage.",[2FF] Drain Punch (80),Px2,,3,0.55,0.99,2.18,1.11,,Normal,,
84420,Conkeldurr,Conkeldurr,https://tcgplayer-cdn.tcgplayer.com/product/84420_200w.jpg,3,1413,https://cpt.tcgcsv.com/qNH,2023-01-10T17:16:20.27,1,81/135,Rare,140,Stage 2,"[3] Facade (60+) If this Pokemon is Burned or Poisoned, this attack does 60 more damage.",[2FF] Drain Punch (80),Px2,,3,1.0,1.79,4.0,1.71,,Reverse Holofoil,,
84491,Crobat (Team Plasma),Crobat Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84491_200w.jpg,3,1413,https://cpt.tcgcsv.com/RPH,2023-01-10T17:05:14.937,1,55/135,Holo Rare,130,Stage 2,[2P] Ultra-Toxic Fang (40) The Defending Pokemon is now Poisoned.  Put 4 damage counters instead of 1 on this Pokemon between turns.,,Lx2,F-20,0,2.0,3.99,9.99,3.42,3.8,Holofoil,,"Night Sight - Once during your turn (before your attack), you may draw a card.  (Ability)"
84491,Crobat (Team Plasma),Crobat Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84491_200w.jpg,3,1413,https://cpt.tcgcsv.com/RPH,2023-01-10T17:05:14.937,1,55/135,Holo Rare,130,Stage 2,[2P] Ultra-Toxic Fang (40) The Defending Pokemon is now Poisoned.  Put 4 damage counters instead of 1 on this Pokemon between turns.,,Lx2,F-20,0,1.3,2.79,8.06,3.07,,Reverse Holofoil,,"Night Sight - Once during your turn (before your attack), you may draw a card.  (Ability)"
84526,Cubchoo,Cubchoo,https://tcgplayer-cdn.tcgplayer.com/product/84526_200w.jpg,3,1413,https://cpt.tcgcsv.com/xQH,2023-01-10T17:02:45.717,1,40/135,Common,70,Basic,"[W] Hail - Flip a coin.  If heads, this attack does 10 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",[3] Icy Snow (30),Mx2,,2,0.1,0.28,1.53,0.27,0.23,Normal,,
84526,Cubchoo,Cubchoo,https://tcgplayer-cdn.tcgplayer.com/product/84526_200w.jpg,3,1413,https://cpt.tcgcsv.com/xQH,2023-01-10T17:02:45.717,1,40/135,Common,70,Basic,"[W] Hail - Flip a coin.  If heads, this attack does 10 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)",[3] Icy Snow (30),Mx2,,2,0.27,1.76,8.0,3.25,,Reverse Holofoil,,
84855,Dodrio,Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/84855_200w.jpg,3,1413,https://cpt.tcgcsv.com/7ZH,2023-01-10T17:19:36.2,1,100/135,Rare,90,Stage 1,[1] Raging Pecks (30x) Flip 3 coins.  This attack does 30 damage times the number of heads.  This Pokemon is now Confused.,[3] Drill Peck (60),Lx2,F-20,1,0.3,0.5,1.75,0.39,,Normal,,
84855,Dodrio,Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/84855_200w.jpg,3,1413,https://cpt.tcgcsv.com/7ZH,2023-01-10T17:19:36.2,1,100/135,Rare,90,Stage 1,[1] Raging Pecks (30x) Flip 3 coins.  This attack does 30 damage times the number of heads.  This Pokemon is now Confused.,[3] Drill Peck (60),Lx2,F-20,1,0.8,1.14,4.95,1.06,,Reverse Holofoil,,
84866,Doduo,Doduo,https://tcgplayer-cdn.tcgplayer.com/product/84866_200w.jpg,3,1413,https://cpt.tcgcsv.com/lZH,2023-01-10T17:19:29.233,1,99/135,Common,60,Basic,[2] Gatling Peck (10x) Flip 5 coins.  This attack does 10 damage times the number of heads.,,Lx2,F-20,1,0.09,0.25,1.5,0.25,0.09,Normal,,
84866,Doduo,Doduo,https://tcgplayer-cdn.tcgplayer.com/product/84866_200w.jpg,3,1413,https://cpt.tcgcsv.com/lZH,2023-01-10T17:19:29.233,1,99/135,Common,60,Basic,[2] Gatling Peck (10x) Flip 5 coins.  This attack does 10 damage times the number of heads.,,Lx2,F-20,1,0.25,0.44,2.0,0.41,0.25,Reverse Holofoil,,
84880,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84880_200w.jpg,3,1413,https://cpt.tcgcsv.com/DZH,2023-01-10T17:11:56.267,1,72/135,Uncommon,130,Stage 1,[F] Spinning Turn (40) Switch this Pokemon with 1 of your Benched Pokemon.,"[2FF] Wreck (80+) If there is any Stadium card in play, this attack does 60 more damage.  Discard that Stadium card.",Wx2,L-20,4,0.2,0.79,1.65,0.9,,Normal,,
84880,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84880_200w.jpg,3,1413,https://cpt.tcgcsv.com/DZH,2023-01-10T17:11:56.267,1,72/135,Uncommon,130,Stage 1,[F] Spinning Turn (40) Switch this Pokemon with 1 of your Benched Pokemon.,"[2FF] Wreck (80+) If there is any Stadium card in play, this attack does 60 more damage.  Discard that Stadium card.",Wx2,L-20,4,1.3,2.06,6.0,2.19,,Reverse Holofoil,,
84896,Dowsing Machine,Dowsing Machine,https://tcgplayer-cdn.tcgplayer.com/product/84896_200w.jpg,3,1413,https://cpt.tcgcsv.com/XZH,2023-01-10T17:24:13.737,1,128/135,Rare Ace,0,Item,"Discard 2 cards from your hand.  (If you can't discard 2 cards, you can't play this card.)  Put a Trainer card from your discard pile into your hand.",,,,,5.96,9.99,45.0,9.68,,Holofoil,,You may play as many Item cards as you like during your turn (before your attack).  You can't have more than 1 ACE SPEC card in your deck.
84982,Druddigon (Team Plasma),Druddigon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84982_200w.jpg,3,1413,https://cpt.tcgcsv.com/G_H,2023-05-05T08:21:44.153,1,94/135,Rare,110,Basic,"[2] Guard Press (20) During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).",[1RRW] Dragon Claw (90),Ox2,,1,0.49,0.8,3.0,0.8,,Normal,,
84982,Druddigon (Team Plasma),Druddigon Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84982_200w.jpg,3,1413,https://cpt.tcgcsv.com/G_H,2023-05-05T08:21:44.153,1,94/135,Rare,110,Basic,"[2] Guard Press (20) During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).",[1RRW] Dragon Claw (90),Ox2,,1,0.75,1.91,6.0,2.2,1.77,Reverse Holofoil,,
85022,Durant (Team Plasma) (91),Durant Team Plasma 91,https://tcgplayer-cdn.tcgplayer.com/product/85022_200w.jpg,3,1413,https://cpt.tcgcsv.com/s0J,2024-01-11T19:34:29.27,1,91/135,Uncommon,70,Basic,[2] Gnaw (20),"[2M] Hard Crunch (40+) If the Defending Pokemon already has any damage counters on it, this attack does 30 more damage.",Rx2,P-20,1,0.18,0.35,1.51,0.35,0.33,Normal,,
85022,Durant (Team Plasma) (91),Durant Team Plasma 91,https://tcgplayer-cdn.tcgplayer.com/product/85022_200w.jpg,3,1413,https://cpt.tcgcsv.com/s0J,2024-01-11T19:34:29.27,1,91/135,Uncommon,70,Basic,[2] Gnaw (20),"[2M] Hard Crunch (40+) If the Defending Pokemon already has any damage counters on it, this attack does 30 more damage.",Rx2,P-20,1,0.4,2.79,6.0,1.22,2.79,Reverse Holofoil,,
85023,Durant (Team Plasma) (92),Durant Team Plasma 92,https://tcgplayer-cdn.tcgplayer.com/product/85023_200w.jpg,3,1413,https://cpt.tcgcsv.com/t0J,2023-01-10T17:18:05.26,1,92/135,Uncommon,70,Basic,"[1] Call for Backup - Search your deck for a Pokemon, reveal it, and put it into your hand.  Shuffle your deck afterward.",[1M] Metal Jail (30) The Defending Pokemon can't retreat during your opponent's next turn.,Rx2,P-20,1,0.05,0.32,3.38,0.31,0.31,Normal,,
85023,Durant (Team Plasma) (92),Durant Team Plasma 92,https://tcgplayer-cdn.tcgplayer.com/product/85023_200w.jpg,3,1413,https://cpt.tcgcsv.com/t0J,2023-01-10T17:18:05.26,1,92/135,Uncommon,70,Basic,"[1] Call for Backup - Search your deck for a Pokemon, reveal it, and put it into your hand.  Shuffle your deck afterward.",[1M] Metal Jail (30) The Defending Pokemon can't retreat during your opponent's next turn.,Rx2,P-20,1,0.64,0.99,6.0,1.0,,Reverse Holofoil,,
85179,Elgyem (68),Elgyem 68,https://tcgplayer-cdn.tcgplayer.com/product/85179_200w.jpg,3,1413,https://cpt.tcgcsv.com/C5J,2023-01-10T17:10:29.587,1,68/135,Common,60,Basic,[PP] Psyshot (30),,Px2,,1,0.08,0.25,1.0,0.22,0.23,Normal,,
85179,Elgyem (68),Elgyem 68,https://tcgplayer-cdn.tcgplayer.com/product/85179_200w.jpg,3,1413,https://cpt.tcgcsv.com/C5J,2023-01-10T17:10:29.587,1,68/135,Common,60,Basic,[PP] Psyshot (30),,Px2,,1,0.19,0.47,2.0,0.39,,Reverse Holofoil,,
85180,Elgyem (69),Elgyem 69,https://tcgplayer-cdn.tcgplayer.com/product/85180_200w.jpg,3,1413,https://cpt.tcgcsv.com/D5J,2023-01-10T17:10:36.58,1,69/135,Uncommon,60,Basic,"[1] Reflect - During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).","[1P] Smash Punch (30) Flip a coin.  If tails, this attack does nothing.",Px2,,1,0.1,0.38,1.0,0.44,0.22,Normal,,
85180,Elgyem (69),Elgyem 69,https://tcgplayer-cdn.tcgplayer.com/product/85180_200w.jpg,3,1413,https://cpt.tcgcsv.com/D5J,2023-01-10T17:10:36.58,1,69/135,Uncommon,60,Basic,"[1] Reflect - During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).","[1P] Smash Punch (30) Flip a coin.  If tails, this attack does nothing.",Px2,,1,0.38,0.71,2.0,1.25,,Reverse Holofoil,,
85312,Escape Rope,Escape Rope,https://tcgplayer-cdn.tcgplayer.com/product/85312_200w.jpg,3,1413,https://cpt.tcgcsv.com/g8J,2024-11-12T13:54:44.91,1,120/135,Uncommon,0,Item,"Each player switches his or her Active Pokemon with 1 of his or her Benched Pokemon.  (Your opponent switches first.  If a player does not have a Benched Pokemon, he or she doesn't have to switch Pokemon.)",,,,,0.19,0.45,1.99,0.44,,Normal,Item,You may play as many Item cards as you like during your turn (before your attack).
