productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
176639,Professor Elm's Training Method (2006-2007),Professor Elms Training Method 2006 2007,https://tcgplayer-cdn.tcgplayer.com/product/176639_200w.jpg,3,2332,https://cpt.tcgcsv.com/PGq2,2022-03-28T16:30:41.45,1,79/101,Promo,Supporter,48.99,48.99,48.99,44.5,,Normal,"Search your deck for an Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.",,,,,,,
213516,Judge (2019),Judge 2019,https://tcgplayer-cdn.tcgplayer.com/product/213516_200w.jpg,3,2332,https://cpt.tcgcsv.com/lqK2,2022-03-28T16:32:56.96,1,108/131,Promo,Supporter,10.69,12.65,20.61,12.55,,Reverse Holofoil,Each player shuffles their hand into their deck and draws 4 cards.,,,,,,,
278685,Professor Burnet - SWSH167 (2021),Professor Burnet SWSH167 2021,https://tcgplayer-cdn.tcgplayer.com/product/278685_200w.jpg,3,2332,https://cpt.tcgcsv.com/Ktf3,2024-06-24T20:26:42.693,1,SWSH167,Promo,Supporter,10.14,13.05,23.83,13.09,,Reverse Holofoil,"Search your deck for up to 2 cards and discard them. Then, shuffle your deck.",,,,,,,
278686,Professor's Research - 060/072 (2021),Professors Research 060 072 2021,https://tcgplayer-cdn.tcgplayer.com/product/278686_200w.jpg,3,2332,https://cpt.tcgcsv.com/Ltf3,2023-07-28T15:58:48.493,1,060/072,Promo,Supporter,12.58,15.31,31.14,11.73,13.97,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
278687,Professor's Research - 147/172 (2021),Professors Research 147 172 2021,https://tcgplayer-cdn.tcgplayer.com/product/278687_200w.jpg,3,2332,https://cpt.tcgcsv.com/Mtf3,2023-07-28T15:58:57.707,1,147/172,Promo,Supporter,11.32,18.38,29.99,17.5,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
499366,Gym Trainer (2022),Gym Trainer 2022,https://tcgplayer-cdn.tcgplayer.com/product/499366_200w.jpg,3,2332,https://cpt.tcgcsv.com/lM_5,2023-06-07T15:50:07.373,1,059/072,Promo,Supporter,12.45,14.68,24.92,12.8,13.99,Reverse Holofoil,"Draw 2 cards. If any of your Pokémon were Knocked Out during your opponent's last turn, draw 2 more cards.
<br><br>
You may play only 1 Supporter card during your turn.",,,,,,,
499857,League Staff,League Staff,https://tcgplayer-cdn.tcgplayer.com/product/499857_200w.jpg,3,2332,https://cpt.tcgcsv.com/9Z_5,2023-06-09T13:18:58.117,1,153/185,Promo,Supporter,58.99,88.94,106.05,99.99,,Reverse Holofoil,"Draw 2 cards. If Wyndon Stadium is in play, draw 2 more cards.
<br><br>
You may play only 1 Supporter card during your turn.",,,,,,,
556953,Professor's Research - 189/198 (2023),Professors Research 189 198 2023,https://tcgplayer-cdn.tcgplayer.com/product/556953_200w.jpg,3,2332,https://cpt.tcgcsv.com/5Ps6,2024-06-25T15:31:46.373,1,189/198,Promo,Supporter,10.0,16.64,45.0,16.65,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
556956,Sonia - 167/192 (2022),Sonia 167 192 2022,https://tcgplayer-cdn.tcgplayer.com/product/556956_200w.jpg,3,2332,https://cpt.tcgcsv.com/8Ps6,2024-06-24T20:36:18.563,1,167/192,Uncommon,Supporter,20.0,27.0,28.89,27.45,,Reverse Holofoil,"Search your deck for up to 2 Basic Pokemon or up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",,,,,,,
556957,Professor's Research - 190/198 (2023),Professors Research 190 198 2023,https://tcgplayer-cdn.tcgplayer.com/product/556957_200w.jpg,3,2332,https://cpt.tcgcsv.com/9Ps6,2024-06-24T20:40:46.953,1,190/198,Promo,Supporter,10.0,23.99,50.49,11.67,,Reverse Holofoil,Discard your hand and draw 7 cards.,,,,,,,
556967,Friends in Galar - 140/172 (2022),Friends in Galar 140 172 2022,https://tcgplayer-cdn.tcgplayer.com/product/556967_200w.jpg,3,2332,https://cpt.tcgcsv.com/mPs6,2024-06-24T20:50:05.067,1,140/172,Uncommon,Supporter,,,,,,,Draw 3 cards.,,,,,,,
556969,Roxanne - 150/189 (2022),Roxanne 150 189 2022,https://tcgplayer-cdn.tcgplayer.com/product/556969_200w.jpg,3,2332,https://cpt.tcgcsv.com/pPs6,2024-06-24T20:51:25.287,1,150/189,Promo,Supporter,14.14,18.67,41.0,13.6,,Reverse Holofoil,"You can use this card only if your opponent has 3 or less Prize cards left.
<br>Both players shuffle their hand into their deck. Then, you draw 6 cards and your opponent draws 2 cards.",,,,,,,
557102,Friends in Sinnoh - 131/159 (2023),Friends in Sinnoh 131 159 2023,https://tcgplayer-cdn.tcgplayer.com/product/557102_200w.jpg,3,2332,https://cpt.tcgcsv.com/3Ss6,2024-06-26T18:07:33.997,1,131/159,Uncommon,Supporter,,,,,,,"Draw 3 cards.
<br>
<br>You may only play 1 Supporter card during your turn.",,,,,,,
557103,Friends in Sinnoh - 131/159 (2023) [Staff],Friends in Sinnoh 131 159 2023 Staff,https://tcgplayer-cdn.tcgplayer.com/product/557103_200w.jpg,3,2332,https://cpt.tcgcsv.com/5Ss6,2024-06-26T18:08:06.24,1,131/159,Uncommon,Supporter,,,,,,,"Draw 3 cards.
<br>
<br>You may only play 1 Supporter card during your turn.",,,,,,,
599453,Fighting Energy (2023),Fighting Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599453_200w.jpg,3,2332,https://cpt.tcgcsv.com/5PP6,2024-11-22T21:09:10.847,1,006,Promo,Energy,22.0,27.53,42.95,21.5,,Holofoil,,,,,,,,
599454,Fire Energy (2023),Fire Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599454_200w.jpg,3,2332,https://cpt.tcgcsv.com/6PP6,2024-11-22T21:10:40.49,1,002,Promo,Energy,23.0,26.06,37.21,24.94,,Holofoil,,,,,,,,
599455,Grass Energy (2023),Grass Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599455_200w.jpg,3,2332,https://cpt.tcgcsv.com/7PP6,2024-11-22T21:14:48.483,1,001,Promo,Energy,15.0,19.55,34.95,18.46,,Holofoil,,,,,,,,
599456,Lightning Energy (2023),Lightning Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599456_200w.jpg,3,2332,https://cpt.tcgcsv.com/8PP6,2024-11-22T21:17:15.337,1,004,Promo,Energy,23.0,27.49,44.21,23.84,,Holofoil,,,,,,,,
599457,Psychic Energy (2023),Psychic Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599457_200w.jpg,3,2332,https://cpt.tcgcsv.com/9PP6,2024-11-22T21:21:38.477,1,005,Promo,Energy,21.67,25.94,37.2,21.81,,Holofoil,,,,,,,,
599458,Water Energy (2023),Water Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599458_200w.jpg,3,2332,https://cpt.tcgcsv.com/bPP6,2024-11-22T21:22:53.437,1,003,Promo,Energy,17.0,22.49,44.95,19.27,,Holofoil,,,,,,,,
599459,Metal Energy (2023),Metal Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599459_200w.jpg,3,2332,https://cpt.tcgcsv.com/cPP6,2024-11-22T21:24:19.653,1,008,Promo,Energy,23.0,28.25,38.21,21.73,,Holofoil,,,,,,,,
599460,Darkness Energy (2023),Darkness Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599460_200w.jpg,3,2332,https://cpt.tcgcsv.com/dPP6,2024-11-22T21:25:32.433,1,007,Promo,Energy,23.0,29.43,43.0,22.21,,Holofoil,,,,,,,,
604494,Darkness Energy (2024),Darkness Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604494_200w.jpg,3,2332,https://cpt.tcgcsv.com/VPR6,2024-12-11T21:14:03.487,0,007,Promo,Energy,14.87,14.99,40.0,11.09,,Holofoil,,,,,,,,
604495,Metal Energy (2024),Metal Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604495_200w.jpg,3,2332,https://cpt.tcgcsv.com/WPR6,2024-12-11T21:14:54.677,0,008,Promo,Energy,10.0,11.89,40.0,12.98,,Holofoil,,,,,,,,
604496,Water Energy (2024),Water Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604496_200w.jpg,3,2332,https://cpt.tcgcsv.com/XPR6,2024-12-11T21:15:17.99,0,003,Promo,Energy,10.92,11.0,40.0,13.47,,Holofoil,,,,,,,,
604497,Psychic Energy (2024),Psychic Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604497_200w.jpg,3,2332,https://cpt.tcgcsv.com/ZPR6,2024-12-11T21:15:50.073,0,005,Promo,Energy,11.82,11.99,40.3,12.92,,Holofoil,,,,,,,,
604498,Lightning Energy (2024),Lightning Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604498_200w.jpg,3,2332,https://cpt.tcgcsv.com/-PR6,2024-12-11T21:16:11.597,0,004,Promo,Energy,7.9,9.75,40.0,8.84,,Normal,,,,,,,,
604499,Grass Energy (2024),Grass Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604499_200w.jpg,3,2332,https://cpt.tcgcsv.com/_PR6,2024-12-11T21:16:37.167,0,001,Promo,Energy,7.72,7.82,40.0,7.89,,Holofoil,,,,,,,,
604500,Fire Energy (2024),Fire Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604500_200w.jpg,3,2332,https://cpt.tcgcsv.com/0QR6,2024-12-11T21:17:00.05,0,002,Promo,Energy,7.8,7.9,40.0,7.87,,Holofoil,,,,,,,,
604501,Fighting Energy (2024),Fighting Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604501_200w.jpg,3,2332,https://cpt.tcgcsv.com/2QR6,2024-12-11T21:17:22.593,0,006,Promo,Energy,11.91,12.5,40.0,13.48,,Holofoil,,,,,,,,
617018,Voltorb - 100/165,Voltorb 100 165,https://tcgplayer-cdn.tcgplayer.com/product/617018_200w.jpg,3,2332,https://cpt.tcgcsv.com/nQX6,2025-02-05T16:35:46.99,1,100/165,Common,Lightning,,,,,,,,60,Basic,"[L] Tumbling Attack (10+)
<br>Flip a coin. If heads, this attack does 20 more damage.",Fx2,1,,
651981,Voltorb - 066/193,Voltorb 066 193,https://tcgplayer-cdn.tcgplayer.com/product/651981_200w.jpg,3,2332,https://cpt.tcgcsv.com/FPd7,2025-09-03T14:27:16.88,0,066/193,Common,Lightning,,,,,,,,70,Basic,[L] Lightning Ball (10),Fx2,1,[2] Rollout (20),None
