productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack3,extAttack4
84071,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84071_200w.jpg,3,1410,https://cpt.tcgcsv.com/rFH,2024-04-11T15:05:24.583,1,44/106,Common,Grass,50,Basic,,"[1] Spike Cannon (10x) 
<br>Flip 3 coins.  This attack does 10 damage times the number of heads.",,F,None,1,0.21,0.43,7.25,0.41,,Normal,,
84071,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84071_200w.jpg,3,1410,https://cpt.tcgcsv.com/rFH,2024-04-11T15:05:24.583,1,44/106,Common,Grass,50,Basic,,"[1] Spike Cannon (10x) 
<br>Flip 3 coins.  This attack does 10 damage times the number of heads.",,F,None,1,4.92,11.0,11.55,4.13,,Reverse Holofoil,,
84084,Cacturne ex,Cacturne ex,https://tcgplayer-cdn.tcgplayer.com/product/84084_200w.jpg,3,1410,https://cpt.tcgcsv.com/JFH,2024-04-11T15:05:24.82,1,91/106,Ultra Rare,Grass,110,Stage 1,"<b>Poke-BODY</b> Cursed Glare <br>
<br>As long as Cacturne ex is your Active Pokemon, your opponent can't attach any Special Energy cards (except for Darkness and Metal Energy cards) from his or her hand to his or her Active Pokemon.","[G] Psybeam (20) 
<br>The Defending Pokemon is now Confused.","[2G] Spike Rend (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",R,None,1,82.95,82.95,82.95,,,Normal,,
84084,Cacturne ex,Cacturne ex,https://tcgplayer-cdn.tcgplayer.com/product/84084_200w.jpg,3,1410,https://cpt.tcgcsv.com/JFH,2024-04-11T15:05:24.82,1,91/106,Ultra Rare,Grass,110,Stage 1,"<b>Poke-BODY</b> Cursed Glare <br>
<br>As long as Cacturne ex is your Active Pokemon, your opponent can't attach any Special Energy cards (except for Darkness and Metal Energy cards) from his or her hand to his or her Active Pokemon.","[G] Psybeam (20) 
<br>The Defending Pokemon is now Confused.","[2G] Spike Rend (50+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",R,None,1,32.97,46.48,59.99,84.0,,Holofoil,,
84090,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84090_200w.jpg,3,1410,https://cpt.tcgcsv.com/QFH,2024-04-11T15:05:24.963,1,23/106,Uncommon,Fire,80,Stage 1,,"[2] Extra Flame (20+) 
<br>If the Defending Pokemon is Pokemon-ex, this attack does 20 damage plus 30 more damage.","[2R] Super Singe (40) 
<br>The Defending Pokemon is now Burned.",W,None,2,0.2,0.5,2.99,0.75,,Normal,,
84090,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84090_200w.jpg,3,1410,https://cpt.tcgcsv.com/QFH,2024-04-11T15:05:24.963,1,23/106,Uncommon,Fire,80,Stage 1,,"[2] Extra Flame (20+) 
<br>If the Defending Pokemon is Pokemon-ex, this attack does 20 damage plus 30 more damage.","[2R] Super Singe (40) 
<br>The Defending Pokemon is now Burned.",W,None,2,8.89,10.4,15.0,8.47,,Reverse Holofoil,,
84096,Camerupt ex,Camerupt ex,https://tcgplayer-cdn.tcgplayer.com/product/84096_200w.jpg,3,1410,https://cpt.tcgcsv.com/XFH,2024-04-11T15:05:25.073,1,92/106,Ultra Rare,Fire,120,Stage 1,"<b>Poke-BODY</b> Magma Armor <br>
<br>Camerupt ex can't be Asleep or Paralyzed.","[2] Searing Flame (30) 
<br>The Defending Pokemon is now Burned.","[1RR] Eruption (60+) 
<br>Each player discard the top card of his or her deck.  This attack does 60 damage plus 20 more damage for each Energy card discarded in this way.",W,None,2,29.7,38.0,40.0,,,Normal,,
84096,Camerupt ex,Camerupt ex,https://tcgplayer-cdn.tcgplayer.com/product/84096_200w.jpg,3,1410,https://cpt.tcgcsv.com/XFH,2024-04-11T15:05:25.073,1,92/106,Ultra Rare,Fire,120,Stage 1,"<b>Poke-BODY</b> Magma Armor <br>
<br>Camerupt ex can't be Asleep or Paralyzed.","[2] Searing Flame (30) 
<br>The Defending Pokemon is now Burned.","[1RR] Eruption (60+) 
<br>Each player discard the top card of his or her deck.  This attack does 60 damage plus 20 more damage for each Energy card discarded in this way.",W,None,2,26.0,29.99,32.9,52.88,,Holofoil,,
84294,Chimecho,Chimecho,https://tcgplayer-cdn.tcgplayer.com/product/84294_200w.jpg,3,1410,https://cpt.tcgcsv.com/VKH,2024-04-11T15:05:25.33,1,12/106,Rare,Psychic,70,Basic,,"[1] Collect  
<br>Draw a card.","[1P] Warp Sounds (20) 
<br>If the Defending Pokemon is an Evolved Pokemon, the Defending Pokemon is now Confused.",P,None,1,1.0,2.06,7.85,1.17,,Normal,,
84294,Chimecho,Chimecho,https://tcgplayer-cdn.tcgplayer.com/product/84294_200w.jpg,3,1410,https://cpt.tcgcsv.com/VKH,2024-04-11T15:05:25.33,1,12/106,Rare,Psychic,70,Basic,,"[1] Collect  
<br>Draw a card.","[1P] Warp Sounds (20) 
<br>If the Defending Pokemon is an Evolved Pokemon, the Defending Pokemon is now Confused.",P,None,1,18.6,19.99,22.39,16.73,,Reverse Holofoil,,
84335,Claydol,Claydol,https://tcgplayer-cdn.tcgplayer.com/product/84335_200w.jpg,3,1410,https://cpt.tcgcsv.com/KLH,2024-04-11T15:05:25.447,1,24/106,Uncommon,Fighting,80,Stage 1,"<b>Poke-BODY</b> Levitate <br>
<br>As long as Claydol has any Energy attached to it, the Retreat Cost for Claydol is 0.","[1F] Rock Smash (30+) 
<br>Flip a coin.  If heads, this attack does 30 damage plus 10 more damage.",,G,None,2,18.99,21.99,24.99,4.99,,Normal,,
84335,Claydol,Claydol,https://tcgplayer-cdn.tcgplayer.com/product/84335_200w.jpg,3,1410,https://cpt.tcgcsv.com/KLH,2024-04-11T15:05:25.447,1,24/106,Uncommon,Fighting,80,Stage 1,"<b>Poke-BODY</b> Levitate <br>
<br>As long as Claydol has any Energy attached to it, the Retreat Cost for Claydol is 0.","[1F] Rock Smash (30+) 
<br>Flip a coin.  If heads, this attack does 30 damage plus 10 more damage.",,G,None,2,26.5,30.45,39.6,30.5,,Reverse Holofoil,,
84404,Combusken,Combusken,https://tcgplayer-cdn.tcgplayer.com/product/84404_200w.jpg,3,1410,https://cpt.tcgcsv.com/6NH,2024-04-11T15:05:25.553,1,25/106,Uncommon,Fire,70,Stage 1,,"[1R] Lava Burn (20) 
<br>Does 10 damage to 1 of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>","[2R] Sharp Claws (40+) 
<br>Flip a coin.  If heads, this attack does 40 damage plus 10 more damage.",W,None,1,0.35,0.84,5.59,0.85,,Normal,,
84404,Combusken,Combusken,https://tcgplayer-cdn.tcgplayer.com/product/84404_200w.jpg,3,1410,https://cpt.tcgcsv.com/6NH,2024-04-11T15:05:25.553,1,25/106,Uncommon,Fire,70,Stage 1,,"[1R] Lava Burn (20) 
<br>Does 10 damage to 1 of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>","[2R] Sharp Claws (40+) 
<br>Flip a coin.  If heads, this attack does 40 damage plus 10 more damage.",W,None,1,10.57,10.84,14.99,13.0,,Reverse Holofoil,,
84684,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84684_200w.jpg,3,1410,https://cpt.tcgcsv.com/JTH,2024-04-11T15:11:39.857,1,86/106,Rare,Special Energy,,,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon <em>(before applying Weakness and Resistance).</em>  Ignore this effect unless the Attacking Pokemon is Darkness or has Dark in its name.  Darkness Energy provides Darkness energy.  <em>(Doesn't count as a basic Energy card.)</em>",,,,,,0.75,1.75,2.99,2.09,,Normal,,
84684,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84684_200w.jpg,3,1410,https://cpt.tcgcsv.com/JTH,2024-04-11T15:11:39.857,1,86/106,Rare,Special Energy,,,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon <em>(before applying Weakness and Resistance).</em>  Ignore this effect unless the Attacking Pokemon is Darkness or has Dark in its name.  Darkness Energy provides Darkness energy.  <em>(Doesn't count as a basic Energy card.)</em>",,,,,,12.37,14.25,14.27,14.27,,Reverse Holofoil,,
84766,Deoxys (Speed Forme),Deoxys Speed Forme,https://tcgplayer-cdn.tcgplayer.com/product/84766_200w.jpg,3,1410,https://cpt.tcgcsv.com/lWH,2024-04-11T15:05:25.797,1,2/106,Holo Rare,Psychic,70,Basic,"<b>Poke-BODY</b>Form Change  <br>
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for another Deoxys and switch it with Deoxys.  <em>(Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokemon.)</em> If you do, put Deoxys on top of your deck.  Shuffle your deck afterward.  You can't use more than 1 Form Change Poke-Power each turn.","[2] Swift (30) 
<br>This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",,P,None,1,48.0,54.0,59.99,30.0,,Normal,,
84766,Deoxys (Speed Forme),Deoxys Speed Forme,https://tcgplayer-cdn.tcgplayer.com/product/84766_200w.jpg,3,1410,https://cpt.tcgcsv.com/lWH,2024-04-11T15:05:25.797,1,2/106,Holo Rare,Psychic,70,Basic,"<b>Poke-BODY</b>Form Change  <br>
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for another Deoxys and switch it with Deoxys.  <em>(Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokemon.)</em> If you do, put Deoxys on top of your deck.  Shuffle your deck afterward.  You can't use more than 1 Form Change Poke-Power each turn.","[2] Swift (30) 
<br>This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",,P,None,1,27.5,59.95,169.99,32.99,,Holofoil,,
84766,Deoxys (Speed Forme),Deoxys Speed Forme,https://tcgplayer-cdn.tcgplayer.com/product/84766_200w.jpg,3,1410,https://cpt.tcgcsv.com/lWH,2024-04-11T15:05:25.797,1,2/106,Holo Rare,Psychic,70,Basic,"<b>Poke-BODY</b>Form Change  <br>
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for another Deoxys and switch it with Deoxys.  <em>(Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokemon.)</em> If you do, put Deoxys on top of your deck.  Shuffle your deck afterward.  You can't use more than 1 Form Change Poke-Power each turn.","[2] Swift (30) 
<br>This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",,P,None,1,48.88,224.44,399.99,72.99,,Reverse Holofoil,,
84773,Deoxys ex (Speed Forme),Deoxys ex Speed Forme,https://tcgplayer-cdn.tcgplayer.com/product/84773_200w.jpg,3,1410,https://cpt.tcgcsv.com/tWH,2024-04-11T15:05:25.937,1,93/106,Ultra Rare,Psychic,110,Basic,"<b>Poke-POWER</b> Form Change  <br>
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for another Deoxys ex and switch it with Deoxys ex.  <em>(Any cards attached to Deoxys ex, damage counters, Special Conditions, and effects on it are now on the new Pokemon.)</em> If you do, put Deoxys ex on top of your deck.  Shuffle your deck afterward.  You can't use more than 1 Form Change Poke-Power each turn.","[3] Fastwave (50) 
<br>This attack's damage isn't affected by Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",,P,None,1,120.0,120.0,120.0,,,Normal,,
84773,Deoxys ex (Speed Forme),Deoxys ex Speed Forme,https://tcgplayer-cdn.tcgplayer.com/product/84773_200w.jpg,3,1410,https://cpt.tcgcsv.com/tWH,2024-04-11T15:05:25.937,1,93/106,Ultra Rare,Psychic,110,Basic,"<b>Poke-POWER</b> Form Change  <br>
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for another Deoxys ex and switch it with Deoxys ex.  <em>(Any cards attached to Deoxys ex, damage counters, Special Conditions, and effects on it are now on the new Pokemon.)</em> If you do, put Deoxys ex on top of your deck.  Shuffle your deck afterward.  You can't use more than 1 Form Change Poke-Power each turn.","[3] Fastwave (50) 
<br>This attack's damage isn't affected by Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.",,P,None,1,85.0,88.98,89.99,225.0,,Holofoil,,
84851,Dodrio,Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/84851_200w.jpg,3,1410,https://cpt.tcgcsv.com/2ZH,2024-04-11T15:05:26.04,1,26/106,Uncommon,Colorless,70,Stage 1,,[2] Smash Kick (30),"[3] Smash Turn (40) 
<br>After your attack, you may switch Dodrio with 1 of your Benched Pokemon.",L,F,1,0.74,1.49,1.75,0.94,,Normal,,
84851,Dodrio,Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/84851_200w.jpg,3,1410,https://cpt.tcgcsv.com/2ZH,2024-04-11T15:05:26.04,1,26/106,Uncommon,Colorless,70,Stage 1,,[2] Smash Kick (30),"[3] Smash Turn (40) 
<br>After your attack, you may switch Dodrio with 1 of your Benched Pokemon.",L,F,1,12.75,15.99,18.55,16.27,,Reverse Holofoil,,
84862,Doduo,Doduo,https://tcgplayer-cdn.tcgplayer.com/product/84862_200w.jpg,3,1410,https://cpt.tcgcsv.com/gZH,2024-04-11T15:05:26.133,1,45/106,Common,Colorless,40,Basic,,"[1] Paralyzing Gaze 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,L,F,1,0.2,0.49,1.63,0.5,,Normal,,
84862,Doduo,Doduo,https://tcgplayer-cdn.tcgplayer.com/product/84862_200w.jpg,3,1410,https://cpt.tcgcsv.com/gZH,2024-04-11T15:05:26.133,1,45/106,Common,Colorless,40,Basic,,"[1] Paralyzing Gaze 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,L,F,1,7.49,8.74,9.99,9.0,,Reverse Holofoil,,
84888,Double Full Heal,Double Full Heal,https://tcgplayer-cdn.tcgplayer.com/product/84888_200w.jpg,3,1410,https://cpt.tcgcsv.com/NZH,2024-04-11T15:12:10.173,1,76/106,Uncommon,Item,,,Remove all Special Conditions from each of your Active Pokemon.,,,,,,0.21,0.5,4.84,0.65,,Normal,,
84888,Double Full Heal,Double Full Heal,https://tcgplayer-cdn.tcgplayer.com/product/84888_200w.jpg,3,1410,https://cpt.tcgcsv.com/NZH,2024-04-11T15:12:10.173,1,76/106,Uncommon,Item,,,Remove all Special Conditions from each of your Active Pokemon.,,,,,,4.5,7.99,9.99,5.0,,Reverse Holofoil,,
84892,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84892_200w.jpg,3,1410,https://cpt.tcgcsv.com/SZH,2024-04-11T15:12:17.363,1,87/106,Rare,Special Energy,,,"Double Rainbow Energy can be attached only to an Evolved Pokemon <em>(excluding Pokemon-ex).</em>
<br>
<br>While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  <em>(Has no effect other than providing Energy.)</em>  Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10 <em>(before applying Weakness and Resistance). </em> When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",,,,,,4.25,9.75,25.0,8.37,,Normal,,
84892,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84892_200w.jpg,3,1410,https://cpt.tcgcsv.com/SZH,2024-04-11T15:12:17.363,1,87/106,Rare,Special Energy,,,"Double Rainbow Energy can be attached only to an Evolved Pokemon <em>(excluding Pokemon-ex).</em>
<br>
<br>While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  <em>(Has no effect other than providing Energy.)</em>  Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10 <em>(before applying Weakness and Resistance). </em> When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",,,,,,23.21,25.53,39.99,23.99,,Reverse Holofoil,,
85032,Dusclops ex,Dusclops ex,https://tcgplayer-cdn.tcgplayer.com/product/85032_200w.jpg,3,1410,https://cpt.tcgcsv.com/G0J,2024-04-11T15:05:26.473,1,94/106,Ultra Rare,Psychic,100,Stage 1,"<b>Poke-BODY</b> Dark Hole <br>
<br>As long as Dusclops ex is on your Bench, don't apply Darkness Weakness for all of your Pokemon in play.","[P] Shadow Beam
<br>Put 2 damage counters on the Defending Pokemon for each Energy attached to Dusclops ex.",,D,FC,2,119.24,132.0,166.5,103.98,,Holofoil,,
85047,Duskull,Duskull,https://tcgplayer-cdn.tcgplayer.com/product/85047_200w.jpg,3,1410,https://cpt.tcgcsv.com/Z0J,2024-04-11T15:05:26.647,1,46/106,Common,Psychic,40,Basic,,[1] Pound (10),,D,F,1,0.2,0.53,1.62,0.55,,Normal,,
85047,Duskull,Duskull,https://tcgplayer-cdn.tcgplayer.com/product/85047_200w.jpg,3,1410,https://cpt.tcgcsv.com/Z0J,2024-04-11T15:05:26.647,1,46/106,Common,Psychic,40,Basic,,[1] Pound (10),,D,F,1,4.0,4.0,18.74,7.25,,Reverse Holofoil,,
85134,Electrike - 047/106,Electrike 047 106,https://tcgplayer-cdn.tcgplayer.com/product/85134_200w.jpg,3,1410,https://cpt.tcgcsv.com/J3J,2024-04-11T15:05:26.757,1,47/106,Common,Lightning,50,Basic,,[1] Double Kick (10x),,F,M,1,0.12,0.39,1.8,0.44,,Normal,,
85134,Electrike - 047/106,Electrike 047 106,https://tcgplayer-cdn.tcgplayer.com/product/85134_200w.jpg,3,1410,https://cpt.tcgcsv.com/J3J,2024-04-11T15:05:26.757,1,47/106,Common,Lightning,50,Basic,,[1] Double Kick (10x),,F,M,1,10.95,17.38,19.0,14.72,,Reverse Holofoil,,
85135,Electrike - 048/106,Electrike 048 106,https://tcgplayer-cdn.tcgplayer.com/product/85135_200w.jpg,3,1410,https://cpt.tcgcsv.com/K3J,2024-04-11T15:05:26.867,1,48/106,Common,Lightning,40,Basic,,[1] Rear Kick (10),[1L] Skull Bash (30),F,M,1,0.25,0.59,3.25,0.64,,Normal,,
85135,Electrike - 048/106,Electrike 048 106,https://tcgplayer-cdn.tcgplayer.com/product/85135_200w.jpg,3,1410,https://cpt.tcgcsv.com/K3J,2024-04-11T15:05:26.867,1,48/106,Common,Lightning,40,Basic,,[1] Rear Kick (10),[1L] Skull Bash (30),F,M,1,18.0,19.0,19.99,7.65,,Reverse Holofoil,,
85154,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/85154_200w.jpg,3,1410,https://cpt.tcgcsv.com/65J,2024-04-11T15:05:27.187,1,27/106,Uncommon,Lightning,70,Stage 1,,"[L] Thundershock (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[3] Speed Ball (50),F,None,1,0.7,0.99,2.61,1.49,,Normal,,
85154,Electrode,Electrode,https://tcgplayer-cdn.tcgplayer.com/product/85154_200w.jpg,3,1410,https://cpt.tcgcsv.com/65J,2024-04-11T15:05:27.187,1,27/106,Uncommon,Lightning,70,Stage 1,,"[L] Thundershock (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[3] Speed Ball (50),F,None,1,18.0,19.63,29.99,20.0,19.25,Reverse Holofoil,,
85371,Exploud,Exploud,https://tcgplayer-cdn.tcgplayer.com/product/85371_200w.jpg,3,1410,https://cpt.tcgcsv.com/r9J,2024-04-11T15:05:27.353,1,3/106,Holo Rare,Colorless,120,Stage 2,,"[1] Collect 
<br>Draw 3 cards.","[2] Body Slam (30) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",F,None,2,10.0,15.0,19.99,8.25,,Normal,[3] Hyper Voice (50),"[5] Mega Throw (60+) 
<br>If the Defending Pokemon is Pokemon-ex, this attack does 60 damage plus 40 more damage."
85371,Exploud,Exploud,https://tcgplayer-cdn.tcgplayer.com/product/85371_200w.jpg,3,1410,https://cpt.tcgcsv.com/r9J,2024-04-11T15:05:27.353,1,3/106,Holo Rare,Colorless,120,Stage 2,,"[1] Collect 
<br>Draw 3 cards.","[2] Body Slam (30) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",F,None,2,10.86,17.97,29.99,12.28,,Holofoil,[3] Hyper Voice (50),"[5] Mega Throw (60+) 
<br>If the Defending Pokemon is Pokemon-ex, this attack does 60 damage plus 40 more damage."
85371,Exploud,Exploud,https://tcgplayer-cdn.tcgplayer.com/product/85371_200w.jpg,3,1410,https://cpt.tcgcsv.com/r9J,2024-04-11T15:05:27.353,1,3/106,Holo Rare,Colorless,120,Stage 2,,"[1] Collect 
<br>Draw 3 cards.","[2] Body Slam (30) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",F,None,2,12.0,24.93,29.99,27.37,,Reverse Holofoil,[3] Hyper Voice (50),"[5] Mega Throw (60+) 
<br>If the Defending Pokemon is Pokemon-ex, this attack does 60 damage plus 40 more damage."
85385,Farfetch'd (Secret Rare),Farfetchd Secret Rare,https://tcgplayer-cdn.tcgplayer.com/product/85385_200w.jpg,3,1410,https://cpt.tcgcsv.com/K9J,2024-04-11T15:05:27.507,1,107/106,Secret Rare,Colorless,70,Basic,,"[1] Spearhead 
<br>Draw a card.","[2] Nosedive(30) 
<br>Farfetch'd does 10 damage to itself.",L,F,1,47.0,52.78,74.99,44.63,,Holofoil,,
85402,Feebas - 049/106,Feebas 049 106,https://tcgplayer-cdn.tcgplayer.com/product/85402_200w.jpg,3,1410,https://cpt.tcgcsv.com/3bJ,2024-04-11T15:05:27.693,1,49/106,Common,Water,30,Basic,"<b>Poke-BODY</b> Submerge <br>
<br>As long as Feebas is on your Bench, prevent all damage done to Feebas by attacks <em>(both yours and your opponent's). </em>","[1W] Lunge (20) 
<br>Flip a coin.  If tails, this attack does nothing.",,L,None,1,0.3,0.75,1.75,0.78,,Normal,,
