productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extResistance,extAttack3,extUPC
83864,Blaine's Charmeleon,Blaines Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/83864_200w.jpg,3,1440,https://cpt.tcgcsv.com/jzH,2023-06-05T11:45:24.48,1,031/132,Uncommon,Fire,,8.41,13.61,34.99,11.7,13.49,1st Edition,70,Stage 1,[RR] Fire Claws (30),"[RRR] Bonfire
<br>Flip 3 coins. For each heads, discard 1 Fire Energy card attached to Blaine's Charmeleon. If you can't discard Energy cards, this attack does nothing. This attack does 10 damage times the number of heads to each of your opponent's Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",W,2,,,
83864,Blaine's Charmeleon,Blaines Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/83864_200w.jpg,3,1440,https://cpt.tcgcsv.com/jzH,2023-06-05T11:45:24.48,1,031/132,Uncommon,Fire,,2.15,3.24,9.99,3.59,5.4,Unlimited,70,Stage 1,[RR] Fire Claws (30),"[RRR] Bonfire
<br>Flip 3 coins. For each heads, discard 1 Fire Energy card attached to Blaine's Charmeleon. If you can't discard Energy cards, this attack does nothing. This attack does 10 damage times the number of heads to each of your opponent's Pokémon. Don't apply Weakness and Resistance for this attack. <em>(Any other effects that would happen after applying Weakness and Resistance still happen.)</em>",W,2,,,
83865,Blaine's Dodrio,Blaines Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/83865_200w.jpg,3,1440,https://cpt.tcgcsv.com/kzH,2022-11-19T15:17:29.057,1,032/132,Uncommon,Colorless,,2.3,3.23,4.95,3.27,,1st Edition,70,Stage 1,"[2] Mega Peck (50)
<br>Flip a coin. If tails, this attack does nothing.",,L,1,F-30,,
83865,Blaine's Dodrio,Blaines Dodrio,https://tcgplayer-cdn.tcgplayer.com/product/83865_200w.jpg,3,1440,https://cpt.tcgcsv.com/kzH,2022-11-19T15:17:29.057,1,032/132,Uncommon,Colorless,,0.98,1.61,3.99,1.76,,Unlimited,70,Stage 1,"[2] Mega Peck (50)
<br>Flip a coin. If tails, this attack does nothing.",,L,1,F-30,,
83866,Blaine's Doduo,Blaines Doduo,https://tcgplayer-cdn.tcgplayer.com/product/83866_200w.jpg,3,1440,https://cpt.tcgcsv.com/lzH,2022-11-30T12:05:19.17,1,061/132,Common,Colorless,,0.8,1.49,3.59,1.3,1.49,1st Edition,50,Basic,"[1] Wild Kick (20)
<br>Flip a coin. If tails, this attack does nothing.","[2] Retaliate (10x)
<br>Does 10 damage times the number of damage counters on Blaine's Doduo.",L,,F-30,,
83866,Blaine's Doduo,Blaines Doduo,https://tcgplayer-cdn.tcgplayer.com/product/83866_200w.jpg,3,1440,https://cpt.tcgcsv.com/lzH,2022-11-30T12:05:19.17,1,061/132,Common,Colorless,,0.25,0.6,2.99,0.55,,Unlimited,50,Basic,"[1] Wild Kick (20)
<br>Flip a coin. If tails, this attack does nothing.","[2] Retaliate (10x)
<br>Does 10 damage times the number of damage counters on Blaine's Doduo.",L,,F-30,,
83870,Blaine's Growlithe,Blaines Growlithe,https://tcgplayer-cdn.tcgplayer.com/product/83870_200w.jpg,3,1440,https://cpt.tcgcsv.com/qzH,2025-03-15T08:42:15.453,1,062/132,Common,Fire,,2.42,3.55,6.1,3.7,6.1,1st Edition,60,Basic,"[R] Stoke
<br>Search your deck for a Fire Energy card and attach it to Blaine's Growlithe. Shuffle your deck afterward.","[2R] Body Slam (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",W,1,,,
83870,Blaine's Growlithe,Blaines Growlithe,https://tcgplayer-cdn.tcgplayer.com/product/83870_200w.jpg,3,1440,https://cpt.tcgcsv.com/qzH,2025-03-15T08:42:15.453,1,062/132,Common,Fire,,0.65,1.7,501.5,1.87,1.65,Unlimited,60,Basic,"[R] Stoke
<br>Search your deck for a Fire Energy card and attach it to Blaine's Growlithe. Shuffle your deck afterward.","[2R] Body Slam (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",W,1,,,
83874,Blaine's Mankey,Blaines Mankey,https://tcgplayer-cdn.tcgplayer.com/product/83874_200w.jpg,3,1440,https://cpt.tcgcsv.com/vzH,2022-11-19T15:19:49.63,1,063/132,Common,Fighting,,0.99,1.57,19.99,1.57,,1st Edition,40,Basic,"[1] Pranks
<br>Flip a coin. If heads, choose a card from your opponent's discard pile and put it on top of his or her deck.","[F] Fury Swipes (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",P,,,,
83874,Blaine's Mankey,Blaines Mankey,https://tcgplayer-cdn.tcgplayer.com/product/83874_200w.jpg,3,1440,https://cpt.tcgcsv.com/vzH,2022-11-19T15:19:49.63,1,063/132,Common,Fighting,,0.29,0.65,501.5,0.64,0.55,Unlimited,40,Basic,"[1] Pranks
<br>Flip a coin. If heads, choose a card from your opponent's discard pile and put it on top of his or her deck.","[F] Fury Swipes (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",P,,,,
83876,Blaine's Ninetales,Blaines Ninetales,https://tcgplayer-cdn.tcgplayer.com/product/83876_200w.jpg,3,1440,https://cpt.tcgcsv.com/xzH,2023-07-20T17:56:14.937,1,021/132,Rare,Fire,"<strong>Pokémon Power: Healing Fire</strong> Whenever you attach a Fire Energy card from your hand to Blaine's Ninetales, remove 1 damage counter from it, if it has any. This power stops working while Blaine's Ninetales is Asleep, Confused,  or Paralyzed.",23.22,35.0,40.0,22.54,,1st Edition,60,Stage 1,"[RR] Burn Up (50)
<br>Flip a coin. If tails, discard all Fire Energy cards attached to Blaine's Ninetales.",,W,2,,,
83876,Blaine's Ninetales,Blaines Ninetales,https://tcgplayer-cdn.tcgplayer.com/product/83876_200w.jpg,3,1440,https://cpt.tcgcsv.com/xzH,2023-07-20T17:56:14.937,1,021/132,Rare,Fire,"<strong>Pokémon Power: Healing Fire</strong> Whenever you attach a Fire Energy card from your hand to Blaine's Ninetales, remove 1 damage counter from it, if it has any. This power stops working while Blaine's Ninetales is Asleep, Confused,  or Paralyzed.",10.5,13.51,52.0,14.09,11.61,Unlimited,60,Stage 1,"[RR] Burn Up (50)
<br>Flip a coin. If tails, discard all Fire Energy cards attached to Blaine's Ninetales.",,W,2,,,
83878,Blaine's Ponyta,Blaines Ponyta,https://tcgplayer-cdn.tcgplayer.com/product/83878_200w.jpg,3,1440,https://cpt.tcgcsv.com/BzH,2024-07-26T19:20:47.277,1,064/132,Common,Fire,,1.17,2.07,9.99,2.08,,1st Edition,50,Basic,"[2] Hind Kick (20)
<br>If you have any Benched Pokémon, flip a coin. If heads, switch Blaine's Ponyta with 1 of your Benched Pokémon.",,W,1,,,
83878,Blaine's Ponyta,Blaines Ponyta,https://tcgplayer-cdn.tcgplayer.com/product/83878_200w.jpg,3,1440,https://cpt.tcgcsv.com/BzH,2024-07-26T19:20:47.277,1,064/132,Common,Fire,,0.33,0.83,2.49,0.89,,Unlimited,50,Basic,"[2] Hind Kick (20)
<br>If you have any Benched Pokémon, flip a coin. If heads, switch Blaine's Ponyta with 1 of your Benched Pokémon.",,W,1,,,
83880,Blaine's Quiz #2,Blaines Quiz 2,https://tcgplayer-cdn.tcgplayer.com/product/83880_200w.jpg,3,1440,https://cpt.tcgcsv.com/DzH,2023-05-31T18:39:16.553,1,111/132,Uncommon,Trainer,"Put a card from your hand face down in front of you. Your opponent guesses whether it is an Energy card, a Trainer card, or a Pokémon (Basic or Evolution) card. Flip the card over. If your opponent guessed right, he or she draws 2 cards. If your opponent guessed wrong, you draw 2 cards. Either way, return the card to your hand.",3.0,4.82,9.99,4.93,,1st Edition,,,,,,,,,
83880,Blaine's Quiz #2,Blaines Quiz 2,https://tcgplayer-cdn.tcgplayer.com/product/83880_200w.jpg,3,1440,https://cpt.tcgcsv.com/DzH,2023-05-31T18:39:16.553,1,111/132,Uncommon,Trainer,"Put a card from your hand face down in front of you. Your opponent guesses whether it is an Energy card, a Trainer card, or a Pokémon (Basic or Evolution) card. Flip the card over. If your opponent guessed right, he or she draws 2 cards. If your opponent guessed wrong, you draw 2 cards. Either way, return the card to your hand.",2.26,3.77,15.0,3.52,,Unlimited,,,,,,,,,
83881,Blaine's Quiz #3,Blaines Quiz 3,https://tcgplayer-cdn.tcgplayer.com/product/83881_200w.jpg,3,1440,https://cpt.tcgcsv.com/FzH,2022-11-19T15:23:19.257,1,112/132,Uncommon,Trainer,"Put a Basic Pokémon or Evolution card from your hand face down in front of you and tell your opponent the name of an attack of that card. Your opponent guesses the name of that card. Flip the card over. If your opponent guessed right, he or she draws 3 cards. If your opponent guessed wrong, you draw 3 cards. Either way, return the card to your hand.",3.0,4.49,49.95,4.98,,1st Edition,,,,,,,,,
83881,Blaine's Quiz #3,Blaines Quiz 3,https://tcgplayer-cdn.tcgplayer.com/product/83881_200w.jpg,3,1440,https://cpt.tcgcsv.com/FzH,2022-11-19T15:23:19.257,1,112/132,Uncommon,Trainer,"Put a Basic Pokémon or Evolution card from your hand face down in front of you and tell your opponent the name of an attack of that card. Your opponent guesses the name of that card. Flip the card over. If your opponent guessed right, he or she draws 3 cards. If your opponent guessed wrong, you draw 3 cards. Either way, return the card to your hand.",2.25,3.52,10.99,3.71,3.6,Unlimited,,,,,,,,,
83882,Blaine's Rapidash,Blaines Rapidash,https://tcgplayer-cdn.tcgplayer.com/product/83882_200w.jpg,3,1440,https://cpt.tcgcsv.com/GzH,2024-01-11T18:49:39.997,1,033/132,Uncommon,Fire,,3.25,4.2,10.0,4.25,,1st Edition,70,Stage 1,[R] Fire Mane (20),"[2R] Stamp (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage <em>(to the Defending Pokémon)</em> and 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> If tails, this attack does 30 damage <em>(to the Defending Pokemon)</em>.",W,,,,
83882,Blaine's Rapidash,Blaines Rapidash,https://tcgplayer-cdn.tcgplayer.com/product/83882_200w.jpg,3,1440,https://cpt.tcgcsv.com/GzH,2024-01-11T18:49:39.997,1,033/132,Uncommon,Fire,,0.5,1.38,4.74,1.89,4.74,Unlimited,70,Stage 1,[R] Fire Mane (20),"[2R] Stamp (30+)
<br>Flip a coin. If heads, this attack does 30 damage plus 10 more damage <em>(to the Defending Pokémon)</em> and 10 damage to each of your opponent's Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> If tails, this attack does 30 damage <em>(to the Defending Pokemon)</em>.",W,,,,
83883,Blaine's Rhyhorn,Blaines Rhyhorn,https://tcgplayer-cdn.tcgplayer.com/product/83883_200w.jpg,3,1440,https://cpt.tcgcsv.com/HzH,2024-07-26T19:20:47.327,1,065/132,Common,Fighting,,1.3,1.59,7.99,1.54,1.27,1st Edition,60,Basic,"[F] Horn Charge (30)
<br>Flip a coin. If tails, this attack does nothing.","[3] Overrun (20)
<br>Flip a coin. If heads and if your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",G,2,L-30,,
83883,Blaine's Rhyhorn,Blaines Rhyhorn,https://tcgplayer-cdn.tcgplayer.com/product/83883_200w.jpg,3,1440,https://cpt.tcgcsv.com/HzH,2024-07-26T19:20:47.327,1,065/132,Common,Fighting,,0.35,0.83,2.25,0.83,,Unlimited,60,Basic,"[F] Horn Charge (30)
<br>Flip a coin. If tails, this attack does nothing.","[3] Overrun (20)
<br>Flip a coin. If heads and if your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",G,2,L-30,,
83886,Blaine's Vulpix,Blaines Vulpix,https://tcgplayer-cdn.tcgplayer.com/product/83886_200w.jpg,3,1440,https://cpt.tcgcsv.com/LzH,2023-06-29T11:26:35.41,1,066/132,Common,Fire,,2.36,3.31,4.99,3.43,,1st Edition,50,Basic,[1] Bite (10),"[R] Call Will-o'-the-wisp
<br>Flip 3 coins. For each heads, if you have a Fire Energy card in your discard pile, put it into your hand.",W,1,,,
83886,Blaine's Vulpix,Blaines Vulpix,https://tcgplayer-cdn.tcgplayer.com/product/83886_200w.jpg,3,1440,https://cpt.tcgcsv.com/LzH,2023-06-29T11:26:35.41,1,066/132,Common,Fire,,0.3,1.2,4.0,1.27,,Unlimited,50,Basic,[1] Bite (10),"[R] Call Will-o'-the-wisp
<br>Flip 3 coins. For each heads, if you have a Fire Energy card in your discard pile, put it into your hand.",W,1,,,
83961,Brock's Diglett,Brocks Diglett,https://tcgplayer-cdn.tcgplayer.com/product/83961_200w.jpg,3,1440,https://cpt.tcgcsv.com/fCH,2022-11-19T15:27:32.577,1,067/132,Common,Fighting,,0.89,1.69,6.99,1.78,,1st Edition,40,Basic,"[F] Surprise Attack (20)
<br>Flip a coin. If tails, this attack does nothing.","[1F] Tremor (40)
<br>Does 10 damage to each of your own Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",G,1,L-30,,
83961,Brock's Diglett,Brocks Diglett,https://tcgplayer-cdn.tcgplayer.com/product/83961_200w.jpg,3,1440,https://cpt.tcgcsv.com/fCH,2022-11-19T15:27:32.577,1,067/132,Common,Fighting,,0.4,0.66,501.5,0.65,,Unlimited,40,Basic,"[F] Surprise Attack (20)
<br>Flip a coin. If tails, this attack does nothing.","[1F] Tremor (40)
<br>Does 10 damage to each of your own Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",G,1,L-30,,
83962,Brock's Dugtrio,Brocks Dugtrio,https://tcgplayer-cdn.tcgplayer.com/product/83962_200w.jpg,3,1440,https://cpt.tcgcsv.com/gCH,2022-11-19T15:28:55.843,1,022/132,Rare,Fighting,,8.65,12.26,19.95,11.6,,1st Edition,60,Stage 1,"[F] Lie Low
<br>All damage done to Brock's Dugtrio during your opponent's next turn is reduced by 20 <em>(after applying Weakness and Resistance)</em>.","[1FF] Earthdrill (60)
<br>This attack can't be used unless Brock's Dugtrio used its Lie Low attack last turn.",G,1,L-30,,
83962,Brock's Dugtrio,Brocks Dugtrio,https://tcgplayer-cdn.tcgplayer.com/product/83962_200w.jpg,3,1440,https://cpt.tcgcsv.com/gCH,2022-11-19T15:28:55.843,1,022/132,Rare,Fighting,,4.25,6.99,11.59,7.53,,Unlimited,60,Stage 1,"[F] Lie Low
<br>All damage done to Brock's Dugtrio during your opponent's next turn is reduced by 20 <em>(after applying Weakness and Resistance)</em>.","[1FF] Earthdrill (60)
<br>This attack can't be used unless Brock's Dugtrio used its Lie Low attack last turn.",G,1,L-30,,
83965,Brock's Geodude,Brocks Geodude,https://tcgplayer-cdn.tcgplayer.com/product/83965_200w.jpg,3,1440,https://cpt.tcgcsv.com/kCH,2022-11-19T15:29:29.117,1,068/132,Common,Fighting,,0.99,1.81,4.99,1.65,1.76,1st Edition,50,Basic,"[F] Rock Toss (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",,G,1,,,
83965,Brock's Geodude,Brocks Geodude,https://tcgplayer-cdn.tcgplayer.com/product/83965_200w.jpg,3,1440,https://cpt.tcgcsv.com/kCH,2022-11-19T15:29:29.117,1,068/132,Common,Fighting,,0.42,0.91,4.99,0.96,0.93,Unlimited,50,Basic,"[F] Rock Toss (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.",,G,1,,,
83968,Brock's Graveler,Brocks Graveler,https://tcgplayer-cdn.tcgplayer.com/product/83968_200w.jpg,3,1440,https://cpt.tcgcsv.com/nCH,2022-11-19T15:30:17.633,1,034/132,Uncommon,Fighting,,2.25,3.34,8.99,3.46,,1st Edition,70,Stage 1,[2] Tackle (20),"[FFF] Detonate (50)
<br>Does 10 damage to each Pokémon on each player's bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Brock's Graveler does 50 damage to itself. If there is a Stadium card in play, discard it.",G,2,,,
83968,Brock's Graveler,Brocks Graveler,https://tcgplayer-cdn.tcgplayer.com/product/83968_200w.jpg,3,1440,https://cpt.tcgcsv.com/nCH,2022-11-19T15:30:17.633,1,034/132,Uncommon,Fighting,,1.24,1.63,6.0,2.2,,Unlimited,70,Stage 1,[2] Tackle (20),"[FFF] Detonate (50)
<br>Does 10 damage to each Pokémon on each player's bench. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em> Brock's Graveler does 50 damage to itself. If there is a Stadium card in play, discard it.",G,2,,,
83973,Brock's Ninetales,Brocks Ninetales,https://tcgplayer-cdn.tcgplayer.com/product/83973_200w.jpg,3,1440,https://cpt.tcgcsv.com/tCH,2023-10-03T17:57:58.483,1,003/132,Holo Rare,Fire,"<strong>Pokémon Power: Shapeshift</strong> Once during your turn <em>(before your attack)</em>, you may attach an Evolution card from your hand to Brock's Ninetales. (This doesn't count as evolving Brock's Ninetales.) Treat Brock's Ninetales as if it were that Pokémon instead. It can't evolve, devolve, or use the Pokémon Power of that Pokémon. During your turn, you may discard the Evolution card attached to Brock's Ninetales. This power can't be used if Brock's Ninetales is Asleep, Confused, or Paralyzed. If Brock's Ninetales becomes Asleep, Confused, or Paralyzed, discard all Evolution cards attached to it.",119.99,166.95,169.99,107.84,,1st Edition Holofoil,70,Stage 1,[RR] Will-o'-the-wisp (30),,W,1,,,
83973,Brock's Ninetales,Brocks Ninetales,https://tcgplayer-cdn.tcgplayer.com/product/83973_200w.jpg,3,1440,https://cpt.tcgcsv.com/tCH,2023-10-03T17:57:58.483,1,003/132,Holo Rare,Fire,"<strong>Pokémon Power: Shapeshift</strong> Once during your turn <em>(before your attack)</em>, you may attach an Evolution card from your hand to Brock's Ninetales. (This doesn't count as evolving Brock's Ninetales.) Treat Brock's Ninetales as if it were that Pokémon instead. It can't evolve, devolve, or use the Pokémon Power of that Pokémon. During your turn, you may discard the Evolution card attached to Brock's Ninetales. This power can't be used if Brock's Ninetales is Asleep, Confused, or Paralyzed. If Brock's Ninetales becomes Asleep, Confused, or Paralyzed, discard all Evolution cards attached to it.",45.8,60.9,101.92,67.94,,Unlimited Holofoil,70,Stage 1,[RR] Will-o'-the-wisp (30),,W,1,,,
83976,Brock's Primeape,Brocks Primeape,https://tcgplayer-cdn.tcgplayer.com/product/83976_200w.jpg,3,1440,https://cpt.tcgcsv.com/xCH,2023-03-27T15:12:47.977,1,035/132,Uncommon,Fighting,"<strong>Pokémon Power: Scram</strong> If Brock's Primeape ever has exactly 10 HP left, shuffle it and all cards attached to it into your deck. This power stops working while Brock's Primeape is Asleep, Confused, or Paralyzed.",3.39,4.3,5.5,4.46,,1st Edition,70,Stage 1,"[FFF] Mega Thrash (60)
<br>Brock's Primeape does 20 damage to itself. If there is a Stadium card in play, discard it.",,P,1,,,
83976,Brock's Primeape,Brocks Primeape,https://tcgplayer-cdn.tcgplayer.com/product/83976_200w.jpg,3,1440,https://cpt.tcgcsv.com/xCH,2023-03-27T15:12:47.977,1,035/132,Uncommon,Fighting,"<strong>Pokémon Power: Scram</strong> If Brock's Primeape ever has exactly 10 HP left, shuffle it and all cards attached to it into your deck. This power stops working while Brock's Primeape is Asleep, Confused, or Paralyzed.",1.39,2.45,9.0,2.58,,Unlimited,70,Stage 1,"[FFF] Mega Thrash (60)
<br>Brock's Primeape does 20 damage to itself. If there is a Stadium card in play, discard it.",,P,1,,,
83977,Brock's Protection,Brocks Protection,https://tcgplayer-cdn.tcgplayer.com/product/83977_200w.jpg,3,1440,https://cpt.tcgcsv.com/zCH,2022-11-19T15:36:06.9,1,101/132,Rare,Trainer,Attach Brock's Protection to 1 of your Pokémon with Brock in its name. Energy cards attached to that Pokémon can't be removed by your opponent's attacks or Trainer cards. (This doesn't stop the rest of the attack or Trainer card from working normally.),4.75,6.1,15.0,7.06,6.08,1st Edition,,,,,,,,,
83977,Brock's Protection,Brocks Protection,https://tcgplayer-cdn.tcgplayer.com/product/83977_200w.jpg,3,1440,https://cpt.tcgcsv.com/zCH,2022-11-19T15:36:06.9,1,101/132,Rare,Trainer,Attach Brock's Protection to 1 of your Pokémon with Brock in its name. Energy cards attached to that Pokémon can't be removed by your opponent's attacks or Trainer cards. (This doesn't stop the rest of the attack or Trainer card from working normally.),4.35,5.38,29.0,4.43,,Unlimited,,,,,,,,,
83984,Brock's Sandslash,Brocks Sandslash,https://tcgplayer-cdn.tcgplayer.com/product/83984_200w.jpg,3,1440,https://cpt.tcgcsv.com/JCH,2023-07-11T18:11:22.947,1,036/132,Uncommon,Fighting,,2.4,4.28,19.99,4.73,19.99,1st Edition,70,Stage 1,"[1F] Swift (20)
<br>This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.","[FF] Needle Ball (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",G,1,L-30,,
83984,Brock's Sandslash,Brocks Sandslash,https://tcgplayer-cdn.tcgplayer.com/product/83984_200w.jpg,3,1440,https://cpt.tcgcsv.com/JCH,2023-07-11T18:11:22.947,1,036/132,Uncommon,Fighting,,1.5,2.95,4.0,3.1,,Unlimited,70,Stage 1,"[1F] Swift (20)
<br>This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.","[FF] Needle Ball (30)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",G,1,L-30,,
