productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extUPC
84566,Dark Ariados,Dark Ariados,https://tcgplayer-cdn.tcgplayer.com/product/84566_200w.jpg,3,1444,https://cpt.tcgcsv.com/lRH,2022-11-28T19:14:34.087,1,017/105,Rare,Grass,,5.9,11.31,20.24,11.09,,1st Edition,60,Stage 1,"[G] Entangle
<br>If your opponent has any Benched Pokémon, choose 1 of them and switch it with the Defending Pokémon, then flip a coin. If heads, the new Defending Pokémon is now Paralyzed.","[GGG] Poison Bind (30)
<br>The Defending Pokémon is now Poisoned. Flip a coin. If heads, the Defending Pokémon can't retreat until the end of your opponent's next turn and if the effect of an attack, Pokémon Power, or Trainer card would change that player's Active Pokémon, that part of the effect does nothing.",R,,2,
84566,Dark Ariados,Dark Ariados,https://tcgplayer-cdn.tcgplayer.com/product/84566_200w.jpg,3,1444,https://cpt.tcgcsv.com/lRH,2022-11-28T19:14:34.087,1,017/105,Rare,Grass,,3.5,5.17,8.75,4.95,,Unlimited,60,Stage 1,"[G] Entangle
<br>If your opponent has any Benched Pokémon, choose 1 of them and switch it with the Defending Pokémon, then flip a coin. If heads, the new Defending Pokémon is now Paralyzed.","[GGG] Poison Bind (30)
<br>The Defending Pokémon is now Poisoned. Flip a coin. If heads, the Defending Pokémon can't retreat until the end of your opponent's next turn and if the effect of an attack, Pokémon Power, or Trainer card would change that player's Active Pokémon, that part of the effect does nothing.",R,,2,
84576,Dark Crobat,Dark Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84576_200w.jpg,3,1444,https://cpt.tcgcsv.com/xRH,2022-11-28T19:16:42.99,1,002/105,Holo Rare,Grass,"<strong>Pokémon Power: Surprise Bite</strong> When you play Dark Crobat from your hand, you may choose 1 of your opponent's Pokémon. This power does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em>",120.0,120.89,121.78,150.0,,1st Edition Holofoil,70,Stage 2,"[GG] Dark Drain
<br>Flip a coin for each of your opponent's Pokémon. For each heads, this attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them.",,P,F-30,,
84576,Dark Crobat,Dark Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84576_200w.jpg,3,1444,https://cpt.tcgcsv.com/xRH,2022-11-28T19:16:42.99,1,002/105,Holo Rare,Grass,"<strong>Pokémon Power: Surprise Bite</strong> When you play Dark Crobat from your hand, you may choose 1 of your opponent's Pokémon. This power does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em>",79.98,99.0,150.0,91.94,,Unlimited Holofoil,70,Stage 2,"[GG] Dark Drain
<br>Flip a coin for each of your opponent's Pokémon. For each heads, this attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them.",,P,F-30,,
84578,Dark Croconaw,Dark Croconaw,https://tcgplayer-cdn.tcgplayer.com/product/84578_200w.jpg,3,1444,https://cpt.tcgcsv.com/BRH,2022-11-28T19:18:49.197,1,032/105,Uncommon,Water,,12.06,14.35,16.7,13.93,,1st Edition,60,Stage 1,"[WW] Clamping Jaw (20)
<br>The Defending Pokémon can't retreat during your opponent's next turn. If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing. <em>(Benching either Pokémon ends this effect.)</em>",,G,,2,
84578,Dark Croconaw,Dark Croconaw,https://tcgplayer-cdn.tcgplayer.com/product/84578_200w.jpg,3,1444,https://cpt.tcgcsv.com/BRH,2022-11-28T19:18:49.197,1,032/105,Uncommon,Water,,2.39,3.82,7.5,4.33,,Unlimited,60,Stage 1,"[WW] Clamping Jaw (20)
<br>The Defending Pokémon can't retreat during your opponent's next turn. If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing. <em>(Benching either Pokémon ends this effect.)</em>",,G,,2,
84579,Dark Donphan,Dark Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84579_200w.jpg,3,1444,https://cpt.tcgcsv.com/CRH,2022-11-28T19:20:09.737,1,003/105,Holo Rare,Fighting,,80.0,109.5,215.99,77.98,,1st Edition Holofoil,60,Stage 1,"[FF] Tusk Toss
<br>If your opponent has any Benched Pokémon, flip a coin. If heads, return the Defending Pokémon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokémon and switches it with the Defending Pokémon.",[1FF] Giant Tusk (50),G,L-30,3,
84579,Dark Donphan,Dark Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84579_200w.jpg,3,1444,https://cpt.tcgcsv.com/CRH,2022-11-28T19:20:09.737,1,003/105,Holo Rare,Fighting,,33.19,45.83,99.95,55.55,,Unlimited Holofoil,60,Stage 1,"[FF] Tusk Toss
<br>If your opponent has any Benched Pokémon, flip a coin. If heads, return the Defending Pokémon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokémon and switches it with the Defending Pokémon.",[1FF] Giant Tusk (50),G,L-30,3,
84592,Dark Espeon,Dark Espeon,https://tcgplayer-cdn.tcgplayer.com/product/84592_200w.jpg,3,1444,https://cpt.tcgcsv.com/SRH,2023-04-29T10:12:09.223,1,004/105,Holo Rare,Psychic,,450.0,725.0,999.99,437.5,,1st Edition Holofoil,60,Stage 1,"[1] Gouge (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","[2P] Psysplash
<br>Does 10 damage to each of your opponent's Pokémon for each Energy card attached to that Pokémon. Don't apply Weakness and Resistance.",P,,,
84592,Dark Espeon,Dark Espeon,https://tcgplayer-cdn.tcgplayer.com/product/84592_200w.jpg,3,1444,https://cpt.tcgcsv.com/SRH,2023-04-29T10:12:09.223,1,004/105,Holo Rare,Psychic,,87.9,152.5,250.0,301.62,,Unlimited Holofoil,60,Stage 1,"[1] Gouge (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","[2P] Psysplash
<br>Does 10 damage to each of your opponent's Pokémon for each Energy card attached to that Pokémon. Don't apply Weakness and Resistance.",P,,,
84593,Dark Exeggcutor,Dark Exeggcutor,https://tcgplayer-cdn.tcgplayer.com/product/84593_200w.jpg,3,1444,https://cpt.tcgcsv.com/TRH,2022-11-28T19:23:35.45,1,033/105,Uncommon,Psychic,,6.5,7.19,7.88,8.67,,1st Edition,60,Stage 1,"[1] Triple Headbutt (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.","[1P] MAX Burst (20x)
<br>Flip a number of coins equal to the number of Energy cards attached to your opponent's Pokémon. This attack does 20 damage times the number of heads.",P,,2,
84593,Dark Exeggcutor,Dark Exeggcutor,https://tcgplayer-cdn.tcgplayer.com/product/84593_200w.jpg,3,1444,https://cpt.tcgcsv.com/TRH,2022-11-28T19:23:35.45,1,033/105,Uncommon,Psychic,,2.35,3.47,7.99,3.84,,Unlimited,60,Stage 1,"[1] Triple Headbutt (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.","[1P] MAX Burst (20x)
<br>Flip a number of coins equal to the number of Energy cards attached to your opponent's Pokémon. This attack does 20 damage times the number of heads.",P,,2,
84594,Dark Feraligatr,Dark Feraligatr,https://tcgplayer-cdn.tcgplayer.com/product/84594_200w.jpg,3,1444,https://cpt.tcgcsv.com/VRH,2022-11-28T19:25:29.967,1,005/105,Holo Rare,Water,"<strong>Pokémon Power: Scare</strong> As long as Dark Feraligatr is your Active Pokémon, all of your opponent's Baby Pokémon Powers stop working and your opponent's Baby Pokémon can't attack. This power stops working while Dark Feraligatr is Asleep, Confused, or Paralyzed.",90.1,98.34,150.95,149.97,,Unlimited Holofoil,80,Stage 2,"[WWW] Crushing Blow (50)
<br>If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those cards and discard it.",,G,,3,
84595,Dark Flaaffy,Dark Flaaffy,https://tcgplayer-cdn.tcgplayer.com/product/84595_200w.jpg,3,1444,https://cpt.tcgcsv.com/WRH,2023-05-26T11:06:04.153,1,034/105,Uncommon,Lightning,,7.2,7.44,7.67,7.67,,1st Edition,60,Stage 1,"[L] High Voltage (10)
<br>Flip a coin. If heads, your opponent can't play Trainer cards during his or her next turn.","[1L] Stun Wave (30)
<br>If the Defending Pokémon has a Pokémon Power, that power stops working until the end of your next turn.",F,,1,
84595,Dark Flaaffy,Dark Flaaffy,https://tcgplayer-cdn.tcgplayer.com/product/84595_200w.jpg,3,1444,https://cpt.tcgcsv.com/WRH,2023-05-26T11:06:04.153,1,034/105,Uncommon,Lightning,,2.13,3.0,4.99,3.21,,Unlimited,60,Stage 1,"[L] High Voltage (10)
<br>Flip a coin. If heads, your opponent can't play Trainer cards during his or her next turn.","[1L] Stun Wave (30)
<br>If the Defending Pokémon has a Pokémon Power, that power stops working until the end of your next turn.",F,,1,
84598,Dark Forretress,Dark Forretress,https://tcgplayer-cdn.tcgplayer.com/product/84598_200w.jpg,3,1444,https://cpt.tcgcsv.com/-RH,2022-11-28T19:28:48.627,1,035/105,Uncommon,Grass,,3.95,4.9,7.49,4.73,7.49,1st Edition,60,Stage 1,"[1] Armor Up
<br>
Until the end of your next turn, if Dark Forretress would be Knocked Out by damage from an attack, flip a coin. If heads, Dark Forretress is not Knocked Out and its remaining HIP become 10 instead.","[GG] Explosion (60)
<br>Dark Forretress does 60 damage to itself.",R,,2,
84598,Dark Forretress,Dark Forretress,https://tcgplayer-cdn.tcgplayer.com/product/84598_200w.jpg,3,1444,https://cpt.tcgcsv.com/-RH,2022-11-28T19:28:48.627,1,035/105,Uncommon,Grass,,1.42,3.33,7.99,3.55,,Unlimited,60,Stage 1,"[1] Armor Up
<br>
Until the end of your next turn, if Dark Forretress would be Knocked Out by damage from an attack, flip a coin. If heads, Dark Forretress is not Knocked Out and its remaining HIP become 10 instead.","[GG] Explosion (60)
<br>Dark Forretress does 60 damage to itself.",R,,2,
84599,Dark Gengar,Dark Gengar,https://tcgplayer-cdn.tcgplayer.com/product/84599_200w.jpg,3,1444,https://cpt.tcgcsv.com/_RH,2022-11-28T19:31:15.423,1,006/105,Holo Rare,Psychic,"<strong>Pokémon Power: Deep Sleep</strong> As long as any Dark Gengar are in play, a player flips 2 coins for each of his or her Pokémon that is Asleep at the end of each turn. If either of them is tails, that Pokémon is still Asleep. This power stops working while Dark Gengar is Asleep, Confused, or Paralyzed.",169.99,240.37,300.0,299.87,,Unlimited Holofoil,70,Stage 2,"[PPP] Pull In (30)
<br>
If your opponent has any Benched Pokémon, you may choose 1 of them and switch it with the Defending Pokémon (before doing damage or other effects of this attack). Either way, the Defending Pokémon is now Asleep.",,,F-30,2,
84609,Dark Haunter,Dark Haunter,https://tcgplayer-cdn.tcgplayer.com/product/84609_200w.jpg,3,1444,https://cpt.tcgcsv.com/cSH,2022-11-28T19:33:49.62,1,036/105,Uncommon,Psychic,,39.99,40.95,49.95,36.01,,1st Edition,50,Stage 1,"[P] Call Back
<br>
Put a Baby Pokémon or Basic Pokémon card from your opponent's discard pile onto his or her Bench. Put 1 damage counter on that Pokémon. <em>(You can't use this attack if your Bench is full.)</em>","[PP] Surround (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep. If tails, the Defending Pokémon can't retreat during your opponent's next turn.",,F-30,,
84609,Dark Haunter,Dark Haunter,https://tcgplayer-cdn.tcgplayer.com/product/84609_200w.jpg,3,1444,https://cpt.tcgcsv.com/cSH,2022-11-28T19:33:49.62,1,036/105,Uncommon,Psychic,,4.0,5.14,40.0,5.9,,Unlimited,50,Stage 1,"[P] Call Back
<br>
Put a Baby Pokémon or Basic Pokémon card from your opponent's discard pile onto his or her Bench. Put 1 damage counter on that Pokémon. <em>(You can't use this attack if your Bench is full.)</em>","[PP] Surround (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep. If tails, the Defending Pokémon can't retreat during your opponent's next turn.",,F-30,,
84610,Dark Houndoom,Dark Houndoom,https://tcgplayer-cdn.tcgplayer.com/product/84610_200w.jpg,3,1444,https://cpt.tcgcsv.com/dSH,2022-11-28T19:35:12.677,1,007/105,Holo Rare,Fire,,80.0,99.5,140.0,124.37,,Unlimited Holofoil,60,Stage 1,"[1] Eerie Howl
<br>If your opponent's Bench isn't full, look at his or her hand. If your opponent has any Baby Pokémon or Basic Pokémon there, choose 1 of them and put it on his or her Bench. Then, switch it with the Defending Pokémon.","[1R] Dark Fire (30+)
<br>If there are any Darkness Energy cards attached to Dark Houndoom, discard 1 of them and this attack does 30 damage plus 20 more damage (plus 10 more for the Darkness Energy you discarded). If there aren't any, this attack does 30 damage.",W,,1,
84622,Dark Magcargo,Dark Magcargo,https://tcgplayer-cdn.tcgplayer.com/product/84622_200w.jpg,3,1444,https://cpt.tcgcsv.com/sSH,2023-03-20T11:26:04.313,1,018/105,Rare,Fire,"<strong>Pokémon Power: Hot Plate</strong> As long as Dark Magcargo is your Active Pokémon, whenever a player puts a Baby Pokémon or a Basic Pokémon onto his or her Bench from his or her hand, this power does 10 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em> This power stops working while Dark Magcargo is Asleep, Confused, or Paralyzed.",14.99,16.0,17.98,11.49,,1st Edition,60,Stage 1,"[RR] Ball of Flame (20)
<br>You may discard a Fire Energy card attached to Dark Magcargo when you use this attack. If you do and if your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,W,,3,
84622,Dark Magcargo,Dark Magcargo,https://tcgplayer-cdn.tcgplayer.com/product/84622_200w.jpg,3,1444,https://cpt.tcgcsv.com/sSH,2023-03-20T11:26:04.313,1,018/105,Rare,Fire,"<strong>Pokémon Power: Hot Plate</strong> As long as Dark Magcargo is your Active Pokémon, whenever a player puts a Baby Pokémon or a Basic Pokémon onto his or her Bench from his or her hand, this power does 10 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em> This power stops working while Dark Magcargo is Asleep, Confused, or Paralyzed.",1.0,2.49,16.75,2.7,,Unlimited,60,Stage 1,"[RR] Ball of Flame (20)
<br>You may discard a Fire Energy card attached to Dark Magcargo when you use this attack. If you do and if your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,W,,3,
84632,Dark Octillery,Dark Octillery,https://tcgplayer-cdn.tcgplayer.com/product/84632_200w.jpg,3,1444,https://cpt.tcgcsv.com/GSH,2022-11-28T19:50:14.037,1,062/105,Common,Water,,1.01,2.49,4.2,2.3,,1st Edition,60,Stage 1,"[W] Ink Blast (20+)
<br>This attack does 20 damage plus 10 more damage for each Energy attached to Dark Octillery but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.","[1W] Tentacle Wrap (20)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, during your opponent's next turn, your opponent pays 1 Colorless more to retreat the Defending Pokémon.",L,,2,
84632,Dark Octillery,Dark Octillery,https://tcgplayer-cdn.tcgplayer.com/product/84632_200w.jpg,3,1444,https://cpt.tcgcsv.com/GSH,2022-11-28T19:50:14.037,1,062/105,Common,Water,,0.45,1.1,2.49,1.26,,Unlimited,60,Stage 1,"[W] Ink Blast (20+)
<br>This attack does 20 damage plus 10 more damage for each Energy attached to Dark Octillery but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.","[1W] Tentacle Wrap (20)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, during your opponent's next turn, your opponent pays 1 Colorless more to retreat the Defending Pokémon.",L,,2,
84634,Dark Omanyte,Dark Omanyte,https://tcgplayer-cdn.tcgplayer.com/product/84634_200w.jpg,3,1444,https://cpt.tcgcsv.com/JSH,2022-11-28T19:51:53.743,1,037/105,Uncommon,Water,,5.4,6.25,8.45,6.06,,1st Edition,40,Stage 1,"[W] Water Cannon
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage for each Water Energy card attached to Dark Omanyte. Don't apply Weakness and resistance. You can't do more than 30 damage in this way.",,G,,1,
84634,Dark Omanyte,Dark Omanyte,https://tcgplayer-cdn.tcgplayer.com/product/84634_200w.jpg,3,1444,https://cpt.tcgcsv.com/JSH,2022-11-28T19:51:53.743,1,037/105,Uncommon,Water,,1.81,2.89,12.0,3.17,,Unlimited,40,Stage 1,"[W] Water Cannon
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage for each Water Energy card attached to Dark Omanyte. Don't apply Weakness and resistance. You can't do more than 30 damage in this way.",,G,,1,
84635,Dark Omastar,Dark Omastar,https://tcgplayer-cdn.tcgplayer.com/product/84635_200w.jpg,3,1444,https://cpt.tcgcsv.com/KSH,2024-01-04T18:53:46.06,1,019/105,Rare,Water,,29.99,29.99,29.99,18.31,,1st Edition,70,Stage 2,"[W] Prehistoric Water
<br>If your opponent has any evolved Pokémon in play, choose 1 of them and flip a coin. If heads, your opponent takes the highest Stage Evolution card on that Pokémon and shuffles it into his or her deck.","[1W] Dark Tentacle (30)
<br>
During your opponent's next turn, the Defending Pokémon can't evolve except from effects of attacks or Pokémon Powers. <em>(Benching that Pokémon ends this effect.)</em>",G,,2,
84635,Dark Omastar,Dark Omastar,https://tcgplayer-cdn.tcgplayer.com/product/84635_200w.jpg,3,1444,https://cpt.tcgcsv.com/KSH,2024-01-04T18:53:46.06,1,019/105,Rare,Water,,10.0,12.35,19.99,10.6,,Unlimited,70,Stage 2,"[W] Prehistoric Water
<br>If your opponent has any evolved Pokémon in play, choose 1 of them and flip a coin. If heads, your opponent takes the highest Stage Evolution card on that Pokémon and shuffles it into his or her deck.","[1W] Dark Tentacle (30)
<br>
During your opponent's next turn, the Defending Pokémon can't evolve except from effects of attacks or Pokémon Powers. <em>(Benching that Pokémon ends this effect.)</em>",G,,2,
84640,Dark Porygon2,Dark Porygon2,https://tcgplayer-cdn.tcgplayer.com/product/84640_200w.jpg,3,1444,https://cpt.tcgcsv.com/QSH,2022-11-28T19:58:42.023,1,008/105,Holo Rare,Colorless,"<strong>Pokémon Power: Spatial Distortion</strong> Once during your turn <em>(before your attack)</em>, you may flip a coin. If heads, choose a Stadium card from your discard pile and put it into play. (If there's already a Stadium card in play, discard it.) This power can't be used if Dark Porygon2 is Asleep, Confused, or Paralyzed.",60.0,89.97,107.99,64.75,,Unlimited Holofoil,60,Stage 1,"[3] Curve Attack (20)
<br>Flip a coin. If heads, prevent all damage done by attacks to Dark Porygon2 during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",,F,P-30,1,
84642,Dark Pupitar,Dark Pupitar,https://tcgplayer-cdn.tcgplayer.com/product/84642_200w.jpg,3,1444,https://cpt.tcgcsv.com/SSH,2022-11-28T20:00:42.44,1,038/105,Uncommon,Fighting,,8.12,9.4,11.2,9.01,,1st Edition,60,Stage 1,"[FF] Rock Tackle (40)
<br>Dark Pupitar does 10 damage to itself. Dark Pupitar can't use this attack during your next turn.","[3] Explosive Evolution
<br>Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance. Then, search your deck for an Evolution card named Dark Tyranitar and put it on Dark Pupitar. <em>(This counts as evolving Dark Pupitar.)</em> Shuffle your deck afterward.",G,L-30,1,
84642,Dark Pupitar,Dark Pupitar,https://tcgplayer-cdn.tcgplayer.com/product/84642_200w.jpg,3,1444,https://cpt.tcgcsv.com/SSH,2022-11-28T20:00:42.44,1,038/105,Uncommon,Fighting,,1.99,3.0,7.99,2.98,,Unlimited,60,Stage 1,"[FF] Rock Tackle (40)
<br>Dark Pupitar does 10 damage to itself. Dark Pupitar can't use this attack during your next turn.","[3] Explosive Evolution
<br>Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance. Then, search your deck for an Evolution card named Dark Tyranitar and put it on Dark Pupitar. <em>(This counts as evolving Dark Pupitar.)</em> Shuffle your deck afterward.",G,L-30,1,
84645,Dark Quilava,Dark Quilava,https://tcgplayer-cdn.tcgplayer.com/product/84645_200w.jpg,3,1444,https://cpt.tcgcsv.com/WSH,2022-12-05T12:02:16.26,1,039/105,Uncommon,Fire,,9.55,11.86,17.0,11.84,,1st Edition,60,Stage 1,"[R] Incinerate
<br>
Show the top card of your opponent's deck to all players. If it's a Trainer card, discard it.","[RR] Rushing Magma (20x)
<br>
Discard the top 5 cards of your deck. <em>(If there are fewer than 5 cards in your deck, discard all of them.)</em> This attack does 20 damage for each Fire Energy card you discarded in this way.",W,,1,
84645,Dark Quilava,Dark Quilava,https://tcgplayer-cdn.tcgplayer.com/product/84645_200w.jpg,3,1444,https://cpt.tcgcsv.com/WSH,2022-12-05T12:02:16.26,1,039/105,Uncommon,Fire,,1.25,2.11,5.0,2.22,,Unlimited,60,Stage 1,"[R] Incinerate
<br>
Show the top card of your opponent's deck to all players. If it's a Trainer card, discard it.","[RR] Rushing Magma (20x)
<br>
Discard the top 5 cards of your deck. <em>(If there are fewer than 5 cards in your deck, discard all of them.)</em> This attack does 20 damage for each Fire Energy card you discarded in this way.",W,,1,
84652,Dark Scizor,Dark Scizor,https://tcgplayer-cdn.tcgplayer.com/product/84652_200w.jpg,3,1444,https://cpt.tcgcsv.com/3TH,2022-11-28T20:12:59.443,1,009/105,Holo Rare,Metal,,300.0,492.49,999.99,749.84,,1st Edition Holofoil,70,Stage 1,"[2] Threaten
<br>Flip a coin. If heads, look at your opponent's hand. If there are any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck.",[3] Slash (30),R,G-30,2,
84652,Dark Scizor,Dark Scizor,https://tcgplayer-cdn.tcgplayer.com/product/84652_200w.jpg,3,1444,https://cpt.tcgcsv.com/3TH,2022-11-28T20:12:59.443,1,009/105,Holo Rare,Metal,,111.98,176.0,191.99,176.44,,Unlimited Holofoil,70,Stage 1,"[2] Threaten
<br>Flip a coin. If heads, look at your opponent's hand. If there are any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck.",[3] Slash (30),R,G-30,2,
