productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extAttack3,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
83903,Blaziken - 3/109,Blaziken 3 109,https://tcgplayer-cdn.tcgplayer.com/product/83903_200w.jpg,3,1393,https://cpt.tcgcsv.com/5BH,2023-12-21T20:33:39.177,1,3/109,Holo Rare,Fire,100,Stage 2,"[2R] Fire Stream (50) 
<br>Discard a Fire Energy card attached to Blaziken.  If you do, this attack does 10 damage to each of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,,W,None,2,31.75,44.72,99.99,45.14,,Holofoil,"<b>Poke-POWER</b> Firestarter 
<br>Once during your turn <em>(before your attack)</em>, you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokemon.  This power can't be used if Blaziken is affected by a Special Condition."
83903,Blaziken - 3/109,Blaziken 3 109,https://tcgplayer-cdn.tcgplayer.com/product/83903_200w.jpg,3,1393,https://cpt.tcgcsv.com/5BH,2023-12-21T20:33:39.177,1,3/109,Holo Rare,Fire,100,Stage 2,"[2R] Fire Stream (50) 
<br>Discard a Fire Energy card attached to Blaziken.  If you do, this attack does 10 damage to each of your opponent's Benched Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,,W,None,2,28.99,55.0,149.99,149.99,115.68,Reverse Holofoil,"<b>Poke-POWER</b> Firestarter 
<br>Once during your turn <em>(before your attack)</em>, you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokemon.  This power can't be used if Blaziken is affected by a Special Condition."
83904,Blaziken - 15/109,Blaziken 15 109,https://tcgplayer-cdn.tcgplayer.com/product/83904_200w.jpg,3,1393,https://cpt.tcgcsv.com/6BH,2023-12-21T20:36:02.743,1,15/109,Rare,Fire,110,Stage 2,"[2] Clutch (20) 
<br>The Defending Pokemon can't retreat until the end of your opponent's next turn.","[3R] Flamethrower (80) 
<br>Discard a Fire Energy card attached to Blaziken.",,W,None,2,0.75,1.54,15.47,1.88,,Normal,
83904,Blaziken - 15/109,Blaziken 15 109,https://tcgplayer-cdn.tcgplayer.com/product/83904_200w.jpg,3,1393,https://cpt.tcgcsv.com/6BH,2023-12-21T20:36:02.743,1,15/109,Rare,Fire,110,Stage 2,"[2] Clutch (20) 
<br>The Defending Pokemon can't retreat until the end of your opponent's next turn.","[3R] Flamethrower (80) 
<br>Discard a Fire Energy card attached to Blaziken.",,W,None,2,23.0,28.43,78.98,30.69,,Reverse Holofoil,
83953,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83953_200w.jpg,3,1393,https://cpt.tcgcsv.com/5CH,2023-12-21T20:36:10.91,1,16/109,Rare,Grass,70,Stage 1,[2] Headbutt (20),"[2G] Battle Blast (40+)
<br>Does 40 damage plus 10 more damage for each Fightning Energy attached to Breloom.",,R,None,1,0.68,1.74,5.0,1.94,,Normal,
83953,Breloom,Breloom,https://tcgplayer-cdn.tcgplayer.com/product/83953_200w.jpg,3,1393,https://cpt.tcgcsv.com/5CH,2023-12-21T20:36:10.91,1,16/109,Rare,Grass,70,Stage 1,[2] Headbutt (20),"[2G] Battle Blast (40+)
<br>Does 40 damage plus 10 more damage for each Fightning Energy attached to Breloom.",,R,None,1,2.0,3.47,8.0,9.53,,Reverse Holofoil,
84087,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84087_200w.jpg,3,1393,https://cpt.tcgcsv.com/MFH,2023-12-21T20:33:53.743,1,4/109,Holo Rare,Fire,90,Stage 1,"[1R] Lava Burn (20) 
<br>Choose 1 of your opponent's Benched Pokemon.  This attack does 10 damage to that Pokemon.  <i>(Don't apply weakness and resistance for Benched Pokemon.)</i>","[2RR] Fire Spin (100) 
<br>Discard 2 Basic Energy cards attached to Camerupt or this attack does nothing.",,W,None,3,6.2,7.35,9.75,8.34,,Holofoil,
84087,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84087_200w.jpg,3,1393,https://cpt.tcgcsv.com/MFH,2023-12-21T20:33:53.743,1,4/109,Holo Rare,Fire,90,Stage 1,"[1R] Lava Burn (20) 
<br>Choose 1 of your opponent's Benched Pokemon.  This attack does 10 damage to that Pokemon.  <i>(Don't apply weakness and resistance for Benched Pokemon.)</i>","[2RR] Fire Spin (100) 
<br>Discard 2 Basic Energy cards attached to Camerupt or this attack does nothing.",,W,None,3,5.22,10.09,14.95,6.37,,Reverse Holofoil,
84111,Carvanha,Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/84111_200w.jpg,3,1393,https://cpt.tcgcsv.com/fGH,2023-12-21T20:58:48.927,1,51/109,Common,Water,40,Basic,"[1] Big Bite (10) 
<br>The Defending Pokemon can't retreat until the end of your opponent's next turn.",,,L,None,1,0.17,0.55,2.88,0.55,0.5,Normal,"<b>Poke-BODY</b> Rough Skin
<br>If Carvanha is your Active Pokemon and is damaged by an opponent's attack<em> (even if Carvanha is Knocked Out)</em>, put 1 damage counter on the Attacking Pokemon."
84111,Carvanha,Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/84111_200w.jpg,3,1393,https://cpt.tcgcsv.com/fGH,2023-12-21T20:58:48.927,1,51/109,Common,Water,40,Basic,"[1] Big Bite (10) 
<br>The Defending Pokemon can't retreat until the end of your opponent's next turn.",,,L,None,1,2.47,2.51,12.33,6.94,,Reverse Holofoil,"<b>Poke-BODY</b> Rough Skin
<br>If Carvanha is your Active Pokemon and is damaged by an opponent's attack<em> (even if Carvanha is Knocked Out)</em>, put 1 damage counter on the Attacking Pokemon."
84119,Cascoon,Cascoon,https://tcgplayer-cdn.tcgplayer.com/product/84119_200w.jpg,3,1393,https://cpt.tcgcsv.com/pGH,2023-12-21T20:53:22.993,1,26/109,Uncommon,Grass,70,Stage 1,"[G] Poison Thread 
<br>The Defending Pokemon is now Poisoned.",,,R,None,2,1.5,2.06,5.0,2.22,,Normal,"<b>Poke-BODY</b> Hard Cocoon
<br>During your opponent's turn, if Cascoon would be damaged by an opponent's attack <em>(after applying Weakness and Resistance)</em>, flip a coin.  If heads, reduce that damage by 30."
84119,Cascoon,Cascoon,https://tcgplayer-cdn.tcgplayer.com/product/84119_200w.jpg,3,1393,https://cpt.tcgcsv.com/pGH,2023-12-21T20:53:22.993,1,26/109,Uncommon,Grass,70,Stage 1,"[G] Poison Thread 
<br>The Defending Pokemon is now Poisoned.",,,R,None,2,2.7,4.0,5.0,4.93,,Reverse Holofoil,"<b>Poke-BODY</b> Hard Cocoon
<br>During your opponent's turn, if Cascoon would be damaged by an opponent's attack <em>(after applying Weakness and Resistance)</em>, flip a coin.  If heads, reduce that damage by 30."
84180,Chansey ex,Chansey ex,https://tcgplayer-cdn.tcgplayer.com/product/84180_200w.jpg,3,1393,https://cpt.tcgcsv.com/DHH,2023-12-21T21:08:51.83,1,96/109,Ultra Rare,Colorless,120,Basic,"[2] Healing Egg 
<br>Remove 2 damage counters (1 if there is only 1) from each of your Pokemon.  Remove no damage counters from Chansey ex.","[3] Double-edge (80) 
<br>Chansey ex does 60 damage to itself.",,F,None,3,46.0,57.58,120.0,51.2,,Holofoil,
84400,Combusken - 27/109,Combusken 27 109,https://tcgplayer-cdn.tcgplayer.com/product/84400_200w.jpg,3,1393,https://cpt.tcgcsv.com/0NH,2023-12-21T20:53:40.63,1,27/109,Uncommon,Fire,70,Stage 1,[R] Flare (20),"[3] Double Kick (40x) 
<br>Flip 2 coins.  This attack does 40 damage times the number of heads.",,W,None,1,0.5,1.0,5.99,1.01,,Normal,
84400,Combusken - 27/109,Combusken 27 109,https://tcgplayer-cdn.tcgplayer.com/product/84400_200w.jpg,3,1393,https://cpt.tcgcsv.com/0NH,2023-12-21T20:53:40.63,1,27/109,Uncommon,Fire,70,Stage 1,[R] Flare (20),"[3] Double Kick (40x) 
<br>Flip 2 coins.  This attack does 40 damage times the number of heads.",,W,None,1,6.0,10.0,19.99,15.3,,Reverse Holofoil,
84401,Combusken - 28/109,Combusken 28 109,https://tcgplayer-cdn.tcgplayer.com/product/84401_200w.jpg,3,1393,https://cpt.tcgcsv.com/2NH,2023-12-21T20:53:51.467,1,28/109,Uncommon,Fire,80,Stage 1,"[2] Lunge (50)
<br>Flip a coin.  If tails, this attack does nothing.",,,W,None,1,1.0,2.33,4.0,2.24,,Normal,"<b>Poke-BODY</b> Natural Care
<br>When you attach a Fire Energy card from your hand to Combusken, remove all Special Conditions from Combusken."
84401,Combusken - 28/109,Combusken 28 109,https://tcgplayer-cdn.tcgplayer.com/product/84401_200w.jpg,3,1393,https://cpt.tcgcsv.com/2NH,2023-12-21T20:53:51.467,1,28/109,Uncommon,Fire,80,Stage 1,"[2] Lunge (50)
<br>Flip a coin.  If tails, this attack does nothing.",,,W,None,1,6.35,7.48,9.09,11.62,,Reverse Holofoil,"<b>Poke-BODY</b> Natural Care
<br>When you attach a Fire Energy card from your hand to Combusken, remove all Special Conditions from Combusken."
84683,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84683_200w.jpg,3,1393,https://cpt.tcgcsv.com/HTH,2023-12-21T21:08:29.853,1,93/109,Rare,Special Energy,,,,,,,,,0.25,1.0,2.97,1.19,,Normal,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon <em>(before applying Weakness and Resistance). </em> Ignore this effect unless the Attacking Pokemon is Darkness or has Dark in its name.  Darkness Energy provides Darkness energy. <em> (Doesn't count as a basic Energy card.)</em>"
84683,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84683_200w.jpg,3,1393,https://cpt.tcgcsv.com/HTH,2023-12-21T21:08:29.853,1,93/109,Rare,Special Energy,,,,,,,,,0.49,2.34,4.99,2.19,,Reverse Holofoil,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon <em>(before applying Weakness and Resistance). </em> Ignore this effect unless the Attacking Pokemon is Darkness or has Dark in its name.  Darkness Energy provides Darkness energy. <em> (Doesn't count as a basic Energy card.)</em>"
84734,Delcatty - 5/109,Delcatty 5 109,https://tcgplayer-cdn.tcgplayer.com/product/84734_200w.jpg,3,1393,https://cpt.tcgcsv.com/JVH,2023-12-21T20:34:16.717,1,5/109,Holo Rare,Colorless,70,Stage 1,"[1] Max Energy Source (10x) 
<br>Does 10 damage times the number of Energy attached to all of your Active Pokemon.",,,F,None,1,8.19,11.49,14.26,13.58,,Holofoil,"<b>Poke-POWER</b> Energy Draw 
<br>Once during your turn <em>(before your attack)</em>, you may discard 1 Energy card from your hand.  Then draw up to 3 cards from your deck.  This power can't be used if Delcatty is affected by a Special Condition."
84734,Delcatty - 5/109,Delcatty 5 109,https://tcgplayer-cdn.tcgplayer.com/product/84734_200w.jpg,3,1393,https://cpt.tcgcsv.com/JVH,2023-12-21T20:34:16.717,1,5/109,Holo Rare,Colorless,70,Stage 1,"[1] Max Energy Source (10x) 
<br>Does 10 damage times the number of Energy attached to all of your Active Pokemon.",,,F,None,1,7.02,7.95,28.49,13.66,,Reverse Holofoil,"<b>Poke-POWER</b> Energy Draw 
<br>Once during your turn <em>(before your attack)</em>, you may discard 1 Energy card from your hand.  Then draw up to 3 cards from your deck.  This power can't be used if Delcatty is affected by a Special Condition."
84735,Delcatty - 29/109,Delcatty 29 109,https://tcgplayer-cdn.tcgplayer.com/product/84735_200w.jpg,3,1393,https://cpt.tcgcsv.com/KVH,2023-12-21T20:54:02.52,1,29/109,Uncommon,Colorless,80,Stage 1,"[1] Energy Call (10) 
<br>Attach 1 Energy card from your discard pile to your Active Pokemon.","[2] Cannonball (30+) 
<br>Does 30 damage plus 10 more damage for each Energy attached to Delcatty but not used to pay for this attack's Energy cost.",,F,None,1,0.29,0.62,3.97,0.69,0.41,Normal,
84735,Delcatty - 29/109,Delcatty 29 109,https://tcgplayer-cdn.tcgplayer.com/product/84735_200w.jpg,3,1393,https://cpt.tcgcsv.com/KVH,2023-12-21T20:54:02.52,1,29/109,Uncommon,Colorless,80,Stage 1,"[1] Energy Call (10) 
<br>Attach 1 Energy card from your discard pile to your Active Pokemon.","[2] Cannonball (30+) 
<br>Does 30 damage plus 10 more damage for each Energy attached to Delcatty but not used to pay for this attack's Energy cost.",,F,None,1,3.0,6.16,13.1,6.36,,Reverse Holofoil,
84871,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84871_200w.jpg,3,1393,https://cpt.tcgcsv.com/rZH,2023-12-21T20:36:18.87,1,17/109,Rare,Fighting,80,Stage 1,"[1F] Rend (20+) 
<br>If the Defending Pokemon has any damage counters on it, this attack does 20 damage plus 20 more damage.","[3F] Double Spin (60x) 
<br>Flip 2 coins.  This attack does 60 damage times the number of heads.",,G,None,1,0.52,1.0,5.0,1.28,,Normal,
84871,Donphan,Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84871_200w.jpg,3,1393,https://cpt.tcgcsv.com/rZH,2023-12-21T20:36:18.87,1,17/109,Rare,Fighting,80,Stage 1,"[1F] Rend (20+) 
<br>If the Defending Pokemon has any damage counters on it, this attack does 20 damage plus 20 more damage.","[3F] Double Spin (60x) 
<br>Flip 2 coins.  This attack does 60 damage times the number of heads.",,G,None,1,2.75,5.58,6.62,6.26,,Reverse Holofoil,
85056,Dustox,Dustox,https://tcgplayer-cdn.tcgplayer.com/product/85056_200w.jpg,3,1393,https://cpt.tcgcsv.com/82J,2024-02-15T14:59:47.697,1,6/109,Holo Rare,Grass,90,Stage 2,"[1G] Toxic 
<br>The Defending Pokemon is now Poisoned.  Put 2 Damage Counters instead of 1 on the Defending Pokemon between turns.",[2G] Gust (50),,P,None,0,10.0,18.53,30.0,13.35,,Holofoil,"<b>Poke-BODY</b> Protective Dust 
<br>Prevent all effects of attacks, except damage, done to Dustox by the Attacking Pokemon."
85056,Dustox,Dustox,https://tcgplayer-cdn.tcgplayer.com/product/85056_200w.jpg,3,1393,https://cpt.tcgcsv.com/82J,2024-02-15T14:59:47.697,1,6/109,Holo Rare,Grass,90,Stage 2,"[1G] Toxic 
<br>The Defending Pokemon is now Poisoned.  Put 2 Damage Counters instead of 1 on the Defending Pokemon between turns.",[2G] Gust (50),,P,None,0,4.42,6.87,11.34,11.23,,Reverse Holofoil,"<b>Poke-BODY</b> Protective Dust 
<br>Prevent all effects of attacks, except damage, done to Dustox by the Attacking Pokemon."
85120,Electabuzz ex,Electabuzz ex,https://tcgplayer-cdn.tcgplayer.com/product/85120_200w.jpg,3,1393,https://cpt.tcgcsv.com/q3J,2023-12-21T21:09:08.71,1,97/109,Ultra Rare,Lightning,90,Basic,"[L] Thundershock (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.","[1LL] Quick Attack (40+) 
<br>Flip a coin.  If heads, this attack does 40 damage plus 20 more damage.",,F,M,2,33.93,60.37,149.99,48.24,29.48,Holofoil,
85128,Electrike - 30/109,Electrike 30 109,https://tcgplayer-cdn.tcgplayer.com/product/85128_200w.jpg,3,1393,https://cpt.tcgcsv.com/B3J,2023-12-21T20:54:19.497,1,30/109,Uncommon,Lightning,50,Basic,"[L] Charge
<br>Attach a Lightning Energy card from your discard pile to Electrike.","[1L] Thunder Jolt (30) 
<br>Flip a coin.  If tails, Electrike does 10 damage to itself.",,F,M,1,0.57,1.03,4.49,1.07,,Normal,
85128,Electrike - 30/109,Electrike 30 109,https://tcgplayer-cdn.tcgplayer.com/product/85128_200w.jpg,3,1393,https://cpt.tcgcsv.com/B3J,2023-12-21T20:54:19.497,1,30/109,Uncommon,Lightning,50,Basic,"[L] Charge
<br>Attach a Lightning Energy card from your discard pile to Electrike.","[1L] Thunder Jolt (30) 
<br>Flip a coin.  If tails, Electrike does 10 damage to itself.",,F,M,1,3.2,4.6,6.0,3.76,,Reverse Holofoil,
85129,Electrike - 52/109,Electrike 52 109,https://tcgplayer-cdn.tcgplayer.com/product/85129_200w.jpg,3,1393,https://cpt.tcgcsv.com/C3J,2023-12-21T20:58:58.3,1,52/109,Common,Lightning,50,Basic,[1] Headbutt (10),,,F,M,1,0.2,0.51,2.0,0.51,,Normal,
85129,Electrike - 52/109,Electrike 52 109,https://tcgplayer-cdn.tcgplayer.com/product/85129_200w.jpg,3,1393,https://cpt.tcgcsv.com/C3J,2023-12-21T20:58:58.3,1,52/109,Common,Lightning,50,Basic,[1] Headbutt (10),,,F,M,1,4.92,5.28,7.7,5.23,,Reverse Holofoil,
85130,Electrike - 53/109,Electrike 53 109,https://tcgplayer-cdn.tcgplayer.com/product/85130_200w.jpg,3,1393,https://cpt.tcgcsv.com/D3J,2023-12-21T20:59:17.76,1,53/109,Common,Lightning,50,Basic,"[1] Super Thunder Wave  
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[2] Tackle (20),,F,M,1,0.25,0.5,1.99,0.49,0.31,Normal,
85130,Electrike - 53/109,Electrike 53 109,https://tcgplayer-cdn.tcgplayer.com/product/85130_200w.jpg,3,1393,https://cpt.tcgcsv.com/D3J,2023-12-21T20:59:17.76,1,53/109,Common,Lightning,50,Basic,"[1] Super Thunder Wave  
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[2] Tackle (20),,F,M,1,2.0,4.99,7.0,3.86,,Reverse Holofoil,
85220,Energy Removal 2,Energy Removal 2,https://tcgplayer-cdn.tcgplayer.com/product/85220_200w.jpg,3,1393,https://cpt.tcgcsv.com/q6J,2023-12-21T21:04:42.06,1,80/109,Uncommon,Item,,,,,,,,,0.2,0.49,1.99,0.47,0.66,Normal,"Flip a coin.  If heads, choose 1 Energy card attached to 1 of your opponent's Pokemon and discard it."
85220,Energy Removal 2,Energy Removal 2,https://tcgplayer-cdn.tcgplayer.com/product/85220_200w.jpg,3,1393,https://cpt.tcgcsv.com/q6J,2023-12-21T21:04:42.06,1,80/109,Uncommon,Item,,,,,,,,,0.42,1.9,5.0,1.99,,Reverse Holofoil,"Flip a coin.  If heads, choose 1 Energy card attached to 1 of your opponent's Pokemon and discard it."
85225,Energy Restore,Energy Restore,https://tcgplayer-cdn.tcgplayer.com/product/85225_200w.jpg,3,1393,https://cpt.tcgcsv.com/w6J,2023-12-21T21:04:52.993,1,81/109,Uncommon,Item,,,,,,,,,0.18,0.5,1.99,0.49,,Normal,"Flip 3 coins.  For each heads, put a basic Energy card from your discard pile into your hand.  If you don't have that many basic Energy cards in your discard pile, put all of them into your hand."
85225,Energy Restore,Energy Restore,https://tcgplayer-cdn.tcgplayer.com/product/85225_200w.jpg,3,1393,https://cpt.tcgcsv.com/w6J,2023-12-21T21:04:52.993,1,81/109,Uncommon,Item,,,,,,,,,1.25,1.91,3.49,2.03,,Reverse Holofoil,"Flip 3 coins.  For each heads, put a basic Energy card from your discard pile into your hand.  If you don't have that many basic Energy cards in your discard pile, put all of them into your hand."
85237,Energy Search,Energy Search,https://tcgplayer-cdn.tcgplayer.com/product/85237_200w.jpg,3,1393,https://cpt.tcgcsv.com/M6J,2025-07-30T16:28:04.42,1,90/109,Common,Item,,,,,,,,,0.04,0.24,1.99,0.13,0.15,Normal,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward."
85237,Energy Search,Energy Search,https://tcgplayer-cdn.tcgplayer.com/product/85237_200w.jpg,3,1393,https://cpt.tcgcsv.com/M6J,2025-07-30T16:28:04.42,1,90/109,Common,Item,,,,,,,,,1.75,4.26,10.2,4.21,,Reverse Holofoil,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward."
85252,Energy Switch,Energy Switch,https://tcgplayer-cdn.tcgplayer.com/product/85252_200w.jpg,3,1393,https://cpt.tcgcsv.com/37J,2023-12-21T21:05:19.747,1,82/109,Uncommon,Item,,,,,,,,,0.86,1.61,5.0,1.64,2.79,Normal,Move a basic Energy card from 1 of your Pokemon to another of your Pokemon.
85252,Energy Switch,Energy Switch,https://tcgplayer-cdn.tcgplayer.com/product/85252_200w.jpg,3,1393,https://cpt.tcgcsv.com/37J,2023-12-21T21:05:19.747,1,82/109,Uncommon,Item,,,,,,,,,4.19,11.3,12.16,11.41,,Reverse Holofoil,Move a basic Energy card from 1 of your Pokemon to another of your Pokemon.
85438,Fighting Energy,Fighting Energy,https://tcgplayer-cdn.tcgplayer.com/product/85438_200w.jpg,3,1393,https://cpt.tcgcsv.com/NbJ,2022-11-16T19:50:34.647,1,105/109,Common,Basic Energy,,,,,,,,,0.12,0.3,1.46,0.3,,Normal,
85438,Fighting Energy,Fighting Energy,https://tcgplayer-cdn.tcgplayer.com/product/85438_200w.jpg,3,1393,https://cpt.tcgcsv.com/NbJ,2022-11-16T19:50:34.647,1,105/109,Common,Basic Energy,,,,,,,,,7.85,7.98,32.53,7.99,,Reverse Holofoil,
85458,Fire Energy,Fire Energy,https://tcgplayer-cdn.tcgplayer.com/product/85458_200w.jpg,3,1393,https://cpt.tcgcsv.com/bcJ,2024-08-20T16:03:09.06,1,108/109,Common,Basic Energy,,,,,,,,,0.04,0.25,1.46,0.31,0.25,Normal,
85458,Fire Energy,Fire Energy,https://tcgplayer-cdn.tcgplayer.com/product/85458_200w.jpg,3,1393,https://cpt.tcgcsv.com/bcJ,2024-08-20T16:03:09.06,1,108/109,Common,Basic Energy,,,,,,,,,5.75,6.75,13.97,8.54,,Reverse Holofoil,
85632,Gardevoir,Gardevoir,https://tcgplayer-cdn.tcgplayer.com/product/85632_200w.jpg,3,1393,https://cpt.tcgcsv.com/GgJ,2023-12-21T20:34:34.253,1,7/109,Holo Rare,Psychic,100,Stage 2,"[P] Energy Burst (10x) 
<br>Does 10 damage times the total amount of Energy attached to Gardevoir and the Defending Pokemon.",,,P,None,2,37.0,59.99,120.0,46.74,43.19,Holofoil,"<b>Poke-POWER</b> Psy Shadow 
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for a Psychic Energy card and attach it to 1 of your Pokemon.  Put 2 damage counters on that Pokemon.  Shuffle your deck afterward.  This power can't be used if Gardevoir is affected by a Special Condition."
85632,Gardevoir,Gardevoir,https://tcgplayer-cdn.tcgplayer.com/product/85632_200w.jpg,3,1393,https://cpt.tcgcsv.com/GgJ,2023-12-21T20:34:34.253,1,7/109,Holo Rare,Psychic,100,Stage 2,"[P] Energy Burst (10x) 
<br>Does 10 damage times the total amount of Energy attached to Gardevoir and the Defending Pokemon.",,,P,None,2,35.0,53.48,82.21,50.15,,Reverse Holofoil,"<b>Poke-POWER</b> Psy Shadow 
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for a Psychic Energy card and attach it to 1 of your Pokemon.  Put 2 damage counters on that Pokemon.  Shuffle your deck afterward.  This power can't be used if Gardevoir is affected by a Special Condition."
