productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack3
84895,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84895_200w.jpg,3,1377,https://cpt.tcgcsv.com/WZH,2024-04-01T21:21:07.307,1,88/95,Rare,Special Rainbow Energy,,,,,,,,4.9,6.61,24.99,6.65,6.28,Normal,"Double Rainbow Energy can be attached only to an Evolved Pokemon (excluding Pokemon-ex).  While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy when not in play and has no effect other than providing Energy.) </em>Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10<em> (after applying Weakness and Resistance).</em>  <br>
When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",
84895,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84895_200w.jpg,3,1377,https://cpt.tcgcsv.com/WZH,2024-04-01T21:21:07.307,1,88/95,Rare,Special Rainbow Energy,,,,,,,,19.98,34.97,49.95,11.81,,Reverse Holofoil,"Double Rainbow Energy can be attached only to an Evolved Pokemon (excluding Pokemon-ex).  While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy when not in play and has no effect other than providing Energy.) </em>Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10<em> (after applying Weakness and Resistance).</em>  <br>
When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",
84985,Dual Ball,Dual Ball,https://tcgplayer-cdn.tcgplayer.com/product/84985_200w.jpg,3,1377,https://cpt.tcgcsv.com/K_H,2024-04-01T21:21:05.343,1,72/95,Uncommon,Trainer - Item,,,,,,,,0.61,1.08,2.49,1.36,0.91,Normal,"Flip 2 coins.  For each heads, search your deck for a Basic Pokemon card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",
84985,Dual Ball,Dual Ball,https://tcgplayer-cdn.tcgplayer.com/product/84985_200w.jpg,3,1377,https://cpt.tcgcsv.com/K_H,2024-04-01T21:21:05.343,1,72/95,Uncommon,Trainer - Item,,,,,,,,1.5,2.1,2.52,2.66,1.96,Reverse Holofoil,"Flip 2 coins.  For each heads, search your deck for a Basic Pokemon card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",
85278,Entei ex,Entei ex,https://tcgplayer-cdn.tcgplayer.com/product/85278_200w.jpg,3,1377,https://cpt.tcgcsv.com/B7J,2024-04-01T21:21:04.093,1,91/95,Ultra Rare,Fire,100,Basic,"[R] Searing Flame (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Burned.","[1RR] Bright Flame (90) 
<br>Discard 2 Energy attached to Entei ex.",W,None,2,190.0,349.95,367.95,199.99,,Holofoil,,
86314,Jigglypuff,Jigglypuff,https://tcgplayer-cdn.tcgplayer.com/product/86314_200w.jpg,3,1377,https://cpt.tcgcsv.com/jxJ,2023-03-03T11:52:53.78,1,41/95,Common,Colorless,50,Basic,"[1] Doubleslap (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.","[2] Rest 
<br>Remove all Special Conditions and 3 damage counters from Jigglypuff <i>(all if there are less than 3)</i>.  Jigglypuff is now Asleep.",F,None,1,1.99,3.0,7.67,2.91,,Normal,,
86314,Jigglypuff,Jigglypuff,https://tcgplayer-cdn.tcgplayer.com/product/86314_200w.jpg,3,1377,https://cpt.tcgcsv.com/jxJ,2023-03-03T11:52:53.78,1,41/95,Common,Colorless,50,Basic,"[1] Doubleslap (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.","[2] Rest 
<br>Remove all Special Conditions and 3 damage counters from Jigglypuff <i>(all if there are less than 3)</i>.  Jigglypuff is now Asleep.",F,None,1,15.98,15.98,15.98,15.98,,Reverse Holofoil,,
86324,Jirachi,Jirachi,https://tcgplayer-cdn.tcgplayer.com/product/86324_200w.jpg,3,1377,https://cpt.tcgcsv.com/vxJ,2024-04-01T21:21:06.86,1,97/95,Secret Rare,Psychic,50,Basic,"[P] Hypnoblast (10) 
<br>The Defending Pokemon is now Asleep.","[2] Swift (20) 
<br>This attacks damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies or any other effects on the Defending Pokemon.",P,None,1,80.8,100.15,150.0,98.52,,Holofoil,,
87039,Magma Energy,Magma Energy,https://tcgplayer-cdn.tcgplayer.com/product/87039_200w.jpg,3,1377,https://cpt.tcgcsv.com/PQJ,2024-04-01T21:21:07.39,1,87/95,Uncommon,Special Multi Energy,,,,,,,,5.23,8.5,11.22,10.25,,Normal,"Magma Energy can be attached only to a Pokemon with Team Magma in its name.  Magma Energy provides Fighting and Darkness Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy card when not in play and has no effect other than providing Energy.)</em> At the end of your turn, discard Magma Energy.",
87039,Magma Energy,Magma Energy,https://tcgplayer-cdn.tcgplayer.com/product/87039_200w.jpg,3,1377,https://cpt.tcgcsv.com/PQJ,2024-04-01T21:21:07.39,1,87/95,Uncommon,Special Multi Energy,,,,,,,,20.0,24.0,30.0,24.67,,Reverse Holofoil,"Magma Energy can be attached only to a Pokemon with Team Magma in its name.  Magma Energy provides Fighting and Darkness Energy but provides 2 Energy at a time.  <em>(Doesn't count as a basic Energy card when not in play and has no effect other than providing Energy.)</em> At the end of your turn, discard Magma Energy.",
87270,Maxie,Maxie,https://tcgplayer-cdn.tcgplayer.com/product/87270_200w.jpg,3,1377,https://cpt.tcgcsv.com/qWJ,2024-04-01T21:21:07.68,1,73/95,Uncommon,Trainer - Supporter,,,,,,,,2.65,3.82,6.45,3.72,,Normal,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your hand or discard pile for a Pokemon with Team Magma in its name and put it onto your Bench.  Treat the new Benched Pokemon as a Basic Pokemon.  If it is a Stage 2 Pokemon, put 2 damage counters on that Pokemon.",
87270,Maxie,Maxie,https://tcgplayer-cdn.tcgplayer.com/product/87270_200w.jpg,3,1377,https://cpt.tcgcsv.com/qWJ,2024-04-01T21:21:07.68,1,73/95,Uncommon,Trainer - Supporter,,,,,,,,4.11,8.29,24.95,4.4,,Reverse Holofoil,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your hand or discard pile for a Pokemon with Team Magma in its name and put it onto your Bench.  Treat the new Benched Pokemon as a Basic Pokemon.  If it is a Stage 2 Pokemon, put 2 damage counters on that Pokemon.",
87316,Meowth,Meowth,https://tcgplayer-cdn.tcgplayer.com/product/87316_200w.jpg,3,1377,https://cpt.tcgcsv.com/lXJ,2022-11-17T20:04:28.33,1,42/95,Common,Colorless,50,Basic,"[1] Plunder (10) 
<br>Before doing damage, discard all Trainer cards attached to the Defending Pokemon <i>(before they affect the damage).</i>",[2] Scratch (20),F,None,1,1.75,2.75,6.55,2.06,,Normal,,
88077,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/88077_200w.jpg,3,1377,https://cpt.tcgcsv.com/zfK,2024-04-01T21:21:05.71,1,43/95,Common,Lightning,50,Basic,"[1] Agility 
<br>Flip a coin.  If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn.","[1L] Thundershock (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",F,None,1,4.17,6.13,7.44,7.23,,Normal,,
88077,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/88077_200w.jpg,3,1377,https://cpt.tcgcsv.com/zfK,2024-04-01T21:21:05.71,1,43/95,Common,Lightning,50,Basic,"[1] Agility 
<br>Flip a coin.  If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn.","[1L] Thundershock (20) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",F,None,1,27.5,27.5,27.5,26.94,,Reverse Holofoil,,
88436,Psyduck,Psyduck,https://tcgplayer-cdn.tcgplayer.com/product/88436_200w.jpg,3,1377,https://cpt.tcgcsv.com/LnK,2024-04-01T21:21:08.657,1,44/95,Common,Water,40,Basic,"[W] Bubble (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.","[P] Confuse Ray (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Confused.",L,None,1,2.0,3.15,4.29,4.21,,Normal,,
88436,Psyduck,Psyduck,https://tcgplayer-cdn.tcgplayer.com/product/88436_200w.jpg,3,1377,https://cpt.tcgcsv.com/LnK,2024-04-01T21:21:08.657,1,44/95,Common,Water,40,Basic,"[W] Bubble (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.","[P] Confuse Ray (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Confused.",L,None,1,1299.62,1299.62,1299.62,41.8,,Reverse Holofoil,,
88506,Raichu,Raichu,https://tcgplayer-cdn.tcgplayer.com/product/88506_200w.jpg,3,1377,https://cpt.tcgcsv.com/8qK,2024-04-01T21:21:05.837,1,13/95,Rare,Lightning,80,Stage 1,"[1L] Spark (20) 
<br>Does 10 damage to 2 of your opponent's Benched Pokemon (1 if there is only 1).  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>","[1LL] Kerzap (40+) 
<br>Flip a coin.  If heads, this attack does 40 damage plus 40 more damage to the Defending Pokemon and discard all Lightning Energy cards attached to Raichu.",F,None,1,4.35,4.75,25.0,4.9,,Normal,,
88506,Raichu,Raichu,https://tcgplayer-cdn.tcgplayer.com/product/88506_200w.jpg,3,1377,https://cpt.tcgcsv.com/8qK,2024-04-01T21:21:05.837,1,13/95,Rare,Lightning,80,Stage 1,"[1L] Spark (20) 
<br>Does 10 damage to 2 of your opponent's Benched Pokemon (1 if there is only 1).  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>","[1LL] Kerzap (40+) 
<br>Flip a coin.  If heads, this attack does 40 damage plus 40 more damage to the Defending Pokemon and discard all Lightning Energy cards attached to Raichu.",F,None,1,43.08,47.47,58.2,36.99,,Reverse Holofoil,,
88540,Raikou ex,Raikou ex,https://tcgplayer-cdn.tcgplayer.com/product/88540_200w.jpg,3,1377,https://cpt.tcgcsv.com/QqK,2024-04-01T21:21:05.92,1,92/95,Ultra Rare,Lightning,100,Basic,"[L] Dazzle Blast (10) 
<br>Flip a coin.  If heads, the Defending Pokemon is now Confused.","[1LL] Lightning Tackle (70) 
<br>Flip a coin.  If tails, Raikou ex does 20 damage to itself.",F,None,2,64.98,64.99,289.0,149.99,,Holofoil,,
88954,Sceptile ex,Sceptile ex,https://tcgplayer-cdn.tcgplayer.com/product/88954_200w.jpg,3,1377,https://cpt.tcgcsv.com/6CK,2024-04-01T21:21:05.127,1,93/95,Ultra Rare,Grass,150,Stage 2,"[1] Green Heal 
<br>Remove 4 damage counters from each of your Pokemon that has Grass Energy attached.  If that Pokemon has less than 4 damage counters, remove all of them.","[2G] Poison Ring (40) 
<br>The Defending Pokemon is now Poisoned.  The Defending Pokemon can't retreat until the end of your opponent's next turn.",GR,W,2,168.55,194.27,219.99,219.0,,Holofoil,,"[3GG] Slashing Strike (100) 
<br>Sceptile ex can't use Slashing Strike during your next turn."
89326,Slowpoke,Slowpoke,https://tcgplayer-cdn.tcgplayer.com/product/89326_200w.jpg,3,1377,https://cpt.tcgcsv.com/xLK,2024-04-01T21:21:06.957,1,45/95,Common,Psychic,50,Basic,"[P] Amnesia 
<br>Choose 1 of the Defending Pokemon's attacks.  That Pokemon can't use that attack during your opponent's next turn.","[2] Tail Strike (10+)
<br>Flip a coin.  If heads, this attack does 10 damage plus 10 more damage.",P,None,1,2.31,3.04,9.99,2.71,,Normal,,
89326,Slowpoke,Slowpoke,https://tcgplayer-cdn.tcgplayer.com/product/89326_200w.jpg,3,1377,https://cpt.tcgcsv.com/xLK,2024-04-01T21:21:06.957,1,45/95,Common,Psychic,50,Basic,"[P] Amnesia 
<br>Choose 1 of the Defending Pokemon's attacks.  That Pokemon can't use that attack during your opponent's next turn.","[2] Tail Strike (10+)
<br>Flip a coin.  If heads, this attack does 10 damage plus 10 more damage.",P,None,1,24.18,54.92,65.0,24.33,,Reverse Holofoil,,
89488,Squirtle,Squirtle,https://tcgplayer-cdn.tcgplayer.com/product/89488_200w.jpg,3,1377,https://cpt.tcgcsv.com/NPK,2024-04-01T21:21:08.75,1,46/95,Common,Water,50,Basic,[1] Tackle (10),,L,None,1,24.0,31.5,38.75,19.07,,Normal,"<strong>Poké-BODY</strong> — Shell Retreat<br>
As long as Squirtle has any Energy cards attached to it, damage done to Squirtle by an opponent's attack is reduced by 10 <em>(after applying Weakness and Resistance).</em>",
89488,Squirtle,Squirtle,https://tcgplayer-cdn.tcgplayer.com/product/89488_200w.jpg,3,1377,https://cpt.tcgcsv.com/NPK,2024-04-01T21:21:08.75,1,46/95,Common,Water,50,Basic,[1] Tackle (10),,L,None,1,126.66,128.33,130.0,46.0,,Reverse Holofoil,"<strong>Poké-BODY</strong> — Shell Retreat<br>
As long as Squirtle has any Energy cards attached to it, damage done to Squirtle by an opponent's attack is reduced by 10 <em>(after applying Weakness and Resistance).</em>",
89578,Strength Charm,Strength Charm,https://tcgplayer-cdn.tcgplayer.com/product/89578_200w.jpg,3,1377,https://cpt.tcgcsv.com/BRK,2024-04-01T21:21:08.197,1,74/95,Uncommon,Trainer - Pokemon Tool,,,,,,,,0.75,1.4,2.99,1.46,1.13,Normal,"<strong>Poké-BODY</strong> — Power Saver <br>
As long as the number of Pokemon in play <em>(both yours and your opponent's)</em> that has Team Magma in its name is 3 or less, Team Magma's Groudon can't attack.",
89578,Strength Charm,Strength Charm,https://tcgplayer-cdn.tcgplayer.com/product/89578_200w.jpg,3,1377,https://cpt.tcgcsv.com/BRK,2024-04-01T21:21:08.197,1,74/95,Uncommon,Trainer - Pokemon Tool,,,,,,,,1.07,1.71,5.5,1.99,1.07,Reverse Holofoil,"<strong>Poké-BODY</strong> — Power Saver <br>
As long as the number of Pokemon in play <em>(both yours and your opponent's)</em> that has Team Magma in its name is 3 or less, Team Magma's Groudon can't attack.",
89611,Suicune ex,Suicune ex,https://tcgplayer-cdn.tcgplayer.com/product/89611_200w.jpg,3,1377,https://cpt.tcgcsv.com/fSK,2024-04-01T21:21:08.847,1,94/95,Ultra Rare,Water,100,Basic,"[W] Energy Flip
<br>Choose 1 of your opponent's Benched Pokemon.  This attack does 10 damage to that Pokemon.  You may move any Energy card attached to that Pokemon to another of your opponent's Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>","[1WW] Reverse Stream (50+) 
<br>You may return all basic Energy cards attached to Suicune ex to your hand.  If you do, this attack does 50 damage plus 10 more damage for each basic Energy card you returned.",L,None,2,200.0,379.99,499.99,269.94,,Holofoil,,
89682,Swampert ex,Swampert ex,https://tcgplayer-cdn.tcgplayer.com/product/89682_200w.jpg,3,1377,https://cpt.tcgcsv.com/GTK,2024-04-01T21:20:59.337,1,95/95,Ultra Rare,Fighting,150,Stage 2,"[1] Hyper Pump (20+) 
<br>Does 20 damage plus 20 more damage for each basic Energy attached to Swampert ex but not used to pay for this attack's Energy cost.  You can't add more than 80 damage in this way.","[2W] Crushing Wave
<br>Choose 1 of your opponent's Pokemon.  This attack does 40 damage to that Pokemon.  After doing damage, flip a coin.  If heads, you opponent discards an Energy card, if any, attached to that Pokemon.  <i>(Don't apply Weakness and Resistance to Benched Pokemon.)</i>",G,None,3,99.99,204.41,204.42,173.05,,Holofoil,,
89768,Team Aqua Ball,Team Aqua Ball,https://tcgplayer-cdn.tcgplayer.com/product/89768_200w.jpg,3,1377,https://cpt.tcgcsv.com/nWK,2024-04-01T21:21:05.397,1,75/95,Uncommon,Trainer - Item,,,,,,,,0.35,0.81,4.14,0.82,,Normal,"Flip a coin.  If heads, search your deck for a Pokemon that has Team Aqua in its name, show it to your opponent, and put it into your hand.  If tails, search your deck for a Basic Pokemon that has Team Aqua in its name, show it to your opponent and put into your hand.  Shuffle your deck afterward.",
89768,Team Aqua Ball,Team Aqua Ball,https://tcgplayer-cdn.tcgplayer.com/product/89768_200w.jpg,3,1377,https://cpt.tcgcsv.com/nWK,2024-04-01T21:21:05.397,1,75/95,Uncommon,Trainer - Item,,,,,,,,2.72,4.82,7.99,5.63,,Reverse Holofoil,"Flip a coin.  If heads, search your deck for a Pokemon that has Team Aqua in its name, show it to your opponent, and put it into your hand.  If tails, search your deck for a Basic Pokemon that has Team Aqua in its name, show it to your opponent and put into your hand.  Shuffle your deck afterward.",
89769,Team Aqua Belt,Team Aqua Belt,https://tcgplayer-cdn.tcgplayer.com/product/89769_200w.jpg,3,1377,https://cpt.tcgcsv.com/pWK,2024-04-01T21:21:08.29,1,76/95,Uncommon,Trainer - Pokemon Tool,,,,,,,,0.6,1.35,2.27,1.48,,Normal,"<em>Attach Team Aqua Belt to 1 of your Pokémon with Team Aqua in its name that doesn't already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card.</em><br>
At any time between turns, if the Pokemon Team Aqua Belt is attached to is your Active Pokemon, search your deck for a card that evolves from that Pokemon and put it on that Pokemon.  <em>(This counts as evolving that Pokemon.)</em> Shuffle your deck afterward, then discard Team Aqua Belt.",
89769,Team Aqua Belt,Team Aqua Belt,https://tcgplayer-cdn.tcgplayer.com/product/89769_200w.jpg,3,1377,https://cpt.tcgcsv.com/pWK,2024-04-01T21:21:08.29,1,76/95,Uncommon,Trainer - Pokemon Tool,,,,,,,,1.89,3.25,8.69,7.81,,Reverse Holofoil,"<em>Attach Team Aqua Belt to 1 of your Pokémon with Team Aqua in its name that doesn't already have a Pokémon Tool attached to it. If that Pokémon is Knocked Out, discard this card.</em><br>
At any time between turns, if the Pokemon Team Aqua Belt is attached to is your Active Pokemon, search your deck for a card that evolves from that Pokemon and put it on that Pokemon.  <em>(This counts as evolving that Pokemon.)</em> Shuffle your deck afterward, then discard Team Aqua Belt.",
89770,Team Aqua Conspirator,Team Aqua Conspirator,https://tcgplayer-cdn.tcgplayer.com/product/89770_200w.jpg,3,1377,https://cpt.tcgcsv.com/qWK,2025-05-08T18:10:12.653,1,77/95,Uncommon,Trainer - Supporter,,,,,,,,0.3,0.55,1.59,0.74,,Normal,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your deck for up to 2 in any combination of Basic Pokemon with Team Aqua in its name and basic Energy cards, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.",
89770,Team Aqua Conspirator,Team Aqua Conspirator,https://tcgplayer-cdn.tcgplayer.com/product/89770_200w.jpg,3,1377,https://cpt.tcgcsv.com/qWK,2025-05-08T18:10:12.653,1,77/95,Uncommon,Trainer - Supporter,,,,,,,,1.52,3.25,5.49,4.33,,Reverse Holofoil,"<em>You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.</em><br>
Search your deck for up to 2 in any combination of Basic Pokemon with Team Aqua in its name and basic Energy cards, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.",
89771,Team Aqua Hideout,Team Aqua Hideout,https://tcgplayer-cdn.tcgplayer.com/product/89771_200w.jpg,3,1377,https://cpt.tcgcsv.com/rWK,2024-04-01T21:21:07.46,1,78/95,Uncommon,Trainer - Stadium,,,,,,,,0.28,0.95,2.27,0.87,,Normal,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.<br>
Each Pokemon that does not have Team Aqua in its name pays 1 more to retreat.",
89771,Team Aqua Hideout,Team Aqua Hideout,https://tcgplayer-cdn.tcgplayer.com/product/89771_200w.jpg,3,1377,https://cpt.tcgcsv.com/rWK,2024-04-01T21:21:07.46,1,78/95,Uncommon,Trainer - Stadium,,,,,,,,3.5,5.03,7.0,7.48,,Reverse Holofoil,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.<br>
Each Pokemon that does not have Team Aqua in its name pays 1 more to retreat.",
89772,Team Aqua Schemer,Team Aqua Schemer,https://tcgplayer-cdn.tcgplayer.com/product/89772_200w.jpg,3,1377,https://cpt.tcgcsv.com/sWK,2024-04-01T21:21:07.823,1,69/95,Common,Trainer - Supporter,,,"Discard any 1 Pokemon from your hand.  Then draw 3 cards.  If you discarded a Pokemon with Team Aqua in its name, draw 4 cards instead.",,,,,0.16,0.35,1.53,0.46,,Normal,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.<br>
Discard any 1 Pokemon from your hand.  Then draw 3 cards.  If you discarded a Pokemon with Team Aqua in its name, draw 4 cards instead.",
89772,Team Aqua Schemer,Team Aqua Schemer,https://tcgplayer-cdn.tcgplayer.com/product/89772_200w.jpg,3,1377,https://cpt.tcgcsv.com/sWK,2024-04-01T21:21:07.823,1,69/95,Common,Trainer - Supporter,,,"Discard any 1 Pokemon from your hand.  Then draw 3 cards.  If you discarded a Pokemon with Team Aqua in its name, draw 4 cards instead.",,,,,3.15,4.22,6.97,3.74,,Reverse Holofoil,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.<br>
Discard any 1 Pokemon from your hand.  Then draw 3 cards.  If you discarded a Pokemon with Team Aqua in its name, draw 4 cards instead.",
89773,Team Aqua Technical Machine 01,Team Aqua Technical Machine 01,https://tcgplayer-cdn.tcgplayer.com/product/89773_200w.jpg,3,1377,https://cpt.tcgcsv.com/tWK,2024-04-01T21:21:08.087,1,79/95,Uncommon,Trainer - Technical Machine,,,"[1] Miracle (10) 
<br>Choose 1 Special Condition.  The Defending Pokemon is now affected by that Special Condition.",,,,,0.56,1.05,2.3,1.41,,Normal,"Attach this card to 1 of your Pokemon that has Team Aqua in its name.  That Pokemon may use this card's attack instead of its own.  At the end of your turn, discard Team Aqua Technical Machine 01.",
