productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extCardText,extAttack3
96371,Dragalge - XY10 (Prerelease),Dragalge XY10 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/96371_200w.jpg,3,1451,https://cpt.tcgcsv.com/rzN,2024-04-08T15:47:57.2,1,XY10,Promo,Dragon,100,Stage 1,"[WP1] Poison Breath (60)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.",,Yx2,1,8.75,12.12,18.84,11.09,,Holofoil,None,"<b>Ability - Poison Barrier</b>
<br>Your opponent's Poisoned Pokemon can't retreat.",
96372,Skiddo - XY11,Skiddo XY11,https://tcgplayer-cdn.tcgplayer.com/product/96372_200w.jpg,3,1451,https://cpt.tcgcsv.com/szN,2020-06-26T18:17:36.723,1,XY11,Promo,Grass,70,Basic,"[GG] Take Down (30)
<br>This Pokemon does 10 damage to itself.",,Rx2,2,0.29,1.0,1.67,1.28,,Holofoil,None,,
96373,Honedge - XY12,Honedge XY12,https://tcgplayer-cdn.tcgplayer.com/product/96373_200w.jpg,3,1451,https://cpt.tcgcsv.com/tzN,2020-06-26T18:11:44.233,1,XY12,Promo,Grass,50,Basic,"[1] Swords Dance
<br>During your next turn, this Pokemon's Slash attack's base damage is 40.",[1M] Slash (20),Rx2,2,1.01,1.61,6.0,2.23,,Holofoil,P-20,,
96374,Machamp - XY13 (Prerelease),Machamp XY13 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/96374_200w.jpg,3,1451,https://cpt.tcgcsv.com/vzN,2024-04-08T15:48:31.037,1,XY13,Promo,Fighting,150,Stage 2,"[FFF] Machamp Crush (80)
<br>During your opponent's next turn, any damage done by attacks from Defending Pokemon is reduced by 40 <i>(before applying Weakness and Resistance)</i>.",,Px2,2,9.98,12.49,15.36,8.27,9.98,Holofoil,None,"<b>Ability - Fighting Fury</b>
<br>Each of your Fighting Pokemon's attacks do 20 more damage to your opponent's Active Pokemon. <em>(before applying Weakness and Resistance)</em>.",
96375,Machamp - XY13 (Prerelease) [Staff],Machamp XY13 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/96375_200w.jpg,3,1451,https://cpt.tcgcsv.com/wzN,2024-04-08T15:48:37.21,1,XY13,Promo,Fighting,150,Stage 2,"[FFF] Machamp Crush (80)
<br>During your opponent's next turn, any damage done by attacks from Defending Pokemon is reduced by 40 <em>(before applying Weakness and Resistance)</em>.",,Px2,2,49.75,57.58,125.0,52.08,,Holofoil,None,"<strong>Ability - Fighting Fury</strong>
<br>Each of your Fighting Pokemon's attacks do 20 more damage to your opponent's Active Pokemon. <em>(before applying Weakness and Resistance)</em>.",
96376,Trevenant - XY14,Trevenant XY14,https://tcgplayer-cdn.tcgplayer.com/product/96376_200w.jpg,3,1451,https://cpt.tcgcsv.com/xzN,2025-02-05T21:18:47.773,1,XY14,Promo,Psychic,110,Stage 1,"[P] Eerie Wave (20)
<br>Your opponent's Active Pokemon is now Confused.","[1PP] Wood Hammer (90)
<br>Flip a coin. If tails, this Pokemon does 20 damage to itself.",Dx2,3,0.4,0.63,6.0,0.65,,Holofoil,F-20,,
96377,Slurpuff - XY15,Slurpuff XY15,https://tcgplayer-cdn.tcgplayer.com/product/96377_200w.jpg,3,1451,https://cpt.tcgcsv.com/zzN,2020-06-26T18:17:44.67,1,XY15,Promo,Fairy,100,Stage 1,"[1Y] Cotton Guard (30)
<br>During your opponent's next turn, any damage done to this Pokemon by attacks is reduced by 30 <i>(after applying Weakness and Resistance)</i>.","[2Y] Sleepy Ball (60)
<br>Your opponent's Active Pokemon is now Asleep.",Mx2,2,0.42,0.7,6.0,0.7,0.99,Holofoil,D-20,,
96378,Gogoat - XY16,Gogoat XY16,https://tcgplayer-cdn.tcgplayer.com/product/96378_200w.jpg,3,1451,https://cpt.tcgcsv.com/BzN,2020-06-26T18:09:39.13,1,XY16,Promo,Grass,110,Stage 1,"[1G] Push Down (30)
<br>Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.","[2G] Forest Press (60+)
<br>Flip a coin for each Grass Energy attached to this Pokemon. This attack does 30 more damage for each heads.",Rx2,3,0.87,1.35,5.99,2.17,,Holofoil,None,,
96379,Charizard EX - XY17,Charizard EX XY17,https://tcgplayer-cdn.tcgplayer.com/product/96379_200w.jpg,3,1451,https://cpt.tcgcsv.com/CzN,2021-10-12T13:31:15.113,1,XY17,Promo,Fire,180,Basic,"[1R] Mega Ascension
<br>Search your deck for M Charizard-EX, reveal it, and put it into your hand. Shuffle your deck afterward.","[3R] Brave Fire (120)
<br>This Pokemon does 30 damage to itself.",Wx2,3,17.09,35.49,78.38,33.29,,Holofoil,None,,
96380,Chesnaught EX - XY18,Chesnaught EX XY18,https://tcgplayer-cdn.tcgplayer.com/product/96380_200w.jpg,3,1451,https://cpt.tcgcsv.com/DzN,2022-12-08T20:59:32.947,1,XY18,Promo,Grass,180,Basic,"[2G] Pin Missile (40x)
<br>Flip 4 coins. This attack does 40 damage times the number of heads.","[2GG] Wild Tackle (120)
<br>This Pokemon does 20 damage to itself.",Rx2,4,1.99,3.86,15.71,4.14,,Holofoil,None,,
96381,Delphox EX - XY19,Delphox EX XY19,https://tcgplayer-cdn.tcgplayer.com/product/96381_200w.jpg,3,1451,https://cpt.tcgcsv.com/FzN,2021-09-19T10:10:33.467,1,XY19,Promo,Fire,170,Basic,"[R] Psybeam (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Confused.","[3R] Wonder Flare (80+)
<br>Your opponent reveals his or her hand. This attack does 40 more damage for each Energy card in your opponent's hand.",Wx2,2,2.98,4.3,30.95,4.65,,Holofoil,None,,
96382,Greninja EX - XY20,Greninja EX XY20,https://tcgplayer-cdn.tcgplayer.com/product/96382_200w.jpg,3,1451,https://cpt.tcgcsv.com/GzN,2024-03-04T10:49:27.013,1,XY20,Promo,Water,170,Basic,"[W] Sharpshooting
<br>This attack does 30 damage to 1 of your opponent's Pokemon <i>(Don't apply Weakness and Resistance for Benched Pokemon)</i>.","[1WW] Aqua Blast (120)
<br>Discard 1 Water Energy attached to this Pokemon.",Gx2,1,9.33,17.2,29.98,18.09,,Holofoil,None,,
96383,Bronzong - XY21 (Prerelease),Bronzong XY21 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/96383_200w.jpg,3,1451,https://cpt.tcgcsv.com/HzN,2024-04-08T15:59:11.247,1,XY21,Promo,Water,90,Stage 1,[1MM] Hammer In (60),,Rx2,3,7.0,9.0,18.49,10.99,,Holofoil,P-20,"<b>Ability - Metal Links</b>
<br>Once during your turn <em>(before you attack)</em>, you may attach a Metal Energy card from your discard pile to 1 of your Benched Pokemon.",
96384,Bronzong - XY21 (Prerelease) [Staff],Bronzong XY21 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/96384_200w.jpg,3,1451,https://cpt.tcgcsv.com/JzN,2024-04-08T16:00:09.917,1,XY21,Promo,Water,90,Stage 1,[1MM] Hammer In (60),,Rx2,3,20.49,27.5,28.74,29.98,,Holofoil,P-20,"<b>Ability - Metal Links</b>
<br>Once during your turn <em>(before you attack)</em>, you may attach a Metal Energy card from your discard pile to 1 of your Benched Pokemon.",
96385,Darkrai - XY22,Darkrai XY22,https://tcgplayer-cdn.tcgplayer.com/product/96385_200w.jpg,3,1451,https://cpt.tcgcsv.com/KzN,2024-02-08T15:46:41.543,1,XY22,Promo,Darkness,120,Basic,"[1D] Hypnoblast (30)
<br>Your opponent's Active Pokemon is now Asleep.","[1DD] Deep Wind (60+)
<br>If your opponent's Active Pokemon is Asleep, this attack does 60 more damage and heal 30 damage from this Pokemon.",Rx2,1,1.39,2.0,6.27,3.81,1.62,Holofoil,P-20,,
96386,Shiftry - XY23,Shiftry XY23,https://tcgplayer-cdn.tcgplayer.com/product/96386_200w.jpg,3,1451,https://cpt.tcgcsv.com/LzN,2025-02-05T21:18:47.837,1,XY23,Promo,Grass,140,Stage 2,"[G] Whisk Away (30+)
<br>Your opponent reveals his or her hand. Choose a Pokemon you find there and put it on the bottom of your opponent's deck. If you do, this attack does 30 more damage.","[2G] Spirit Dance (60+)
<br>Flip 2 coins. This attack does 30 more damage for each heads.",Rx2,2,0.3,0.43,6.0,0.35,,Holofoil,None,,
96387,Greninja - XY24,Greninja XY24,https://tcgplayer-cdn.tcgplayer.com/product/96387_200w.jpg,3,1451,https://cpt.tcgcsv.com/MzN,2021-10-13T13:19:26.107,1,XY24,Promo,Darkness,130,Stage 2,"[1D] Shadow Bullet (60)
<br>This attack does 20 damage to 1 of your opponent's Benched Pokemon <i>(Don't apply Weakness or Resistance for Benched Pokemon)</i>.",,Fx2,1,9.88,16.76,26.0,23.01,,Holofoil,P-20,"<strong>Ability - Mist Concealment</strong>
<br>When you play this Pokemon from your hand to evolve 1 of your Pokemon, you may prevent all effects of attacks, including damage, done to this Pokemon by your opponent's Pokemon during your opponent's next turn.",
96388,Krookodile EX - XY25,Krookodile EX XY25,https://tcgplayer-cdn.tcgplayer.com/product/96388_200w.jpg,3,1451,https://cpt.tcgcsv.com/NzN,2020-06-26T18:12:56.61,1,XY25,Promo,Darkness,180,Basic,"[2D] Second Bite (40+)
<br>This attack does 10 more damage for each damage counter on your opponent's Active Pokemon.","[2DD] Megaton Fang (130)
<br>Discard a card from your hand. If you can't discard a card, this attack does nothing.",Fx2,3,7.26,10.77,17.47,10.66,,Holofoil,P-20,,
96389,Pyroar - XY26,Pyroar XY26,https://tcgplayer-cdn.tcgplayer.com/product/96389_200w.jpg,3,1451,https://cpt.tcgcsv.com/PzN,2020-06-26T18:15:52.597,1,XY26,Promo,Fire,100,Stage 1,"[1R] Crunch (30)
<br>Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon.","[2RR] Royal Flare (120)
<br>Discard 2 Energy attached to this Pokemon.",Wx2,2,0.25,0.59,6.0,0.39,1.0,Holofoil,None,,
96390,Champions Festival - XY27 (2014),Champions Festival XY27 2014,https://tcgplayer-cdn.tcgplayer.com/product/96390_200w.jpg,3,1451,https://cpt.tcgcsv.com/QzN,2020-06-26T18:05:41.047,1,XY27,Promo,Stadium,,,,,,,,,,,,,,"Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon.

<br><em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>",
96391,Venusaur EX - XY28,Venusaur EX XY28,https://tcgplayer-cdn.tcgplayer.com/product/96391_200w.jpg,3,1451,https://cpt.tcgcsv.com/RzN,2021-10-13T13:24:57.16,1,XY28,Promo,Grass,180,Basic,"[2G] Poison Powder (60)
<br>Your opponent's Active Pokemon is now Poisoned.","[2GG] Jungle Hammer (90)
<br>Heal 30 damage from this Pokemon.",Rx2,4,0.99,3.0,19.95,3.44,3.08,Holofoil,None,,
96392,Charizard EX - XY29,Charizard EX XY29,https://tcgplayer-cdn.tcgplayer.com/product/96392_200w.jpg,3,1451,https://cpt.tcgcsv.com/SzN,2023-04-23T09:18:45.793,1,XY29,Promo,Fire,180,Basic,"[1] Stoke
<br>Flip a coin. If heads, search your deck for up to 3 basic Energy cards and attach them to this Pokemon. Shuffle your deck afterward.","[3R] Fire Blast (120)
<br>Discard an Energy attached to this Pokemon.",Wx2,2,6.33,13.09,80.0,13.45,23.99,Holofoil,None,,
96393,Blastoise EX - XY30,Blastoise EX XY30,https://tcgplayer-cdn.tcgplayer.com/product/96393_200w.jpg,3,1451,https://cpt.tcgcsv.com/TzN,2022-05-01T15:00:09.087,1,XY30,Promo,Water,180,Basic,"[2] Rapid Spin (30)
<br>Switch this Pokemon with 1 of your Benched Pokemon. Then, your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.","[WWW] Splash Bomb (120)
<br>Flip a coin. If tails, this Pokemon does 30 damage to itself.",Gx2,3,2.5,4.47,8.99,5.13,3.59,Holofoil,None,,
96394,Xerneas - XY31,Xerneas XY31,https://tcgplayer-cdn.tcgplayer.com/product/96394_200w.jpg,3,1451,https://cpt.tcgcsv.com/VzN,2021-11-29T06:15:14.53,1,XY31,Promo,Fairy,130,Basic,"[2Y] Aurora Gain (50)
<br>During your opponent's next turn, this Pokemon has no Weakness.","[2YY] Light of Life (80+)
<br>If your opponent has Yveltal (including Yveltal-EX) in play, this attack does 40 more damage.",Mx2,2,0.5,0.87,6.0,1.03,,Holofoil,D-20,,
96395,Yveltal - XY32,Yveltal XY32,https://tcgplayer-cdn.tcgplayer.com/product/96395_200w.jpg,3,1451,https://cpt.tcgcsv.com/WzN,2025-02-05T21:18:47.893,1,XY32,Promo,Darkness,130,Basic,"[2D] Air Crash (50)
<br>Flip a coin. If heads, discard an Energy card attached to your opponent's Active Pokemon.","[2DD] Wings of Destruction (80+)
<br>If your opponent has Xerneas (including Xerneas-EX) in play, this attack does 40 more damage.",Lx2,2,0.51,0.91,8.1,1.15,0.89,Holofoil,F-20,,
96396,Trevor - XY33,Trevor XY33,https://tcgplayer-cdn.tcgplayer.com/product/96396_200w.jpg,3,1451,https://cpt.tcgcsv.com/XzN,2020-08-12T19:12:05.61,1,XY33,Promo,Supporter,,,,,,,0.25,1.27,6.0,1.84,,Normal,,"Search your deck for a Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward.
<br>
<em>You may play only 1 Supporter card during your turn (before you attack).",
96397,Metagross EX (Shiny),Metagross EX Shiny,https://tcgplayer-cdn.tcgplayer.com/product/96397_200w.jpg,3,1451,https://cpt.tcgcsv.com/ZzN,2016-01-13T15:13:29.613,1,XY34,Promo,Metal,180,Basic,"[1M] Magnetic Laser (20)
<br>You may move a Metal Energy from 1 of your Benched Pokemon to this Pokemon.","[2MM] Squared Attack (50x)
<br>Flip 4 coins. This attack does 50 damage times the number of heads.",Rx2,4,15.0,20.5,45.0,21.51,,Holofoil,P-20,,
96398,M Metagross EX (Shiny),M Metagross EX Shiny,https://tcgplayer-cdn.tcgplayer.com/product/96398_200w.jpg,3,1451,https://cpt.tcgcsv.com/-zN,2021-10-15T15:02:42.47,1,XY35,Promo,Metal,220,Mega,"[4] Gatling Slug (130+)
<br>This attack does 10 ore damage for each Metal Energy attached to this Pokemon.",,Rx2,4,39.8,69.32,80.0,68.79,69.32,Holofoil,P-20,"When 1 of your Pokemon becomes a Mega Evolution Pokemon, your turn ends.",
96413,Kingdra - XY39 (Prerelease),Kingdra XY39 Prerelease,https://tcgplayer-cdn.tcgplayer.com/product/96413_200w.jpg,3,1451,https://cpt.tcgcsv.com/hBN,2024-04-08T16:01:49.153,1,XY39,Promo,Dragon,130,Stage 2,"[1] Gather Strength
<br>Search your deck for up to 4 basic Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.","[WWL] Dragon Blast (150)
<br>Discard a Water and a Lightning Energy attached to this Pokemon.",Fx2,1,24.75,41.25,500.0,17.42,59.98,Holofoil,None,"<strong>Alpha Growth </strong> When you attach an Energy card from your hand to this Pokemon <em>(except with an attack, Ability, or Trainer card)</em>, you may attach 2 Energy cards.",
96414,Kingdra - XY39 (Prerelease) [Staff],Kingdra XY39 Prerelease Staff,https://tcgplayer-cdn.tcgplayer.com/product/96414_200w.jpg,3,1451,https://cpt.tcgcsv.com/jBN,2024-04-08T15:48:26.697,1,XY39,Promo,Dragon,130,Stage 2,"[1] Gather Strength
<br>Search your deck for up to 4 basic Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.","[WWL] Dragon Blast (150)
<br>Discard a Water and a Lightning Energy attached to this Pokemon.",Fx2,1,34.0,57.0,148.78,74.88,74.69,Holofoil,None,"<strong>Alpha Growth </strong> When you attach an Energy card from your hand to this Pokemon <em>(except with an attack, Ability, or Trainer card)</em>, you may attach 2 Energy cards.",
96415,Ditto,Ditto,https://tcgplayer-cdn.tcgplayer.com/product/96415_200w.jpg,3,1451,https://cpt.tcgcsv.com/kBN,2020-06-26T18:07:23.223,1,XY40,Promo,Colorless,70,Basic,"[1] Stick On (10)
<br>Attach a basic Energy card from your discard pile to this Pokemon.",,Fx2,2,50.0,52.5,59.98,33.97,,Holofoil,None,"<strong>Ability - Metamorphosis Gene </strong>
<br>If this Pokemon is your Active Pokemon, it can use attacks of your opponent's Active Pokemon. <em> (You still need the necessary Energy to use each attack.)</em>",
96416,Diancie EX - XY43,Diancie EX XY43,https://tcgplayer-cdn.tcgplayer.com/product/96416_200w.jpg,3,1451,https://cpt.tcgcsv.com/lBN,2020-06-26T18:06:46.21,1,XY43,Promo,Fairy,140,Basic,"[2] Moonblast (20)
<br>During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 <i>(before applying Weakness and Resistance).</i>","[1YY] Luminous Swirl (80+)
<br>Flip 2 coins. This attack does 40 more damage for each heads.",Mx2,2,4.16,11.25,29.0,11.8,,Holofoil,D-20,,
96417,M Diancie EX - XY44,M Diancie EX XY44,https://tcgplayer-cdn.tcgplayer.com/product/96417_200w.jpg,3,1451,https://cpt.tcgcsv.com/mBN,2020-06-26T18:13:37.55,1,XY44,Promo,Fairy,190,Mega,"[1YY] Diamond Force (100)
<br>During your opponent's next turn, prevent all damage done to each of your Pokemon from your opponent's Pokemon-EX. <i>(If this Pokemon is no longer your Active Pokemon, this effect ends.)</i>",,Mx2,2,24.99,31.97,51.41,34.82,26.77,Holofoil,D-20,"When 1 of your Pokemon becomes a Mega Evolution Pokemon, your turn ends.",
96418,Gallade EX - XY45,Gallade EX XY45,https://tcgplayer-cdn.tcgplayer.com/product/96418_200w.jpg,3,1451,https://cpt.tcgcsv.com/nBN,2020-08-25T12:23:43.45,1,XY45,Promo,Psychic,170,Basic,"[2P] Assault Sword (40+)
<br>If your opponent's Active Pokemon has no Energy attached to it, this attack does 40 more damage.","[2PP] Cross Slash (130)
<br>This Pokemon can't use Cross Slash during your next turn.",Px2,2,1.49,2.66,11.77,2.5,,Holofoil,None,,
96419,Treecko - XY36,Treecko XY36,https://tcgplayer-cdn.tcgplayer.com/product/96419_200w.jpg,3,1451,https://cpt.tcgcsv.com/pBN,2020-06-26T18:18:35.997,1,XY36,Promo,Grass,60,Basic,"[G] Quick Attack (10+)
<br>Flip a coin. If heads, this attack does 10 more damage.",,Rx2,1,0.75,1.25,20.15,2.76,,Holofoil,None,,
96420,Torchic - XY37,Torchic XY37,https://tcgplayer-cdn.tcgplayer.com/product/96420_200w.jpg,3,1451,https://cpt.tcgcsv.com/qBN,2022-10-16T10:44:49.573,1,XY37,Promo,Fire,60,Basic,"[R] Ember (20)
<br>Flip a coin. If tails, discard a Fire Energy attached to this Pokemon.",,Wx2,1,0.79,1.11,6.0,1.32,0.99,Holofoil,None,,
96421,Mudkip - XY38,Mudkip XY38,https://tcgplayer-cdn.tcgplayer.com/product/96421_200w.jpg,3,1451,https://cpt.tcgcsv.com/rBN,2020-06-26T18:15:19.06,1,XY38,Promo,Water,60,Basic,[W] Tackle (10),[1W] Mud-Slap (20),Gx2,1,1.61,3.44,6.0,1.86,,Holofoil,None,,
96479,Champions Festival - XY27 (2014 Top Thirty-Two),Champions Festival XY27 2014 Top Thirty Two,https://tcgplayer-cdn.tcgplayer.com/product/96479_200w.jpg,3,1451,https://cpt.tcgcsv.com/CCN,2020-06-26T18:05:25.067,0,XY27,Promo,Stadium,,,,,,,,,,,,,,"Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon.

<br><em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>",
96480,Champions Festival - XY27 (2014 Top Sixteen),Champions Festival XY27 2014 Top Sixteen,https://tcgplayer-cdn.tcgplayer.com/product/96480_200w.jpg,3,1451,https://cpt.tcgcsv.com/DCN,2020-06-26T18:05:18.787,0,XY27,Promo,Stadium,,,,,,,,,,,,,,"Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon.

<br><em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>",
96481,Champions Festival - XY27 (2014 Quarter Finalist),Champions Festival XY27 2014 Quarter Finalist,https://tcgplayer-cdn.tcgplayer.com/product/96481_200w.jpg,3,1451,https://cpt.tcgcsv.com/FCN,2020-06-26T18:04:20.917,0,XY27,Promo,Stadium,,,,,,,,,,,,,,"Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon.

<br><em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>",
96482,Champions Festival - XY27 (2014 Semi-Finalist),Champions Festival XY27 2014 Semi Finalist,https://tcgplayer-cdn.tcgplayer.com/product/96482_200w.jpg,3,1451,https://cpt.tcgcsv.com/GCN,2020-06-26T18:04:27.253,0,XY27,Promo,Stadium,,,,,,,,,,,,,,"Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon.

<br><em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>",
96483,Champions Festival - XY27 (2014 Finalist),Champions Festival XY27 2014 Finalist,https://tcgplayer-cdn.tcgplayer.com/product/96483_200w.jpg,3,1451,https://cpt.tcgcsv.com/HCN,2020-06-26T18:04:13.96,0,XY27,Promo,Stadium,,,,,,,,,,,,,,"Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon.

<br><em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>",
96484,Champions Festival - XY27 (2014 Champion),Champions Festival XY27 2014 Champion,https://tcgplayer-cdn.tcgplayer.com/product/96484_200w.jpg,3,1451,https://cpt.tcgcsv.com/JCN,2020-06-26T18:04:03.65,0,XY27,Promo,Stadium,,,,,,,,,,,,,,"Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon.

<br><em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>",
96485,Champions Festival - XY27 (2014 Staff),Champions Festival XY27 2014 Staff,https://tcgplayer-cdn.tcgplayer.com/product/96485_200w.jpg,3,1451,https://cpt.tcgcsv.com/KCN,2020-06-26T18:05:11.727,0,XY27,Promo,Stadium,,,,,,,375.0,395.0,415.0,,,Holofoil,,"Once during each player's turn, if that player has 6 Pokemon in play, he or she may heal 10 damage from each of his or her Pokemon.

<br><em>This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.</em>",
