productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extMonsterType,extCardType,extAttack,extDefense,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttribute
66678,Dark Eruption,Dark Eruption,https://tcgplayer-cdn.tcgplayer.com/product/66678_200w.jpg,2,597,https://cpt.tcgcsv.com/BHx,2013-10-30T15:10:05.3,1,TU03-EN010,Rare,,Normal Spell,0,0,Add 1 DARK monster with an ATK of 1500 or less from your Graveyard to your hand.,0.08,0.3,1.23,0.25,,Unlimited,SPELL
66679,Saber Slash,Saber Slash,https://tcgplayer-cdn.tcgplayer.com/product/66679_200w.jpg,2,597,https://cpt.tcgcsv.com/CHx,2013-10-30T15:10:03,1,TU03-EN011,Rare,,Normal Spell,0,0,"Destroy a number of face-up cards on the field equal to the number of face-up Attack Position ""X-Saber"" monsters you control.",0.19,0.41,1.0,0.31,,Unlimited,SPELL
66680,Destiny Hero - Diamond Dude,Destiny Hero Diamond Dude,https://tcgplayer-cdn.tcgplayer.com/product/66680_200w.jpg,2,597,https://cpt.tcgcsv.com/DHx,2013-10-30T15:10:01.037,1,TU03-EN012,Common,Warior,Effect Monster,1400,1600,"Once per turn: You can reveal the top card of your Deck, and if it is a Normal Spell Card, send it to the Graveyard, otherwise place it on the bottom of your Deck. During the Main Phase of your next turn, you can activate the effect of that Spell Card in your Graveyard (even if you no longer control this face-up card).",0.08,0.25,1.8,0.17,,Unlimited,
66681,D.D. Crow,DD Crow,https://tcgplayer-cdn.tcgplayer.com/product/66681_200w.jpg,2,597,https://cpt.tcgcsv.com/FHx,2021-01-05T19:12:56.48,1,TU03-EN013,Common,Winged Beast,Effect Monster,100,100,During either player's turn: You can discard this card to the Graveyard to target 1 card in your opponent's Graveyard; banish that target.,0.47,1.15,19.99,0.89,,Unlimited,DARK
66682,Superancient Deepsea King Coelacanth,Superancient Deepsea King Coelacanth,https://tcgplayer-cdn.tcgplayer.com/product/66682_200w.jpg,2,597,https://cpt.tcgcsv.com/GHx,2013-10-30T15:09:57.197,1,TU03-EN014,Common,Fish,Effect Monster,2800,2200,"Once per turn, you can discard 1 card to Special Summon as many Level 4 or lower Fish-Type monsters as possible from your Deck. A monster Special Summoned by this effect cannot declare an attack and its effect(s) is negated while on the field. If this card is targeted by a Spell, Trap, or Effect Monster's effect, you can Tribute 1 other Fish-Type monster to negate the effect and destroy that card.",0.3,0.57,2.0,0.73,,Unlimited,WATER
66683,Koa'ki Meiru Drago,Koaki Meiru Drago,https://tcgplayer-cdn.tcgplayer.com/product/66683_200w.jpg,2,597,https://cpt.tcgcsv.com/HHx,2013-10-30T15:09:52.993,1,TU03-EN015,Common,Dragon,Effect Monster,1900,1600,"During each of your End Phases, destroy this card unless you send 1 ""Iron Core of Koa'ki Meiru"" from your hand to the Graveyard or reveal 1 Dragon-Type monster in your hand. LIGHT and DARK monsters cannot be Special Summoned.",1.1,1.76,15.0,1.53,,Unlimited,WIND
66684,Kycoo the Ghost Destroyer,Kycoo the Ghost Destroyer,https://tcgplayer-cdn.tcgplayer.com/product/66684_200w.jpg,2,597,https://cpt.tcgcsv.com/JHx,2013-10-30T15:10:59.89,1,TU03-EN016,Common,Spellcaster,Effect Monster,1800,700,"When this card inflicts Battle Damage to your opponent, you can remove from play up to 2 Monster Cards from their Graveyard. Your opponent cannot remove from play cards from either player's Graveyard.",1.6,2.88,3.77,2.34,,Unlimited,
66685,Nobleman of Crossout,Nobleman of Crossout,https://tcgplayer-cdn.tcgplayer.com/product/66685_200w.jpg,2,597,https://cpt.tcgcsv.com/KHx,2013-10-30T15:10:51.75,1,TU03-EN017,Common,,Normal Spell,0,0,"Destroy 1 face-down monster and remove it from play. If the monster is a Flip Effect Monster, both players must remove from play all monsters from their Decks with the same name as the destroyed monster.",1.0,1.49,3.0,1.14,,Unlimited,SPELL
66686,Cloak and Dagger,Cloak and Dagger,https://tcgplayer-cdn.tcgplayer.com/product/66686_200w.jpg,2,597,https://cpt.tcgcsv.com/LHx,2013-10-30T15:10:44.727,1,TU03-EN018,Common,,Normal Trap,0,0,"Declare 1 Monster Card name. If your opponent Normal Summons, Special Summons, or flips that monster(s) face-up, remove that monster(s) and this card from play.",0.09,0.25,1.8,0.18,,Unlimited,TRAP
66687,Gladiator Beast War Chariot,Gladiator Beast War Chariot,https://tcgplayer-cdn.tcgplayer.com/product/66687_200w.jpg,2,597,https://cpt.tcgcsv.com/MHx,2013-10-30T15:10:38.693,1,TU03-EN019,Common,,Normal Trap,0,0,"Activate only if you control a ""Gladiator Beast"" monster. Negate the activation of an Effect Monster's effect, and destroy it.",0.84,1.95,8.22,2.07,,Unlimited,TRAP
66688,Pollinosis,Pollinosis,https://tcgplayer-cdn.tcgplayer.com/product/66688_200w.jpg,2,597,https://cpt.tcgcsv.com/NHx,2013-10-30T15:10:30.047,1,TU03-EN020,Common,,Normal Trap,0,0,"Tribute 1 Plant-Type monster. Negate the activation of a Spell or Trap Card, or the Normal or Special Summon of a monster, and destroy that card.",0.1,0.29,1.8,0.15,,Unlimited,TRAP
