productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extMonsterType,extAttack,extDefense,extLinkRating,extLinkArrows
180317,Matriarch of Nephthys,Matriarch of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180317_200w.jpg,2,2343,https://cpt.tcgcsv.com/m8s2,2024-07-26T19:24:24.883,1,"You can target 1 Level 4 or lower ""Nephthys"" monster in your GY, except ""Matriarch of Nephthys""; destroy 1 card in your hand, and if you do, Special Summon the targeted monster in Defense position, but negate its effects. During your next Standby Phase after this card was destroyed by card effect and sent to the GY: You can Special Summon this card from the GY. You can only use each effect of ""Matriarch of Nephthys"" once per turn.",0.1,0.33,1.53,0.21,0.17,1st Edition,HISU-EN001,Super Rare,WIND,Effect Monster,Spellcaster,600,600,,
180318,Mayakashi Metamorphosis,Mayakashi Metamorphosis,https://tcgplayer-cdn.tcgplayer.com/product/180318_200w.jpg,2,2343,https://cpt.tcgcsv.com/n8s2,2024-07-26T19:24:24.92,1,"Discard 1 card, then target 1 of your ""Mayakashi"" monsters that is banished or in your GY; Special Summon it. Your opponent cannot target it with card effects this turn. You cannot Special Summon monsters from the Extra Deck the turn you activate this card except ""Mayakashi"" monsters. You can only activate 1 ""Mayakashi Metamorphosis"" per turn.",0.07,0.26,5.0,0.25,0.18,1st Edition,HISU-EN039,Super Rare,TRAP,Normal Trap,,,,,
180319,Night's End Sorcerer,Nights End Sorcerer,https://tcgplayer-cdn.tcgplayer.com/product/180319_200w.jpg,2,2343,https://cpt.tcgcsv.com/p8s2,2024-07-26T19:24:24.96,1,When this card is Special Summoned: You can target up to 2 cards in your opponent's GY; banish them.,0.1,0.3,3.01,0.28,,1st Edition,HISU-EN040,Super Rare,DARK,Tuner/Effect Monster,Spellcaster,1300,400,,
180320,Onslaught of the Fire Kings,Onslaught of the Fire Kings,https://tcgplayer-cdn.tcgplayer.com/product/180320_200w.jpg,2,2343,https://cpt.tcgcsv.com/q8s2,2024-07-26T19:24:25,1,"If your opponent controls a monster and you control no monsters: Special Summon 1 Fire Beast, Beast-Warrior, or Winged Beast monster from your Deck. Its effects are negated, also it is destroyed during the End Phase. You can only activate 1 ""Onslaught of the Fire Kings"" per turn.",0.07,0.31,4.99,0.15,,1st Edition,HISU-EN055,Super Rare,SPELL,Normal Spell,,,,,
180321,Phoenix Wing Wind Blast,Phoenix Wing Wind Blast,https://tcgplayer-cdn.tcgplayer.com/product/180321_200w.jpg,2,2343,https://cpt.tcgcsv.com/r8s2,2021-10-27T19:44:59.327,1,"Discard 1 card, then target 1 card your opponent controls; place that target on the top of the Deck.",0.85,1.47,3.95,1.27,1.4,1st Edition,HISU-EN045,Super Rare,TRAP,Normal Trap,,,,,
180322,Prank-Kids Bow-Wow-Bark,Prank Kids Bow Wow Bark,https://tcgplayer-cdn.tcgplayer.com/product/180322_200w.jpg,2,2343,https://cpt.tcgcsv.com/s8s2,2024-08-29T14:30:59.617,1,"2 ""Prank-Kids"" monsters
<br>A ""Prank-Kids"" monster this card points to gains 1000 ATK. During your opponent's turn (Quick Effect): You can Tribute this card, then target 2 ""Prank-Kids"" cards with different names in your GY, except Link Monsters; add them to your hand, also ""Prank-Kids"" monsters you control cannot be destroyed by your opponent's card effects this turn. You can only use this effect of ""Prank-Kids Bow-Wow-Bark"" once per turn.",0.1,0.5,5.0,0.3,0.26,1st Edition,HISU-EN021,Super Rare,FIRE,Link/Effect Monster,Pyro,2000,,2,Bottom;Right
180323,Prank-Kids Dropsies,Prank Kids Dropsies,https://tcgplayer-cdn.tcgplayer.com/product/180323_200w.jpg,2,2343,https://cpt.tcgcsv.com/t8s2,2024-07-26T19:24:25.333,1,"If this card is sent to the GY as material for the Fusion or Link Summon of a ""Prank-Kids"" monster: You can gain 1000 LP, then you can Special Summon 1 ""Prank-Kids"" monster from your hand or Deck in Defense Position, except ""Prank-Kids Dropsies"". You can only use this effect of ""Prank-Kids Dropsies"" once per turn.",0.14,0.49,2.75,0.29,0.3,1st Edition,HISU-EN016,Super Rare,WATER,Effect Monster,Aqua,1000,1000,,
180324,Prank-Kids Fansies,Prank Kids Fansies,https://tcgplayer-cdn.tcgplayer.com/product/180324_200w.jpg,2,2343,https://cpt.tcgcsv.com/v8s2,2024-07-26T19:24:25.38,1,"If this card is sent to the GY as material for the Fusion or Link Summon of a ""Prank-Kids"" monster: You can send 1 ""Prank-Kids"" card from your Deck to the GY, except ""Prank-Kids Fansies"", then you can Special Summon 1 ""Prank-Kids"" monster from your hand or Deck in Defense Position, except ""Prank-Kids Fansies"". You can only use this effect of ""Prank-Kids Fansies"" once per turn.",0.09,0.5,2.25,0.35,0.47,1st Edition,HISU-EN014,Super Rare,WIND,Effect Monster,Thunder,0,2000,,
180325,Prank-Kids Lampsies,Prank Kids Lampsies,https://tcgplayer-cdn.tcgplayer.com/product/180325_200w.jpg,2,2343,https://cpt.tcgcsv.com/w8s2,2025-03-28T05:08:09.877,1,"If this card is sent to the GY as material for the Fusion or Link Summon of a ""Prank-Kids"" monster: You can inflict 500 damage to your opponent, then you can Special Summon 1 ""Prank-Kids"" monster from your hand or Deck in Defense Position, except ""Prank-Kids Lampsies"". You can only use this effect of ""Prank-Kids Lampsies"" once per turn.",0.14,0.5,2.5,0.37,0.34,1st Edition,HISU-EN015,Super Rare,FIRE,Effect Monster,Pyro,1500,500,,
180326,Prank-Kids Pandemonium,Prank Kids Pandemonium,https://tcgplayer-cdn.tcgplayer.com/product/180326_200w.jpg,2,2343,https://cpt.tcgcsv.com/x8s2,2024-07-26T19:24:25.46,1,"During the Main Phase: Fusion Summon 1 ""Prank-Kids"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. For the rest of this turn after this card resolves, you cannot Normal or Special Summon monsters, except ""Prank-Kids"" monsters.",0.05,0.5,5.2,0.31,0.37,1st Edition,HISU-EN025,Super Rare,SPELL,Quick-Play Spell,,,,,
180327,Prank-Kids Plan,Prank Kids Plan,https://tcgplayer-cdn.tcgplayer.com/product/180327_200w.jpg,2,2343,https://cpt.tcgcsv.com/z8s2,2024-08-09T09:24:19.913,1,"During the Main Phase: You can activate this effect, immediately after this effect resolves, Link Summon 1 ""Prank-Kids"" Link Monster using ""Prank-Kids"" monsters you control as material. When an opponent's monster declares an attack: You can banish this card from your GY; shuffle any number of ""Prank-Kids"" cards from your GY into the Deck, and if you do, that attacking monster loses 100 ATK for each card shuffled, until the end of this turn. You can only use each effect of ""Prank-Kids Plan"" once per turn.",0.02,0.49,1.73,0.28,0.26,1st Edition,HISU-EN026,Super Rare,TRAP,Continuous Trap,,,,,
180328,Prank-Kids Pranks,Prank Kids Pranks,https://tcgplayer-cdn.tcgplayer.com/product/180328_200w.jpg,2,2343,https://cpt.tcgcsv.com/B8s2,2024-07-26T19:24:25.537,1,"You can discard 1 ""Prank-Kids"" card; Special Summon 1 ""Prank-Kids Token"" (Pyro/FIRE/Level 1/ATK 0/DEF 0), but it cannot be Tributed. During your End Phase: You can target 3 ""Prank-Kids"" cards in your GY, except ""Prank-Kids Pranks"": shuffle all 3 into the deck, then draw 1 card. You can only use each effect of ""Prank-Kids Pranks"" once per turn.",0.2,0.6,2.95,0.59,0.25,1st Edition,HISU-EN024,Super Rare,SPELL,Continuous Spell,,,,,
180329,Prank-Kids Rocket Ride,Prank Kids Rocket Ride,https://tcgplayer-cdn.tcgplayer.com/product/180329_200w.jpg,2,2343,https://cpt.tcgcsv.com/C8s2,2024-07-26T19:24:25.583,1,"2 ""Prank-Kids"" monsters
<br>If this card is Fusion Summoned: You can have this card lose 1000 ATK this turn, also it can attack directly this turn. You can Tribute this card, then target 2 ""Prank-Kids"" non-Fusion Monsters with different names in your GY; Special Summon them, but they cannot attack this turn. You can only use each effect of ""Prank-Kids Rocket Ride"" once per turn.",0.1,0.35,2.0,0.22,0.21,1st Edition,HISU-EN017,Super Rare,FIRE,Fusion/Effect Monster,Pyro,2000,0,,
180330,Prank-Kids Weather Washer,Prank Kids Weather Washer,https://tcgplayer-cdn.tcgplayer.com/product/180330_200w.jpg,2,2343,https://cpt.tcgcsv.com/D8s2,2024-07-26T19:24:25.647,1,"2 ""Prank-Kids"" monsters
<br>If your ""Prank-Kids"" attacks, your opponent cannot activate cards or effects until the end of the Damage Step. During your opponent's turn (Quick Effect): You can tribute this card, then target 2 ""Prank-Kids"" non-Fusion Monsters with different names in your GY; Special Summon them. They cannot be destroyed by battle this turn. You can only use this effect of ""Prank-Kids Weather Washer"" once per turn.",0.01,0.3,1.99,0.23,0.21,1st Edition,HISU-EN018,Super Rare,WATER,Fusion/Effect Monster,Aqua,2000,0,,
180331,Preparation of Rites,Preparation of Rites,https://tcgplayer-cdn.tcgplayer.com/product/180331_200w.jpg,2,2343,https://cpt.tcgcsv.com/F8s2,2024-07-26T19:24:25.677,1,"Add 1 Level 7 or lower Ritual Monster from your Deck to your hand, then you can add 1 Ritual Spell from your GY to your hand.",0.1,0.45,9.99,0.36,0.38,1st Edition,HISU-EN042,Super Rare,SPELL,Normal Spell,,,,,
180332,Re-Fusion,Re Fusion,https://tcgplayer-cdn.tcgplayer.com/product/180332_200w.jpg,2,2343,https://cpt.tcgcsv.com/G8s2,2024-07-26T19:24:25.74,1,"Activate this card by paying 800 LP, then target 1 Fusion Monster in your GY; Special Summon it and equip it with this card. When this card is destroyed, banish the equipped monster.",0.05,0.26,2.0,0.2,,1st Edition,HISU-EN053,Super Rare,SPELL,Equip Spell,,,,,
180333,Rebirth of Nephthys,Rebirth of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180333_200w.jpg,2,2343,https://cpt.tcgcsv.com/H8s2,2024-07-26T19:24:25.833,1,"This card can be used to Ritual Summon any ""Nephthys"" Ritual Monster. You must also Tribute monsters from your hand or field whose total levels equal or exceed the Level of the Ritual Monster you Ritual Summon. Then, if you Tributed ""Devotee of Nephthys"" or ""Cerulean Sacred Phoenix of Nephthys"", you can destroy 1 card on the field.",0.15,0.38,2.0,0.32,0.33,1st Edition,HISU-EN009,Super Rare,SPELL,Ritual Spell,,,,,
180334,Ritual Foregone,Ritual Foregone,https://tcgplayer-cdn.tcgplayer.com/product/180334_200w.jpg,2,2343,https://cpt.tcgcsv.com/J8s2,2024-07-26T19:24:25.88,1,"Pay 1000 LP; Special Summon 1 Ritual Monster from your hand, but it cannot attack, also destroy it during the End Phase. You can only activate 1 ""Ritual Foregone"" per turn.",0.03,0.27,4.99,0.16,,1st Edition,HISU-EN054,Super Rare,SPELL,Normal Spell,,,,,
180335,Rivalry of Warlords,Rivalry of Warlords,https://tcgplayer-cdn.tcgplayer.com/product/180335_200w.jpg,2,2343,https://cpt.tcgcsv.com/K8s2,2025-02-14T17:02:33.643,1,Each player can only control 1 Type of monster. Send all other face-up monsters they control to the GY.,0.11,0.55,24.99,0.3,0.3,1st Edition,HISU-EN059,Super Rare,TRAP,Continuous Trap,,,,,
180336,Sacred Phoenix of Nephthys,Sacred Phoenix of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180336_200w.jpg,2,2343,https://cpt.tcgcsv.com/L8s2,2024-07-26T19:24:26.017,1,"Once per turn, during your next Standby Phase after this card was destroyed by a card effect and sent to the GY: Special Summon this card from the GY. If you do: Destroy all Spells and Traps on the field.",0.05,0.3,1.25,0.24,0.16,1st Edition,HISU-EN012,Super Rare,FIRE,Effect Monster,Winged Beast,2400,1600,,
180337,Shiranui Samurai,Shiranui Samurai,https://tcgplayer-cdn.tcgplayer.com/product/180337_200w.jpg,2,2343,https://cpt.tcgcsv.com/M8s2,2024-07-26T19:24:26.063,1,"(Quick Effect): You can banish 1 Zombie monster from your GY; this card gains 600 ATK, and if it does, banish any monster that battled this card, after damage calculation. These effects last until the end of this turn. If this card is banished: You can target 1 ""Shiranui"" monster in your GY, except ""Shiranui Samurai"": add it to your hand. You can only use each effect of ""Shiranui Samurai"" once per turn.",0.1,0.27,2.0,0.21,0.12,1st Edition,HISU-EN049,Super Rare,FIRE,Effect Monster,Zombie,1800,0,,
180338,Shiranui Spiritmaster,Shiranui Spiritmaster,https://tcgplayer-cdn.tcgplayer.com/product/180338_200w.jpg,2,2343,https://cpt.tcgcsv.com/N8s2,2024-07-26T19:24:26.157,1,"When this card is Normal Summoned: You can Special Summon 1 ""Shiranui"" Monster from your hand or GY, except ""Shiranui Spiritmaster"", but banish it when it leaves the field. If this card is banished: You can target 1 face-up card your opponent controls: destroy it. You can only use this effect of ""Shiranui Spiritmaster"" once per turn.",0.15,0.4,1.99,0.23,0.2,1st Edition,HISU-EN048,Super Rare,FIRE,Effect Monster,Zombie,1500,0,,
180339,Tatsunoko,Tatsunoko,https://tcgplayer-cdn.tcgplayer.com/product/180339_200w.jpg,2,2343,https://cpt.tcgcsv.com/P8s2,2018-11-15T19:02:14.917,1,"1 Tuner + 1* non-Tuner monsters
<br>If this Synchro Summoned monster would be used as a Synchro Material, 1 monster in your hand can be used as 1 of the other materials. Unaffected by other monsters' effects.",0.1,0.3,1.49,0.25,0.17,1st Edition,HISU-EN050,Super Rare,WATER,Synchro/Tuner/Effect Monster,Wyrm,1700,500,,
180340,Thunder Dragon,Thunder Dragon,https://tcgplayer-cdn.tcgplayer.com/product/180340_200w.jpg,2,2343,https://cpt.tcgcsv.com/Q8s2,2023-01-30T04:32:56.147,1,"You can discard this card; add up to 2 ""Thunder Dragon"" from your Deck to your hand.",3.0,4.51,15.0,5.0,3.14,1st Edition,HISU-EN046,Super Rare,LIGHT,Effect Monster,Thunder,1600,1500,,
180341,"Tsukahagi, the Poisonous Mayakashi",Tsukahagi the Poisonous Mayakashi,https://tcgplayer-cdn.tcgplayer.com/product/180341_200w.jpg,2,2343,https://cpt.tcgcsv.com/R8s2,2024-07-26T19:24:26.207,1,"You can only control 1 ""Tsukahagi, the Poisonous Mayakashi"". If a ""Mayakashi"" monster(s) in your possession, except ""Tsukahagi, the Poisonous Mayakashi"", is destroyed by battle or an opponent's card effect, while this card is in the GY: You can Special Summon this card. You cannot Special Summon monsters from the Extra Deck the turn you activate this effect, except ""Mayakashi"" monsters.",0.14,0.25,1.45,0.23,0.18,1st Edition,HISU-EN028,Super Rare,EARTH,Tuner/Effect Monster,Zombie,0,2000,,
180342,Ultra Polymerization,Ultra Polymerization,https://tcgplayer-cdn.tcgplayer.com/product/180342_200w.jpg,2,2343,https://cpt.tcgcsv.com/S8s2,2024-07-26T19:24:26.253,1,"Pay 2000 LP; Fusion Summon 1 Fusion Monster from your Extra Deck, using 2 monsters you control as Fusion Materials. Neither player can activate cards or effects in response to this card's activation. You can banish this card from your GY, then target 1 Fusion Monster that was Fusion Summoned with this card's effect: Special Summon all the Fusion Materials used for its Fusion Summon from your GY but change their ATK/DEF to 0, also they have their effects negated.",0.35,0.6,4.5,0.54,0.45,1st Edition,HISU-EN043,Super Rare,SPELL,Normal Spell,,,,,
180343,"Yasha, the Skeletal Mayakashi",Yasha the Skeletal Mayakashi,https://tcgplayer-cdn.tcgplayer.com/product/180343_200w.jpg,2,2343,https://cpt.tcgcsv.com/T8s2,2024-07-26T19:24:26.33,1,"You can discard 1 other ""Mayakashi"" monster; Special Summon this card from your hand. You can only use this effect of ""Yasha, the Skeletal Mayakashi"" once per turn. You cannot Special Summon monsters from the Extra Deck, except ""Mayakashi"" monsters.",0.05,0.25,1.49,0.18,0.11,1st Edition,HISU-EN031,Super Rare,DARK,Effect Monster,Zombie,2000,0,,
180344,Cerulean Sacred Phoenix of Nephthys,Cerulean Sacred Phoenix of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180344_200w.jpg,2,2343,https://cpt.tcgcsv.com/V8s2,2018-11-15T18:45:18.98,1,"You can Ritual Summon this card with ""Rebirth of Nephthys"". You can only use each of the following effects of ""Cerulean Sacred Phoenix of Nephthys"" once per turn.
<br>• During your Main Phase: You can destroy ""Nephthys"" cards in your hand and/or face-up field, then destroy an equal number of monsters your opponent controls.
<br>• During your next Standby Phase after this card was destroyed by battle or card effect and sent to the GY: You can Special Summon this card from the GY.",0.25,1.04,7.99,1.22,4.25,1st Edition,HISU-EN006,Secret Rare,FIRE,Ritual/Effect Monster,Winged Beast,3000,1000,,
180345,"Dakki, the Graceful Mayakashi",Dakki the Graceful Mayakashi,https://tcgplayer-cdn.tcgplayer.com/product/180345_200w.jpg,2,2343,https://cpt.tcgcsv.com/W8s2,2024-07-26T19:24:26.377,1,"You can only control 1 ""Dakki, the Graceful Mayakashi"". When a ""Mayakashi"" monster(s) is Special Summoned to your field from the Extra Deck, while this card is in the GY (except during the Damage Step): You can Special Summon this card. You cannot Special Summon monsters from the Extra Deck the turn you activate this effect, except ""Mayakashi"" monsters.",0.21,0.63,6.0,0.65,0.25,1st Edition,HISU-EN027,Secret Rare,FIRE,Tuner/Effect Monster,Zombie,1000,0,,
180346,Devotee of Nephthys,Devotee of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180346_200w.jpg,2,2343,https://cpt.tcgcsv.com/X8s2,2024-07-26T19:24:26.413,1,"You can Ritual Summon this card with ""Rebirth of Nephthys"". You can only use each of the following effects of ""Devotee of Nephthys"" once per turn.
<br>• If this card is Ritual Summoned: You can activate this effect; Special Summon 1 ""Nephthys"" monster from your Deck, also during the End Phase of this turn, destroy this card.
<br>• If this card is in the GY: You can destroy 1 ""Nephthys"" card in your hand, and if you do, Special Summon this card.",0.25,0.51,1.99,0.44,0.47,1st Edition,HISU-EN005,Secret Rare,WIND,Ritual/Effect Monster,Spellcaster,1200,1200,,
180347,Disciple of Nephthys,Disciple of Nephthys,https://tcgplayer-cdn.tcgplayer.com/product/180347_200w.jpg,2,2343,https://cpt.tcgcsv.com/Z8s2,2018-11-15T18:46:50.82,1,"During your Main Phase: You can destroy 1 card in your hand, and if you do, add 1 ""Nephthys"" monster from your Deck to your hand, except ""Disciple of Nephthys"". During your next Standby Phase after this card was destroyed by card effect and sent to the GY: You can add 1 ""Nephthys"" Spell/Trap from your Deck to your hand. You can only use each effect of ""Disciple of Nephthys"" once per turn.",0.25,0.61,2.0,0.54,0.25,1st Edition,HISU-EN002,Secret Rare,WIND,Effect Monster,Spellcaster,0,2000,,
180348,"Gashadokuro, the Skeletal Mayakashi",Gashadokuro the Skeletal Mayakashi,https://tcgplayer-cdn.tcgplayer.com/product/180348_200w.jpg,2,2343,https://cpt.tcgcsv.com/-8s2,2024-07-26T19:24:26.477,1,"1 Tuner + 1+ non-Tuner monsters / You can only control 1 ""Gashadokuro, the Skeletal Mayakashi"". You can only use each of these effects of ""Gashadokuro, the Skeletal Mayakashi"" once per turn.
<br>• If a Link Monster in your possession is destroyed by battle or an opponent's card effect while this card is in the GY: You can banish 1 other Zombie monster from your GY, and if you do, Special Summon this card.
<br>• If this card is Special Summoned from the GY: You can activate this effect; this turn, this face up card is unaffected by other cards' effects.",0.19,0.77,3.25,0.88,1.58,1st Edition,HISU-EN036,Secret Rare,DARK,Synchro/Effect Monster,Zombie,3300,2600,,
180349,Gold Sarcophagus,Gold Sarcophagus,https://tcgplayer-cdn.tcgplayer.com/product/180349_200w.jpg,2,2343,https://cpt.tcgcsv.com/_8s2,2018-11-15T18:47:47.48,1,"Banish 1 card from your Deck, face-up. During your second Standby Phase after this card's activation, add that card to the hand.",1.3,2.33,20.0,2.26,3.75,1st Edition,HISU-EN051,Secret Rare,SPELL,Normal Spell,,,,,
180350,"Hajun, the Winged Mayakashi",Hajun the Winged Mayakashi,https://tcgplayer-cdn.tcgplayer.com/product/180350_200w.jpg,2,2343,https://cpt.tcgcsv.com/09s2,2018-11-15T18:50:14.733,1,"If this card is Normal or Special Summoned: You can Special Summon 1 ""Mayakashi"" monster from your Deck, except ""Hajun, the Winged Mayakashi"". You can only use this effect of ""Hajun, the Winged Mayakashi"" once per turn. You cannot Special Summon monsters from the Extra Deck, except ""Mayakashi"" monsters.",0.15,0.64,10.34,0.34,0.15,1st Edition,HISU-EN029,Secret Rare,WIND,Effect Monster,Zombie,600,400,,
180351,Mayakashi Return,Mayakashi Return,https://tcgplayer-cdn.tcgplayer.com/product/180351_200w.jpg,2,2343,https://cpt.tcgcsv.com/29s2,2024-07-26T19:24:26.57,1,"Take 1 ""Mayakashi"" card from your Deck, except ""Mayakashi Return"", and either add it to your hand or send it to the GY. You can only activate 1 ""Mayakashi Return"" per turn.",0.25,0.76,19.0,0.5,0.51,1st Edition,HISU-EN038,Secret Rare,SPELL,Normal Spell,,,,,
