productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extDescription,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
194865,Official Judge Field Center Token: Ash Blossom & Joyous Spring,Official Judge Field Center Token Ash Blossom and Joyous Spring,https://tcgplayer-cdn.tcgplayer.com/product/194865_200w.jpg,2,2149,https://cpt.tcgcsv.com/kZz2,2019-07-19T18:59:55.15,0,,Promo,Field Center,,50.0,62.5,69.98,56.98,,Limited
194866,"Official Judge Field Center Token: Beatrice, Lady of the Eternal",Official Judge Field Center Token Beatrice Lady of the Eternal,https://tcgplayer-cdn.tcgplayer.com/product/194866_200w.jpg,2,2149,https://cpt.tcgcsv.com/lZz2,2019-07-19T19:00:11.79,0,,Promo,Field Center,,34.98,35.05,37.0,35.55,,Limited
194868,Official Judge Field Center Token: Ghost Belle & Haunted Mansion,Official Judge Field Center Token Ghost Belle and Haunted Mansion,https://tcgplayer-cdn.tcgplayer.com/product/194868_200w.jpg,2,2149,https://cpt.tcgcsv.com/nZz2,2019-07-19T19:01:08.35,0,,Promo,Field Center,,250.0,250.0,250.0,,,Limited
194870,Official Judge Field Center Token: Ghost Reaper & Winter Cherries,Official Judge Field Center Token Ghost Reaper and Winter Cherries,https://tcgplayer-cdn.tcgplayer.com/product/194870_200w.jpg,2,2149,https://cpt.tcgcsv.com/qZz2,2019-07-19T19:01:38.14,0,,Promo,Field Center,,24.69,25.0,30.0,24.95,,Limited
194872,Official Judge Field Center Token: Slifer the Sky Dragon,Official Judge Field Center Token Slifer the Sky Dragon,https://tcgplayer-cdn.tcgplayer.com/product/194872_200w.jpg,2,2149,https://cpt.tcgcsv.com/sZz2,2019-07-19T19:02:03.227,0,,Promo,Field Center,,140.0,140.0,140.0,,,Limited
194873,Official Judge Field Center Token: Vampire Sucker,Official Judge Field Center Token Vampire Sucker,https://tcgplayer-cdn.tcgplayer.com/product/194873_200w.jpg,2,2149,https://cpt.tcgcsv.com/tZz2,2019-07-19T19:02:18.54,0,,Promo,Field Center,,20.0,25.0,49.9,24.81,,Limited
199839,Official Judge Token: TKN4-EN032,Official Judge Token TKN4 EN032,https://tcgplayer-cdn.tcgplayer.com/product/199839_200w.jpg,2,2149,https://cpt.tcgcsv.com/PXC2,2021-07-23T20:19:04.26,1,TKN4-EN032,Super Rare,Token,This card can be used as any Token.,13.94,17.49,43.9,21.78,,Unlimited
209924,Official Judge Token: TKN4-EN031,Official Judge Token TKN4 EN031,https://tcgplayer-cdn.tcgplayer.com/product/209924_200w.jpg,2,2149,https://cpt.tcgcsv.com/v-H2,2021-07-23T20:18:58.433,1,TKN4-EN031,Super Rare,Token,This card can be used as any Token.,40.88,44.85,47.09,,,Unlimited
209925,Official Judge Token: TKN4-EN034,Official Judge Token TKN4 EN034,https://tcgplayer-cdn.tcgplayer.com/product/209925_200w.jpg,2,2149,https://cpt.tcgcsv.com/w-H2,2021-07-23T20:19:11.91,1,TKN4-EN034,Super Rare,Token,This card can be used as any Token.,34.89,39.49,52.92,39.48,,Unlimited
209926,Official Judge Token: TKN4-EN035,Official Judge Token TKN4 EN035,https://tcgplayer-cdn.tcgplayer.com/product/209926_200w.jpg,2,2149,https://cpt.tcgcsv.com/x-H2,2021-07-23T20:19:18.807,1,TKN4-EN035,Super Rare,Token,This card can be used as any Token.,37.5,37.5,37.5,,,Unlimited
209927,Official Judge Token: TKN4-EN036,Official Judge Token TKN4 EN036,https://tcgplayer-cdn.tcgplayer.com/product/209927_200w.jpg,2,2149,https://cpt.tcgcsv.com/z-H2,2021-07-23T20:19:26.08,1,TKN4-EN036,Super Rare,Token,This card can be used as any Token.,28.78,34.79,39.95,31.4,,Unlimited
257494,Official Judge Field Center Token: Black Rose Dragon,Official Judge Field Center Token Black Rose Dragon,https://tcgplayer-cdn.tcgplayer.com/product/257494_200w.jpg,2,2149,https://cpt.tcgcsv.com/V_33,2021-12-14T19:18:36.223,1,,Promo,Field Center,,44.98,48.96,89.97,53.07,,Limited
653402,Official Judge Field Center Token: Diviner of the Herald,Official Judge Field Center Token Diviner of the Herald,https://tcgplayer-cdn.tcgplayer.com/product/653402_200w.jpg,2,2149,https://cpt.tcgcsv.com/3nf7,2025-09-11T15:10:57.453,1,,Promo,Field Center,,35.99,43.0,50.0,,,1st Edition
