productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extAttribute,extMonsterType,extCardType,extAttack,extDescription,extLinkRating,extLinkArrows,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extDefense
164870,Divine Punishment,Divine Punishment,https://tcgplayer-cdn.tcgplayer.com/product/164870_200w.jpg,2,2228,https://cpt.tcgcsv.com/qZk2,2023-05-31T18:40:54.95,1,OP07-EN010,Super Rare,TRAP,,Token,,"When a Spell/Trap Card or monster effect, is activated while ""The Sanctuary in the Sky"" is on the field: Negate the activation, and if you do, destroy it.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.73,1.54,5.0,0.97,,Unlimited,
164871,Paleozoic Dinomischus,Paleozoic Dinomischus,https://tcgplayer-cdn.tcgplayer.com/product/164871_200w.jpg,2,2228,https://cpt.tcgcsv.com/rZk2,2019-04-22T19:37:48.62,1,OP07-EN011,Super Rare,TRAP,,Normal Trap,,"Target 1 face-up card on the field; discard 1 card, and if you do, banish it. Once per Chain, when a Trap Card is activated while this card is in your Graveyard: Special Summon this card as a Normal Monster (Aqua-Type/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap Card.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.6,1.49,7.68,0.66,,Unlimited,
164872,Paleozoic Marrella,Paleozoic Marrella,https://tcgplayer-cdn.tcgplayer.com/product/164872_200w.jpg,2,2228,https://cpt.tcgcsv.com/sZk2,2019-04-22T19:39:49.193,1,OP07-EN012,Super Rare,TRAP,,Normal Trap,,"Send 1 Trap Card from your Deck to the Graveyard. Once per Chain, when a Trap Card is activated while this card is in your Graveyard: Special Summon this card as a Normal Monster (Aqua-Type/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap Card.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,3.83,5.0,15.0,4.72,3.83,Unlimited,
164873,Paleozoic Leanchoilia,Paleozoic Leanchoilia,https://tcgplayer-cdn.tcgplayer.com/product/164873_200w.jpg,2,2228,https://cpt.tcgcsv.com/tZk2,2019-04-22T19:37:59.633,1,OP07-EN013,Super Rare,TRAP,,Normal Trap,,"Target 1 banished card; return it to the Graveyard. Once per Chain, when a Trap Card is activated while this card is in your Graveyard: Special Summon this card as a Normal Monster (Aqua-Type/WATER/Level 2/ATK 1200/DEF 0). (This card is NOT treated as a Trap Card.) If Summoned this way, this card is unaffected by monster effects, also banish it when it leaves the field.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,1.95,2.95,6.49,2.23,2.23,Unlimited,
164874,Prickle Fairy,Prickle Fairy,https://tcgplayer-cdn.tcgplayer.com/product/164874_200w.jpg,2,2228,https://cpt.tcgcsv.com/vZk2,2019-04-22T19:38:42.823,1,OP07-EN014,Common,EARTH,Plant,Effect Monster,300,"While this card is face-up on your side of the field, your opponent cannot attack Insect-Type monsters. The battle position of a monster that battles with this card is changed to Defense Position at the end of the Damage Step.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.08,0.25,1.49,0.15,,Unlimited,2000
164875,Insect Princess,Insect Princess,https://tcgplayer-cdn.tcgplayer.com/product/164875_200w.jpg,2,2228,https://cpt.tcgcsv.com/wZk2,2019-04-22T19:38:52.02,1,OP07-EN015,Common,WIND,Insect,Effect Monster,1900,"While this card is face-up on the field, battle positions of all face-up Insect-Type monsters on your opponent's side of the field are changed into Attack Position. Each time this card destroys an Insect-Type monster as a result of battle, increase the ATK of this card by 500 points.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.1,0.25,1.45,0.17,0.2,Unlimited,1200
164876,"Zeradias, Herald of Heaven",Zeradias Herald of Heaven,https://tcgplayer-cdn.tcgplayer.com/product/164876_200w.jpg,2,2228,https://cpt.tcgcsv.com/xZk2,2019-04-22T19:39:25.067,1,OP07-EN016,Common,LIGHT,Fairy,Effect Monster,2100,"You can discard this card to the Graveyard to add 1 ""The Sanctuary in the Sky"" from your Deck to your hand. If ""The Sanctuary in the Sky"" is not face-up on the field, destroy this card.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.23,0.5,1.55,0.38,,Unlimited,800
164877,Rare Value,Rare Value,https://tcgplayer-cdn.tcgplayer.com/product/164877_200w.jpg,2,2228,https://cpt.tcgcsv.com/zZk2,2025-05-15T19:32:37.41,1,OP07-EN018,Common,WIND,,Normal Spell,,"If there are 2 or more face-up ""Crystal Beast"" cards in your Spell & Trap Card Zone: Your opponent chooses 1 ""Crystal Beast"" card in your Spell & Trap Card Zone and sends it to the Graveyard, then you draw 2 cards.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.05,0.25,1.38,0.16,,Unlimited,
164878,Zombie World,Zombie World,https://tcgplayer-cdn.tcgplayer.com/product/164878_200w.jpg,2,2228,https://cpt.tcgcsv.com/BZk2,2023-10-03T10:16:08.773,1,OP07-EN019,Common,SPELL,,Field Spell,,"All monsters on the field and in every Graveyard become Zombie-Type monsters. Neither player can Tribute Summon monsters, except Zombie-Type monsters.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.24,0.95,4.99,1.05,,Unlimited,
164879,Spell Power Grasp,Spell Power Grasp,https://tcgplayer-cdn.tcgplayer.com/product/164879_200w.jpg,2,2228,https://cpt.tcgcsv.com/CZk2,2019-04-22T19:39:09.637,1,OP07-EN020,Common,SPELL,,Normal Spell,,"Target 1 face-up card on the field that you can place a Spell Counter on; place 1 Spell Counter on that target, then you can add 1 ""Spell Power Grasp"" from your Deck to your hand. You can only activate 1 ""Spell Power Grasp"" per turn.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.05,0.29,1.49,0.19,0.11,Unlimited,
164881,Wavering Eyes,Wavering Eyes,https://tcgplayer-cdn.tcgplayer.com/product/164881_200w.jpg,2,2228,https://cpt.tcgcsv.com/FZk2,2019-04-22T19:39:16.36,1,OP07-EN021,Common,SPELL,,Quick-Play Spell,,"Destroy as many cards in each player's Pendulum Zones as possible, then apply these effects, in sequence, depending on the number of cards destroyed by this effect.
<br>• 1 or more: Inflict 500 damage to your opponent.
<br>• 2 or more: You can add 1 Pendulum Monster from your Main Deck to your hand.
<br>• 3 or more: You can banish 1 card on the field.
<br>• 4: You can add 1 ""Wavering Eyes"" from your Deck to your hand.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.06,0.25,1.55,0.21,,Unlimited,
164885,Pitch-Black Power Stone,Pitch Black Power Stone,https://tcgplayer-cdn.tcgplayer.com/product/164885_200w.jpg,2,2228,https://cpt.tcgcsv.com/KZk2,2025-05-15T19:32:37.457,1,OP07-EN022,Common,TRAP,,Continuous Trap,,"Activate this card by placing 3 Spell Counters on this card. Once per turn, during your turn: You can target 1 other face-up card on the field that you can place a Spell Counter on; remove 1 Spell Counter from this card, and if you do, place 1 Spell Counter on that target. When the last Spell Counter(s) is removed from this card, destroy it.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.1,0.25,1.45,0.13,,Unlimited,
164886,Token Feastevil,Token Feastevil,https://tcgplayer-cdn.tcgplayer.com/product/164886_200w.jpg,2,2228,https://cpt.tcgcsv.com/LZk2,2025-06-12T15:11:20.927,1,OP07-EN023,Common,TRAP,,Normal Trap,,"Activate only when a Token(s) is Special Summoned. Destroy all Tokens on the field, and inflict 300 damage to your opponent for each destroyed Token.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.09,0.25,1.42,0.12,0.11,Unlimited,
164888,Lucky Chance,Lucky Chance,https://tcgplayer-cdn.tcgplayer.com/product/164888_200w.jpg,2,2228,https://cpt.tcgcsv.com/NZk2,2019-04-22T19:37:35.957,1,OP07-EN024,Common,TRAP,,Continuous Trap,,"When an Effect Monster's effect that requires only 1 coin toss is activated, call Heads or Tails. If you call it right, draw 1 card.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.05,0.25,1.51,0.23,0.11,Unlimited,
164889,Blowback Dragon,Blowback Dragon,https://tcgplayer-cdn.tcgplayer.com/product/164889_200w.jpg,2,2228,https://cpt.tcgcsv.com/PZk2,2019-04-22T19:36:26.777,1,OP07-EN025,Common,DARK,Machine,Effect Monster,2300,"Once per turn: You can target 1 card your opponent controls; toss a coin 3 times, and destroy that target if at least 2 of the results are Heads.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,0.85,1.54,2.99,0.87,,Unlimited,1200
164891,Gatling Dragon,Gatling Dragon,https://tcgplayer-cdn.tcgplayer.com/product/164891_200w.jpg,2,2228,https://cpt.tcgcsv.com/RZk2,2019-04-22T19:38:26.203,1,OP07-EN026,Common,DARK,Machine,Fusion/Effect Monster,2600,"""Barrel Dragon"" + ""Blowback Dragon""
<br>Once per turn: You can toss a coin 3 times and destroy as many monsters on the field as possible, but not more than the number of Heads.
<br><br><strong>Official Tournament Stores must review their Konami OTS agreement before selling this product.</strong>",,,25.01,28.59,33.55,23.53,,Unlimited,1200
