productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extAttribute,extCardType,extAttack,extDefense,extDescription,extMonsterType
96078,Yosenjus' Secret Move,Yosenjus Secret Move,https://tcgplayer-cdn.tcgplayer.com/product/96078_200w.jpg,2,1513,https://cpt.tcgcsv.com/BrN,2015-10-08T18:25:32.147,1,0.06,0.29,1.41,0.12,,Unlimited,THSF-EN009,Super Rare,TRAP,Normal Trap,0,0,"When a Spell/Trap Card, or monster effect, is activated while you control at least 1 ""Yosenju"" card, and all face-up monsters you control are ""Yosenju"" monsters: Negate the activation, and if you do, destroy that card.",
96078,Yosenjus' Secret Move,Yosenjus Secret Move,https://tcgplayer-cdn.tcgplayer.com/product/96078_200w.jpg,2,1513,https://cpt.tcgcsv.com/BrN,2015-10-08T18:25:32.147,1,0.09,0.3,1.99,0.15,,1st Edition,THSF-EN009,Super Rare,TRAP,Normal Trap,0,0,"When a Spell/Trap Card, or monster effect, is activated while you control at least 1 ""Yosenju"" card, and all face-up monsters you control are ""Yosenju"" monsters: Negate the activation, and if you do, destroy that card.",
96079,"Shurit, Strategist of the Nekroz",Shurit Strategist of the Nekroz,https://tcgplayer-cdn.tcgplayer.com/product/96079_200w.jpg,2,1513,https://cpt.tcgcsv.com/CrN,2015-10-08T18:21:57.873,1,0.13,0.49,2.0,0.45,,Unlimited,THSF-EN010,Super Rare,WATER,Effect Monster,300,1800,"If you Ritual Summon exactly 1 ""Nekroz"" Ritual Monster with a card effect that requires use of monsters, this card can be used as the entire requirement. If this card is Tributed by a card effect: You can add 1 Warrior-Type ""Nekroz"" Ritual Monster from your Deck to your hand. You can only use this effect of ""Shurit, Strategist of the Nekroz"" once per turn.",Warrior
96079,"Shurit, Strategist of the Nekroz",Shurit Strategist of the Nekroz,https://tcgplayer-cdn.tcgplayer.com/product/96079_200w.jpg,2,1513,https://cpt.tcgcsv.com/CrN,2015-10-08T18:21:57.873,1,0.15,0.43,2.69,0.32,,1st Edition,THSF-EN010,Super Rare,WATER,Effect Monster,300,1800,"If you Ritual Summon exactly 1 ""Nekroz"" Ritual Monster with a card effect that requires use of monsters, this card can be used as the entire requirement. If this card is Tributed by a card effect: You can add 1 Warrior-Type ""Nekroz"" Ritual Monster from your Deck to your hand. You can only use this effect of ""Shurit, Strategist of the Nekroz"" once per turn.",Warrior
96080,Great Sorcerer of the Nekroz,Great Sorcerer of the Nekroz,https://tcgplayer-cdn.tcgplayer.com/product/96080_200w.jpg,2,1513,https://cpt.tcgcsv.com/DrN,2015-10-08T18:13:19.323,1,0.1,0.49,1.64,0.35,,Unlimited,THSF-EN011,Super Rare,WATER,Effect Monster,1500,800,"If this card is Tributed by a card effect: You can add 1 Spellcaster-Type ""Nekroz"" Ritual Monster from your Deck to your hand. If this card is banished: You can send 1 ""Nekroz"" monster from your Deck to the Graveyard, except ""Great Sorcerer of the Nekroz"". You can only use 1 ""Great Sorcerer of the Nekroz"" effect per turn, and only once that turn.",Spellcaster
96080,Great Sorcerer of the Nekroz,Great Sorcerer of the Nekroz,https://tcgplayer-cdn.tcgplayer.com/product/96080_200w.jpg,2,1513,https://cpt.tcgcsv.com/DrN,2015-10-08T18:13:19.323,1,0.15,0.49,1.56,0.45,,1st Edition,THSF-EN011,Super Rare,WATER,Effect Monster,1500,800,"If this card is Tributed by a card effect: You can add 1 Spellcaster-Type ""Nekroz"" Ritual Monster from your Deck to your hand. If this card is banished: You can send 1 ""Nekroz"" monster from your Deck to the Graveyard, except ""Great Sorcerer of the Nekroz"". You can only use 1 ""Great Sorcerer of the Nekroz"" effect per turn, and only once that turn.",Spellcaster
96081,"Exa, Enforcer of the Nekroz",Exa Enforcer of the Nekroz,https://tcgplayer-cdn.tcgplayer.com/product/96081_200w.jpg,2,1513,https://cpt.tcgcsv.com/FrN,2015-10-08T18:11:33.72,1,0.25,0.41,1.98,0.41,,Unlimited,THSF-EN012,Super Rare,WATER,Effect Monster,2000,1000,"If this card is Tributed by a card effect: You can add 1 Dragon-Type ""Nekroz"" Ritual Monster from your Deck to your hand. If this card is banished: You can target 1 of your banished ""Nekroz"" monsters, except this card; Special Summon that monster. You can only use 1 ""Exa, Enforcer of the Nekroz"" effect per turn, and only once that turn.",Dragon
96081,"Exa, Enforcer of the Nekroz",Exa Enforcer of the Nekroz,https://tcgplayer-cdn.tcgplayer.com/product/96081_200w.jpg,2,1513,https://cpt.tcgcsv.com/FrN,2015-10-08T18:11:33.72,1,0.13,0.43,1.95,0.41,,1st Edition,THSF-EN012,Super Rare,WATER,Effect Monster,2000,1000,"If this card is Tributed by a card effect: You can add 1 Dragon-Type ""Nekroz"" Ritual Monster from your Deck to your hand. If this card is banished: You can target 1 of your banished ""Nekroz"" monsters, except this card; Special Summon that monster. You can only use 1 ""Exa, Enforcer of the Nekroz"" effect per turn, and only once that turn.",Dragon
96082,Nekroz of Clausolas,Nekroz of Clausolas,https://tcgplayer-cdn.tcgplayer.com/product/96082_200w.jpg,2,1513,https://cpt.tcgcsv.com/GrN,2015-10-08T18:16:45.62,1,0.22,0.99,3.0,0.97,,Unlimited,THSF-EN013,Secret Rare,WATER,Ritual/Effect Monster,1200,2300,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Clausolas"" once per turn.
<br><b>-</b> You can discard this card; add 1 ""Nekroz"" Spell/Trap Card from your Deck to your hand.
<br><b>-</b> During either player's turn: You can target 1 face-up monster on the field that was Special Summoned from the Extra Deck; until the end of this turn, that target's ATK becomes 0, also that target's effects are negated.",Warrior
96082,Nekroz of Clausolas,Nekroz of Clausolas,https://tcgplayer-cdn.tcgplayer.com/product/96082_200w.jpg,2,1513,https://cpt.tcgcsv.com/GrN,2015-10-08T18:16:45.62,1,0.2,0.99,6.99,0.56,,1st Edition,THSF-EN013,Secret Rare,WATER,Ritual/Effect Monster,1200,2300,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Clausolas"" once per turn.
<br><b>-</b> You can discard this card; add 1 ""Nekroz"" Spell/Trap Card from your Deck to your hand.
<br><b>-</b> During either player's turn: You can target 1 face-up monster on the field that was Special Summoned from the Extra Deck; until the end of this turn, that target's ATK becomes 0, also that target's effects are negated.",Warrior
96083,Nekroz of Brionac,Nekroz of Brionac,https://tcgplayer-cdn.tcgplayer.com/product/96083_200w.jpg,2,1513,https://cpt.tcgcsv.com/HrN,2015-10-08T18:16:16.557,1,14.27,15.95,83.99,16.22,,Unlimited,THSF-EN014,Secret Rare,WATER,Ritual/Effect Monster,2300,1400,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using ""Nekroz of Brionac"", and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Brionac"" once per turn.
<br><b>-</b> You can discard this card; add 1 ""Nekroz"" monster from your Deck to your hand, except ""Nekroz of Brionac"".
<br><b>-</b> You can target up to 2 face-up monsters on the field that were Special Summoned from the Extra Deck; shuffle them into the Deck.",Warrior
96083,Nekroz of Brionac,Nekroz of Brionac,https://tcgplayer-cdn.tcgplayer.com/product/96083_200w.jpg,2,1513,https://cpt.tcgcsv.com/HrN,2015-10-08T18:16:16.557,1,16.94,19.41,99.69,20.64,,1st Edition,THSF-EN014,Secret Rare,WATER,Ritual/Effect Monster,2300,1400,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using ""Nekroz of Brionac"", and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Brionac"" once per turn.
<br><b>-</b> You can discard this card; add 1 ""Nekroz"" monster from your Deck to your hand, except ""Nekroz of Brionac"".
<br><b>-</b> You can target up to 2 face-up monsters on the field that were Special Summoned from the Extra Deck; shuffle them into the Deck.",Warrior
96084,Nekroz of Trishula,Nekroz of Trishula,https://tcgplayer-cdn.tcgplayer.com/product/96084_200w.jpg,2,1513,https://cpt.tcgcsv.com/JrN,2022-07-18T13:57:00.437,1,2.25,3.33,33.0,3.0,,Unlimited,THSF-EN015,Secret Rare,WATER,Ritual/Effect Monster,2700,2000,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using any Level 9 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Trishula"" once per turn.
<br><b>-</b> During either player's turn, when a card or effect is activated that targets a ""Nekroz"" monster(s) you control: You can discard this card; negate the activation.
<br><b>-</b>When this card is Ritual Summoned, you can: Banish exactly 3 of your opponent's cards, 1 each from their hand, field and Graveyard. (The card in the hand is chosen at random.)",Warrior
96084,Nekroz of Trishula,Nekroz of Trishula,https://tcgplayer-cdn.tcgplayer.com/product/96084_200w.jpg,2,1513,https://cpt.tcgcsv.com/JrN,2022-07-18T13:57:00.437,1,3.99,5.0,15.94,4.64,,1st Edition,THSF-EN015,Secret Rare,WATER,Ritual/Effect Monster,2700,2000,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using any Level 9 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Trishula"" once per turn.
<br><b>-</b> During either player's turn, when a card or effect is activated that targets a ""Nekroz"" monster(s) you control: You can discard this card; negate the activation.
<br><b>-</b>When this card is Ritual Summoned, you can: Banish exactly 3 of your opponent's cards, 1 each from their hand, field and Graveyard. (The card in the hand is chosen at random.)",Warrior
96085,Nekroz of Unicore,Nekroz of Unicore,https://tcgplayer-cdn.tcgplayer.com/product/96085_200w.jpg,2,1513,https://cpt.tcgcsv.com/KrN,2015-10-08T18:17:28.967,1,0.45,1.0,11.94,0.77,,Unlimited,THSF-EN016,Secret Rare,WATER,Ritual/Effect Monster,2300,1000,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, and cannot be Special Summoned by other ways. You can discard this card, then target 1 ""Nekroz"" card in your Graveyard, except ""Nekroz of Unicore""; add it to your hand. You can only use this effect of ""Nekroz of Unicore"" once per turn. Negate the effects of all face-up monsters on the field that were Special Summoned from the Extra Deck.",Spellcaster
96085,Nekroz of Unicore,Nekroz of Unicore,https://tcgplayer-cdn.tcgplayer.com/product/96085_200w.jpg,2,1513,https://cpt.tcgcsv.com/KrN,2015-10-08T18:17:28.967,1,0.55,1.55,29.98,0.92,,1st Edition,THSF-EN016,Secret Rare,WATER,Ritual/Effect Monster,2300,1000,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, and cannot be Special Summoned by other ways. You can discard this card, then target 1 ""Nekroz"" card in your Graveyard, except ""Nekroz of Unicore""; add it to your hand. You can only use this effect of ""Nekroz of Unicore"" once per turn. Negate the effects of all face-up monsters on the field that were Special Summoned from the Extra Deck.",Spellcaster
96086,Nekroz of Valkyrus,Nekroz of Valkyrus,https://tcgplayer-cdn.tcgplayer.com/product/96086_200w.jpg,2,1513,https://cpt.tcgcsv.com/LrN,2015-10-08T18:17:47.787,1,4.0,12.27,30.0,4.55,,Unlimited,THSF-EN017,Secret Rare,WATER,Ritual/Effect Monster,2900,1700,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, without using any Level 8 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Valkyrus"" once per turn.
<br><b>-</b> When an opponent's monster declares an attack: You can banish 1 ""Nekroz"" card from your Graveyard, then discard this card; negate that attack, then end the Battle Phase.
<br><b>-</b> During your Main Phase: You can Tribute up to 2 monsters from your hand and/or your side of the field, and if you do, draw 1 card for each card Tributed.",Spellcaster
96086,Nekroz of Valkyrus,Nekroz of Valkyrus,https://tcgplayer-cdn.tcgplayer.com/product/96086_200w.jpg,2,1513,https://cpt.tcgcsv.com/LrN,2015-10-08T18:17:47.787,1,5.05,8.16,50.0,7.25,7.97,1st Edition,THSF-EN017,Secret Rare,WATER,Ritual/Effect Monster,2900,1700,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, without using any Level 8 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Valkyrus"" once per turn.
<br><b>-</b> When an opponent's monster declares an attack: You can banish 1 ""Nekroz"" card from your Graveyard, then discard this card; negate that attack, then end the Battle Phase.
<br><b>-</b> During your Main Phase: You can Tribute up to 2 monsters from your hand and/or your side of the field, and if you do, draw 1 card for each card Tributed.",Spellcaster
96087,Nekroz of Catastor,Nekroz of Catastor,https://tcgplayer-cdn.tcgplayer.com/product/96087_200w.jpg,2,1513,https://cpt.tcgcsv.com/MrN,2015-10-08T18:16:31.88,1,0.45,0.93,2.45,0.88,,Unlimited,THSF-EN018,Secret Rare,WATER,Ritual/Effect Monster,2200,1200,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using ""Nekroz of Catastor"", and cannot be Special Summoned by other ways. You can discard this card, then target 1 ""Nekroz"" monster in your Graveyard; Special Summon it. You can only use this effect of ""Nekroz of Catastor"" once per turn. At the start of the Damage Step, if a ""Nekroz"" monster you control battles a face-up monster your opponent controls that was Special Summoned from the Extra Deck: Destroy that monster.",Dragon
96087,Nekroz of Catastor,Nekroz of Catastor,https://tcgplayer-cdn.tcgplayer.com/product/96087_200w.jpg,2,1513,https://cpt.tcgcsv.com/MrN,2015-10-08T18:16:31.88,1,0.5,1.04,4.99,0.8,,1st Edition,THSF-EN018,Secret Rare,WATER,Ritual/Effect Monster,2200,1200,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned without using ""Nekroz of Catastor"", and cannot be Special Summoned by other ways. You can discard this card, then target 1 ""Nekroz"" monster in your Graveyard; Special Summon it. You can only use this effect of ""Nekroz of Catastor"" once per turn. At the start of the Damage Step, if a ""Nekroz"" monster you control battles a face-up monster your opponent controls that was Special Summoned from the Extra Deck: Destroy that monster.",Dragon
96088,Nekroz of Decisive Armor,Nekroz of Decisive Armor,https://tcgplayer-cdn.tcgplayer.com/product/96088_200w.jpg,2,1513,https://cpt.tcgcsv.com/NrN,2015-10-08T18:16:58.84,1,0.15,0.75,5.0,0.55,,Unlimited,THSF-EN019,Secret Rare,WATER,Ritual/Effect Monster,3300,2300,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, without using any Level 10 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Decisive Armor"" once per turn.
<br><b>-</b> During either player's turn: You can discard this card, then target 1 ""Nekroz"" monster you control; it gains 1000 ATK and DEF until the end of this turn.
<br><b>-</b> You can target 1 Set card your opponent controls; destroy it, and if you do, banish it.",Dragon
96088,Nekroz of Decisive Armor,Nekroz of Decisive Armor,https://tcgplayer-cdn.tcgplayer.com/product/96088_200w.jpg,2,1513,https://cpt.tcgcsv.com/NrN,2015-10-08T18:16:58.84,1,0.15,0.7,5.0,0.38,,1st Edition,THSF-EN019,Secret Rare,WATER,Ritual/Effect Monster,3300,2300,"You can Ritual Summon this card with any ""Nekroz"" Ritual Spell Card. Must be Ritual Summoned, without using any Level 10 monsters, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Nekroz of Decisive Armor"" once per turn.
<br><b>-</b> During either player's turn: You can discard this card, then target 1 ""Nekroz"" monster you control; it gains 1000 ATK and DEF until the end of this turn.
<br><b>-</b> You can target 1 Set card your opponent controls; destroy it, and if you do, banish it.",Dragon
96089,Nekroz Mirror,Nekroz Mirror,https://tcgplayer-cdn.tcgplayer.com/product/96089_200w.jpg,2,1513,https://cpt.tcgcsv.com/PrN,2015-10-08T18:16:01.653,1,0.25,0.63,10.0,0.5,,Unlimited,THSF-EN020,Secret Rare,SPELL,Normal Spell,,,"This card can be used to Ritual Summon any ""Nekroz"" Ritual Monster. Tribute monsters from your hand or field, and/or banish ""Nekroz"" monsters from your Graveyard, then Ritual Summon 1 ""Nekroz"" Ritual Monster from your hand whose Level exactly equals the total Levels of those monsters. You can only use this effect of ""Nekroz Mirror"" once per turn. If you control no monsters: You can banish this card and 1 ""Nekroz"" monster from your Graveyard; add 1 ""Nekroz"" Spell Card from your Deck to your hand.",
