productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute
600723,Sanji (028),Sanji 028,https://tcgplayer-cdn.tcgplayer.com/product/600723_200w.jpg,68,23590,https://cpt.tcgcsv.com/tjQ6,2025-01-16T19:20:48.75,1,0.1,0.39,3.46,0.27,,Normal,C,OP09-028,"[On K.O.] <strong>You may add 1 card from the top or bottom of your Life cards to your hand</strong>: Play up to 1 ""ODYSSEY"" or ""Straw Hat Crew"" type Character card with a cost of 4 or less from your trash rested.",Green,Character,5,6000,Straw Hat Crew;ODYSSEY,1000,Strike
600724,Tony Tony.Chopper,Tony TonyChopper,https://tcgplayer-cdn.tcgplayer.com/product/600724_200w.jpg,68,23590,https://cpt.tcgcsv.com/vjQ6,2025-01-16T19:20:59.143,1,1.0,1.25,11.27,1.54,,Normal,C,OP09-029,"[End of Your Turn] Set up to 1 of your ""ODYSSEY"" type Characters with a cost of 4 or less as active.",Green,Character,3,4000,Animal;Straw Hat Crew;ODYSSEY,1000,Strike
600725,Nico Robin (033),Nico Robin 033,https://tcgplayer-cdn.tcgplayer.com/product/600725_200w.jpg,68,23590,https://cpt.tcgcsv.com/wjQ6,2025-01-16T19:21:43.36,1,1.7,3.19,13.73,2.15,,Normal,C,OP09-033,"[On Play] If you have 2 or more rested Characters, none of your ""ODYSSEY"" or ""Straw Hat Crew"" type Characters can be K.O.'d by effects until the end of your opponent's next turn.",Green,Character,4,5000,Straw Hat Crew;ODYSSEY,1000,Strike
600726,Monkey.D.Luffy (036),MonkeyDLuffy 036,https://tcgplayer-cdn.tcgplayer.com/product/600726_200w.jpg,68,23590,https://cpt.tcgcsv.com/xjQ6,2025-01-16T19:22:04.23,1,0.4,0.68,7.47,0.6,,Normal,C,OP09-036,"[On Play] If you have 2 or more rested Characters, rest up to 1 of your opponent's DON!! cards or Characters with a cost of 6 or less.",Green,Character,5,6000,Straw Hat Crew;Supernovas;ODYSSEY,1000,Strike
600727,Rob Lucci (038),Rob Lucci 038,https://tcgplayer-cdn.tcgplayer.com/product/600727_200w.jpg,68,23590,https://cpt.tcgcsv.com/zjQ6,2025-01-16T19:22:14.853,1,0.1,0.31,3.72,0.31,,Normal,C,OP09-038,,Green,Character,4,6000,CP9;ODYSSEY,1000,Strike
600728,Soul Franky Swing Arm Boxing Solid,Soul Franky Swing Arm Boxing Solid,https://tcgplayer-cdn.tcgplayer.com/product/600728_200w.jpg,68,23590,https://cpt.tcgcsv.com/BjQ6,2025-01-16T19:22:33.94,1,0.2,0.4,1.98,0.35,,Normal,C,OP09-041,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if your Leader has the ""ODYSSEY"" type and you have 2 or more rested Characters, set up to 2 of your Characters as active.<br>
[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",Green,Event,1,,Straw Hat Crew;ODYSSEY,,
600729,Kouzuki Oden,Kouzuki Oden,https://tcgplayer-cdn.tcgplayer.com/product/600729_200w.jpg,68,23590,https://cpt.tcgcsv.com/CjQ6,2025-01-16T19:23:34.227,1,0.2,0.5,3.0,0.35,,Normal,C,OP09-047,"[Double Attack] <em>(This card deals 2 damage.)</em><br>
[On K.O.] Draw 2 cards and trash 1 card from your hand.",Blue,Character,9,10000,Land of Wano;Whitebeard Pirates,,Slash
600730,Jozu,Jozu,https://tcgplayer-cdn.tcgplayer.com/product/600730_200w.jpg,68,23590,https://cpt.tcgcsv.com/DjQ6,2025-01-16T19:23:43.73,1,0.1,0.35,4.0,0.21,,Normal,C,OP09-049,,Blue,Character,4,6000,Whitebeard Pirates,1000,Strike
600731,Marco,Marco,https://tcgplayer-cdn.tcgplayer.com/product/600731_200w.jpg,68,23590,https://cpt.tcgcsv.com/FjQ6,2025-01-16T19:23:55.143,1,0.1,0.28,5.0,0.2,,Normal,C,OP09-052,"[Opponent's Turn] <strong>You may trash 1 card from your hand:</strong> When this Character is K.O.'d by your opponent's effect, play this Character card from your trash rested.",Blue,Character,3,5000,Whitebeard Pirates,,Special
600732,Richie,Richie,https://tcgplayer-cdn.tcgplayer.com/product/600732_200w.jpg,68,23590,https://cpt.tcgcsv.com/GjQ6,2025-01-16T19:24:27.617,1,0.5,1.0,2.68,0.7,,Normal,C,OP09-054,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Blue,Character,2,2000,Animal;Cross Guild,1000,Strike
600733,Mr.1(Daz.Bonez),Mr1DazBonez,https://tcgplayer-cdn.tcgplayer.com/product/600733_200w.jpg,68,23590,https://cpt.tcgcsv.com/HjQ6,2025-01-16T19:24:39.693,1,0.6,0.84,2.25,0.96,,Normal,C,OP09-055,,Blue,Character,5,7000,Former Baroque Works;Cross Guild,1000,Slash
600734,Special Muggy Ball,Special Muggy Ball,https://tcgplayer-cdn.tcgplayer.com/product/600734_200w.jpg,68,23590,https://cpt.tcgcsv.com/JjQ6,2025-01-16T19:24:50.807,1,0.3,0.5,4.01,0.38,,Normal,C,OP09-058,"[Main] Your opponent chooses 1 of their Character with a cost of 6 or less and return to the owner's hand.<br>
[Trigger] Return up to 1 Character with a cost of 3 or less to the owner's hand.",Blue,Event,2,,Buggy Pirates,,
600735,Emptee Bluffs Island,Emptee Bluffs Island,https://tcgplayer-cdn.tcgplayer.com/product/600735_200w.jpg,68,23590,https://cpt.tcgcsv.com/KjQ6,2025-01-16T19:25:21.657,1,1.28,2.0,4.1,2.34,,Normal,C,OP09-060,"[Activate: Main] <strong>You may place 2 cards from your hand at the bottom of your deck in any order and rest this Stage</strong>: If your Leader has the ""Cross Guild"" type, draw 2 cards.",Blue,Stage,1,,Cross Guild,,
600736,Usopp (063),Usopp 063,https://tcgplayer-cdn.tcgplayer.com/product/600736_200w.jpg,68,23590,https://cpt.tcgcsv.com/LjQ6,2025-01-16T19:25:31.887,1,0.18,0.51,2.5,0.51,,Normal,C,OP09-063,,Purple,Character,4,6000,Straw Hat Crew,1000,Ranged
600737,Jinbe,Jinbe,https://tcgplayer-cdn.tcgplayer.com/product/600737_200w.jpg,68,23590,https://cpt.tcgcsv.com/MjQ6,2025-01-16T19:26:00.57,1,0.09,0.34,7.0,0.26,,Normal,C,OP09-067,,Purple,Character,7,9000,Fish-Man;Straw Hat Crew,1000,Strike
600738,Nico Robin (071),Nico Robin 071,https://tcgplayer-cdn.tcgplayer.com/product/600738_200w.jpg,68,23590,https://cpt.tcgcsv.com/NjQ6,2025-01-16T19:26:44.86,1,3.56,5.19,10.99,3.81,,Normal,C,OP09-071,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Purple,Character,2,2000,Straw Hat Crew,1000,Strike
600739,Brook (073),Brook 073,https://tcgplayer-cdn.tcgplayer.com/product/600739_200w.jpg,68,23590,https://cpt.tcgcsv.com/PjQ6,2025-01-16T19:26:54.39,1,1.25,2.2,12.99,2.2,,Normal,C,OP09-073,[When Attacking] <strong>You may return 1 or more DON!! cards from your field to your DON!! deck</strong>: Give up to 2 of your opponent's Characters 2000 power during this turn.,Purple,Character,6,7000,Straw Hat Crew,1000,Slash
600740,Bepo,Bepo,https://tcgplayer-cdn.tcgplayer.com/product/600740_200w.jpg,68,23590,https://cpt.tcgcsv.com/QjQ6,2025-01-16T19:27:05.013,1,0.41,0.75,5.99,0.74,,Normal,C,OP09-074,"[Your Turn] [Once Per Turn] When a DON!! card on your field is returned to your DON!! deck, up to 1 of your Leader or Character cards gains +1000 power during this turn.",Purple,Character,2,2000,Heart Pirates;Minks,2000,Strike
600741,Gum-Gum Jump Rope,Gum Gum Jump Rope,https://tcgplayer-cdn.tcgplayer.com/product/600741_200w.jpg,68,23590,https://cpt.tcgcsv.com/RjQ6,2025-01-16T19:27:40.38,1,0.18,0.4,6.99,0.37,,Normal,C,OP09-079,"[Main] <strong>DON!! 2 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em></strong>: Rest up to 1 of your opponent's Characters with a cost of 5 or less. Then, draw 1 card.<br>
[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.",Purple,Event,2,,Straw Hat Crew;The Four Emperors,,
600742,Thousand Sunny,Thousand Sunny,https://tcgplayer-cdn.tcgplayer.com/product/600742_200w.jpg,68,23590,https://cpt.tcgcsv.com/SjQ6,2025-01-16T19:27:50.553,1,0.17,0.45,3.0,0.37,,Normal,C,OP09-080,"[Opponent's Turn] <strong>You may rest this Stage</strong>: When your ""Straw Hat Crew"" type Character is removed from the field by your opponent's effect, add up to 1 DON!! card from your DON!! deck and rest it.",Purple,Stage,1,,Straw Hat Crew,,
600743,Avalo Pizarro,Avalo Pizarro,https://tcgplayer-cdn.tcgplayer.com/product/600743_200w.jpg,68,23590,https://cpt.tcgcsv.com/TjQ6,2025-01-16T19:28:00.7,1,0.04,0.33,5.99,0.21,,Normal,C,OP09-082,,Black,Character,4,6000,Blackbeard Pirates,1000,Special
600744,Gecko Moria,Gecko Moria,https://tcgplayer-cdn.tcgplayer.com/product/600744_200w.jpg,68,23590,https://cpt.tcgcsv.com/VjQ6,2025-01-16T19:28:28.63,1,0.18,0.36,3.0,0.38,,Normal,C,OP09-085,"[On Play] Play up to 1 ""Thriller Bark Pirates"" type Character card with a cost of 2 or less from your trash rested.",Black,Character,4,5000,Thriller Bark Pirates,,Special
600745,Charlotte Pudding,Charlotte Pudding,https://tcgplayer-cdn.tcgplayer.com/product/600745_200w.jpg,68,23590,https://cpt.tcgcsv.com/WjQ6,2025-01-16T19:28:38.827,1,0.4,0.87,4.98,0.52,,Normal,C,OP09-087,"[On Play] If your opponent has 5 or more cards in their hand, your opponent trashes 1 card from their hand.",Black,Character,2,,Big Mom Pirates,1000,Wisdom
600746,Vasco Shot,Vasco Shot,https://tcgplayer-cdn.tcgplayer.com/product/600746_200w.jpg,68,23590,https://cpt.tcgcsv.com/XjQ6,2025-01-16T19:29:24.563,1,1.0,1.5,12.0,1.5,,Normal,C,OP09-091,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Black,Character,2,2000,Blackbeard Pirates,1000,Special
600747,Marshall.D.Teach (092),MarshallDTeach 092,https://tcgplayer-cdn.tcgplayer.com/product/600747_200w.jpg,68,23590,https://cpt.tcgcsv.com/ZjQ6,2025-01-16T19:29:46.117,1,0.24,0.45,8.97,0.36,,Normal,C,OP09-092,"[Activate: Main] <strong>You may rest this Character:</strong> If the number of cards in your hand is at least 3 less than the number in your opponent's hand, draw 2 cards and trash 1 card from your hand.",Black,Character,3,4000,Whitebeard Pirates,1000,Slash
600748,Peachbeard,Peachbeard,https://tcgplayer-cdn.tcgplayer.com/product/600748_200w.jpg,68,23590,https://cpt.tcgcsv.com/-jQ6,2025-01-16T19:29:55.873,1,0.09,0.35,1.41,0.22,,Normal,C,OP09-094,,Black,Character,3,5000,Peachbeard Pirates;Blackbeard Pirates Allies,1000,Slash
600749,Black Vortex,Black Vortex,https://tcgplayer-cdn.tcgplayer.com/product/600749_200w.jpg,68,23590,https://cpt.tcgcsv.com/_jQ6,2025-01-16T19:30:06.6,1,5.03,7.45,49.99,6.58,,Normal,C,OP09-097,"[Counter] Negate the effect of up to 1 of your opponent's Leader or Character cards and give that card 4000 power during this turn.<br>
[Trigger] Negate the effect of up to 1 of your opponent's Leader or Character cards during this turn.",Black,Event,2,,Blackbeard Pirates,,
600750,Fullalead,Fullalead,https://tcgplayer-cdn.tcgplayer.com/product/600750_200w.jpg,68,23590,https://cpt.tcgcsv.com/0kQ6,2025-01-16T19:31:38.19,1,2.61,3.99,13.48,2.71,,Normal,C,OP09-099,"[Activate: Main] <strong>You may trash 1 card from your hand and rest this Stage</strong>: Look at 3 cards from the top of your deck; reveal up to 1 ""Blackbeard Pirates"" type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Black,Stage,1,,Blackbeard Pirates,,
600751,Sanji (105),Sanji 105,https://tcgplayer-cdn.tcgplayer.com/product/600751_200w.jpg,68,23590,https://cpt.tcgcsv.com/2kQ6,2025-01-16T19:32:10.703,1,0.3,0.74,12.0,0.63,,Normal,C,OP09-105,"[Trigger] If your Leader has the ""Egghead"" type, add up to 1 card from the top of your deck to the top of your Life cards. Then, trash 2 cards from your hand.",Yellow,Character,5,6000,Straw Hat Crew;Egghead,1000,Strike
600752,Nico Olvia,Nico Olvia,https://tcgplayer-cdn.tcgplayer.com/product/600752_200w.jpg,68,23590,https://cpt.tcgcsv.com/3kQ6,2025-01-16T19:32:29.433,1,0.9,1.92,15.0,1.21,,Normal,C,OP09-106,"[On Play] Up to 1 of your [Nico Robin] Leader gains +3000 power during this turn.<br>
[Trigger] If your Leader is [Nico Robin], draw 3 cards and trash 2 cards from your hand.",Yellow,Character,1,,Ohara,2000,Wisdom
600753,Pierre,Pierre,https://tcgplayer-cdn.tcgplayer.com/product/600753_200w.jpg,68,23590,https://cpt.tcgcsv.com/5kQ6,2025-01-16T19:33:07.72,1,0.23,0.4,1.56,0.29,,Normal,C,OP09-110,"[On Play] Draw 2 cards and trash 2 cards from your hand.<br>
[Trigger] Play this card.",Yellow,Character,2,2000,Animal;Sky Island,1000,Strike
600754,Brook (111),Brook 111,https://tcgplayer-cdn.tcgplayer.com/product/600754_200w.jpg,68,23590,https://cpt.tcgcsv.com/6kQ6,2025-01-16T19:33:20.96,1,0.06,0.4,5.99,0.26,,Normal,C,OP09-111,"[Trigger] If your Leader has the ""Egghead"" type and your opponent has 6 or more cards in their hand, your opponent trashes 2 cards from their hand.",Yellow,Character,5,6000,Straw Hat Crew;Egghead,1000,Slash
600755,Belo Betty,Belo Betty,https://tcgplayer-cdn.tcgplayer.com/product/600755_200w.jpg,68,23590,https://cpt.tcgcsv.com/7kQ6,2025-01-16T19:33:32.243,1,0.4,0.98,5.99,0.76,,Normal,C,OP09-112,"[On Play] If you have 2 or less Life cards, draw 1 card.<br>
[Trigger] If your Leader has the ""Revolutionary Army"" type and you and your opponent have a total of 5 or less Life cards, play this card.",Yellow,Character,3,4000,Revolutionary Army,1000,Special
600756,Morley,Morley,https://tcgplayer-cdn.tcgplayer.com/product/600756_200w.jpg,68,23590,https://cpt.tcgcsv.com/8kQ6,2025-01-16T19:33:43.16,1,0.02,0.3,1.34,0.19,,Normal,C,OP09-113,,Yellow,Character,4,6000,Giant;Revolutionary Army,1000,Special
600757,Lindbergh,Lindbergh,https://tcgplayer-cdn.tcgplayer.com/product/600757_200w.jpg,68,23590,https://cpt.tcgcsv.com/9kQ6,2025-01-16T19:33:56.09,1,0.05,0.33,6.0,0.22,,Normal,C,OP09-114,"[On Play] If you and your opponent have a total of 5 or less Life cards, K.O. up to 1 of your opponent's Characters with 2000 power or less.<br>
[Trigger] If you and your opponent have a total of 5 or less Life cards, play this card.",Yellow,Character,3,4000,Minks;Revolutionary Army,1000,Special
600758,Never Underestimate the Power of Miracles!!,Never Underestimate the Power of Miracles,https://tcgplayer-cdn.tcgplayer.com/product/600758_200w.jpg,68,23590,https://cpt.tcgcsv.com/bkQ6,2025-01-16T19:34:26.863,1,0.2,0.39,5.0,0.38,,Normal,C,OP09-116,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle.<br>
[Trigger] Play up to 1 ""Revolutionary Army"" type Character card with a cost of 4 or less from your hand.",Yellow,Event,1,,Revolutionary Army,,
600759,Building Snake,Building Snake,https://tcgplayer-cdn.tcgplayer.com/product/600759_200w.jpg,68,23590,https://cpt.tcgcsv.com/ckQ6,2025-01-16T18:27:20.623,1,2.95,5.06,29.99,4.86,,Normal,UC,OP09-008,[Activate: Main] <strong>You may place this Character at the bottom of the owner's deck</strong>: Give up to 1 of your opponent's Characters 3000 power during this turn.,Red,Character,1,2000,Red-Haired Pirates,,Slash
600760,Hongo,Hongo,https://tcgplayer-cdn.tcgplayer.com/product/600760_200w.jpg,68,23590,https://cpt.tcgcsv.com/dkQ6,2025-01-16T18:27:40.48,1,1.3,2.31,7.5,2.15,,Normal,UC,OP09-011,"[Activate: Main] <strong>You may rest this Character</strong>: If your Leader has the ""Red-Haired Pirates"" type, give up to 1 of your opponent's Characters 2000 power during this turn.",Red,Character,3,3000,Red-Haired Pirates,2000,Strike
600761,Limejuice,Limejuice,https://tcgplayer-cdn.tcgplayer.com/product/600761_200w.jpg,68,23590,https://cpt.tcgcsv.com/fkQ6,2025-01-16T18:28:48.987,1,3.99,5.0,10.3,5.89,,Normal,UC,OP09-014,[On Play] Your opponent cannot activate up to 1 [Blocker] Character that has 4000 power or less during this turn.,Red,Character,3,3000,Red-Haired Pirates,2000,Special
600762,Wire,Wire,https://tcgplayer-cdn.tcgplayer.com/product/600762_200w.jpg,68,23590,https://cpt.tcgcsv.com/gkQ6,2025-01-16T18:36:27.37,1,0.3,0.59,1.99,0.42,,Normal,UC,OP09-017,"[DON!! x1] If your Leader has 7000 power or more and the ""Kid Pirates"" type, this Character gains [Rush].",Red,Character,4,4000,Kid Pirates,2000,Slash
600763,Get Out of Here!,Get Out of Here,https://tcgplayer-cdn.tcgplayer.com/product/600763_200w.jpg,68,23590,https://cpt.tcgcsv.com/hkQ6,2025-01-16T19:17:25.35,1,0.3,0.53,6.77,0.64,,Normal,UC,OP09-018,[Main] K.O. up to 2 of your opponent's Characters with a total power of 4000 or less.,Red,Event,3,,Red-Haired Pirates,,
600764,Crocodile (025),Crocodile 025,https://tcgplayer-cdn.tcgplayer.com/product/600764_200w.jpg,68,23590,https://cpt.tcgcsv.com/jkQ6,2025-01-16T19:18:04.333,1,0.49,0.88,2.5,0.59,,Normal,UC,OP09-025,"If your Leader has the ""ODYSSEY"" type, this Character cannot be K.O.'d in battle by Leaders.",Green,Character,4,5000,Baroque Works;The Seven Warlords of the Sea;ODYSSEY,1000,Special
600765,Sabo (027),Sabo 027,https://tcgplayer-cdn.tcgplayer.com/product/600765_200w.jpg,68,23590,https://cpt.tcgcsv.com/kkQ6,2025-01-16T19:20:39.113,1,3.6,5.17,6.5,5.43,,Normal,UC,OP09-027,"[When Attacking] [Once Per Turn] If you have 3 or more rested Characters, draw 1 card.",Green,Character,5,6000,Revolutionary Army;ODYSSEY,1000,Special
600766,Trafalgar Law,Trafalgar Law,https://tcgplayer-cdn.tcgplayer.com/product/600766_200w.jpg,68,23590,https://cpt.tcgcsv.com/lkQ6,2025-01-16T19:21:11.197,1,0.71,0.91,4.99,0.84,,Normal,UC,OP09-030,"[On Play] <strong>You may return 1 of your Characters to the owner's hand</strong>: Play up to 1 ""ODYSSEY"" type Character card with a cost of 3 or less other than [Trafalgar Law] from your hand.",Green,Character,3,4000,Heart Pirates;Supernovas;ODYSSEY,1000,Slash
600767,Donquixote Rosinante (032),Donquixote Rosinante 032,https://tcgplayer-cdn.tcgplayer.com/product/600767_200w.jpg,68,23590,https://cpt.tcgcsv.com/mkQ6,2025-01-16T19:21:32.207,1,3.37,4.59,9.95,4.7,,Normal,UC,OP09-032,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[On Your Opponent's Attack] [Once Per Turn] Set this Character as active.",Green,Character,3,4000,Donquixote Pirates;Navy;ODYSSEY,1000,Special
600768,Portgas.D.Ace,PortgasDAce,https://tcgplayer-cdn.tcgplayer.com/product/600768_200w.jpg,68,23590,https://cpt.tcgcsv.com/nkQ6,2025-01-16T19:21:53.313,1,2.24,4.14,29.01,3.86,,Normal,UC,OP09-035,"[On Play] If you have 2 or more rested Characters, rest up to 1 of your opponent's Characters with a cost of 5 or less.",Green,Character,5,5000,Whitebeard Pirates;ODYSSEY,2000,Special
600769,Thunder Lance Flip Caliber Phoenix Shot,Thunder Lance Flip Caliber Phoenix Shot,https://tcgplayer-cdn.tcgplayer.com/product/600769_200w.jpg,68,23590,https://cpt.tcgcsv.com/pkQ6,2025-01-16T19:22:24.553,1,0.4,1.0,9.99,0.95,,Normal,UC,OP09-040,"[Main] If you have 2 or more rested Characters, K.O. up to 1 of your opponent's Characters with a cost of 4 or less.<br>
[Trigger] Rest up to 1 of your opponent's Characters with a cost of 4 or less.",Green,Event,3,,Straw Hat Crew;Supernovas;ODYSSEY,,
600770,Alvida,Alvida,https://tcgplayer-cdn.tcgplayer.com/product/600770_200w.jpg,68,23590,https://cpt.tcgcsv.com/qkQ6,2025-01-16T19:22:43.1,1,1.48,2.97,12.99,2.44,,Normal,UC,OP09-043,"[On K.O.] If your Leader has the ""Cross Guild"" type, play up to 1 Character card with a cost of 5 or less other than [Alvida] from your hand.",Blue,Character,5,6000,Cross Guild,1000,Strike
600771,Izo,Izo,https://tcgplayer-cdn.tcgplayer.com/product/600771_200w.jpg,68,23590,https://cpt.tcgcsv.com/rkQ6,2025-01-16T19:22:52.187,1,0.5,0.66,3.5,0.53,,Normal,UC,OP09-044,"[When Attacking] Look at 5 cards from the top of your deck; reveal up to 1 ""Land of Wano"" type card or card with a type including ""Whitebeard Pirates"" and add it to your hand. Then, place the rest at the bottom of your deck in any order and trash 1 card from your hand.",Blue,Character,3,4000,Land of Wano;Whitebeard Pirates,1000,Ranged
600772,Cabaji,Cabaji,https://tcgplayer-cdn.tcgplayer.com/product/600772_200w.jpg,68,23590,https://cpt.tcgcsv.com/skQ6,2025-01-16T19:23:01.82,1,4.99,6.15,34.99,6.79,,Normal,UC,OP09-045,"If you have a [Buggy] or [Mohji] Character, this Character cannot be K.O.'d in battle.",Blue,Character,5,5000,Cross Guild,2000,Slash
600773,Mohji,Mohji,https://tcgplayer-cdn.tcgplayer.com/product/600773_200w.jpg,68,23590,https://cpt.tcgcsv.com/tkQ6,2025-01-16T19:24:06.563,1,0.4,5.25,11.0,5.0,,Normal,UC,OP09-053,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 [Richie] and add it to your hand. Then, place the rest at the bottom of your deck in any order and play up to 1 [Richie] from your hand.",Blue,Character,5,5000,Cross Guild,2000,Wisdom
600774,Murder at the Steam Bath,Murder at the Steam Bath,https://tcgplayer-cdn.tcgplayer.com/product/600774_200w.jpg,68,23590,https://cpt.tcgcsv.com/vkQ6,2025-01-16T19:25:07.223,1,0.49,0.85,5.0,0.84,,Normal,UC,OP09-059,"[Counter] Up to 1 of your Leader or Character cards gains +3000 power during this battle. Then, trash up to 2 cards from your hand. Trash the same number of cards from the top of your deck as you did from your hand.<br>
[Trigger] Draw 1 card.",Blue,Event,2,,Buggy Pirates,,
600775,Killer,Killer,https://tcgplayer-cdn.tcgplayer.com/product/600775_200w.jpg,68,23590,https://cpt.tcgcsv.com/wkQ6,2025-01-16T19:25:41.49,1,0.88,1.0,3.73,1.1,,Normal,UC,OP09-064,"[On Play] <strong>DON!! 1 <em>(You may return the specified number of DON!! cards from your field to your DON!! deck.)</em></strong>: Set up to 1 of your ""Kid Pirates"" type Leader as active.",Purple,Character,5,5000,Kid Pirates,1000,Slash
600776,Jean Bart,Jean Bart,https://tcgplayer-cdn.tcgplayer.com/product/600776_200w.jpg,68,23590,https://cpt.tcgcsv.com/xkQ6,2025-01-16T19:25:51.543,1,0.35,0.53,1.89,0.51,,Normal,UC,OP09-066,"[On Play] If your opponent has more DON!! cards on their field than you, K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",Purple,Character,4,6000,Heart Pirates,,Strike
