productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extSubtypes,extPower,extCounterplus,extAttribute
649296,Edward.Newgate,EdwardNewgate,https://tcgplayer-cdn.tcgplayer.com/product/649296_200w.jpg,68,24406,https://cpt.tcgcsv.com/XKc7,2025-08-15T13:22:16.11,1,2.0,2.5,3.05,2.7,,Normal,UC,OP12-002,,Red,Character,5,Whitebeard Pirates,6000,2000,Special
649297,Crocus,Crocus,https://tcgplayer-cdn.tcgplayer.com/product/649297_200w.jpg,68,24406,https://cpt.tcgcsv.com/ZKc7,2025-08-15T13:22:10.433,1,1.35,1.92,5.01,1.92,,Normal,UC,OP12-003,[On K.O.] <strong>You may reveal 2 Events from your hand:</strong> Play up to 1 red Character card with 3000 power or less from your hand.,Red,Character,2,Former Roger Pirates,3000,1000,Wisdom
649298,Kouzuki Oden,Kouzuki Oden,https://tcgplayer-cdn.tcgplayer.com/product/649298_200w.jpg,68,24406,https://cpt.tcgcsv.com/-Kc7,2025-08-15T13:22:05.083,1,1.78,1.97,3.08,2.11,,Normal,UC,OP12-004,[Activate: Main] [Once Per Turn] <strong>You may reveal 2 Events from your hand:</strong> This Character gains +2000 power during this turn.,Red,Character,2,Land of Wano;Kouzuki Clan;Roger Pirates,3000,1000,Slash
649299,Douglas Bullet,Douglas Bullet,https://tcgplayer-cdn.tcgplayer.com/product/649299_200w.jpg,68,24406,https://cpt.tcgcsv.com/_Kc7,2025-08-15T13:21:59.56,1,0.3,0.68,2.01,0.68,,Normal,UC,OP12-010,,Red,Character,6,FILM;The Pirates Fest;Former Roger Pirates,7000,2000,Special
649300,Color of Observation Haki,Color of Observation Haki,https://tcgplayer-cdn.tcgplayer.com/product/649300_200w.jpg,68,24406,https://cpt.tcgcsv.com/0Lc7,2025-08-15T13:21:53.87,1,8.72,10.0,10.0,5.91,,Normal,UC,OP12-017,"[Main] <strong>You may give 1 active DON!! card to 1 of your [Silvers Rayleigh]:</strong> Look at 4 cards from the top of your deck; reveal up to 1 red Event or up to 1 Character card with a cost of 3 or more and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Red,Event,,Former Roger Pirates,,,
649301,Kawamatsu,Kawamatsu,https://tcgplayer-cdn.tcgplayer.com/product/649301_200w.jpg,68,24406,https://cpt.tcgcsv.com/2Lc7,2025-08-15T13:21:48.74,1,3.23,4.05,5.2,4.05,,Normal,UC,OP12-023,,Green,Character,5,Fish-Man;Land of Wano;The Akazaya Nine,6000,2000,Slash
649303,Kuina,Kuina,https://tcgplayer-cdn.tcgplayer.com/product/649303_200w.jpg,68,24406,https://cpt.tcgcsv.com/5Lc7,2025-08-15T13:21:42.557,1,6.95,9.99,15.0,9.81,,Normal,UC,OP12-026,"[Activate: Main] <strong>You may rest this Character:</strong> Rest up to 1 of your opponent's Characters with a base cost of 4 or less. Then, give up to 3 rested DON!! cards to your [Roronoa Zoro] Leader.",Green,Character,4,East Blue;Frost Moon Village,1000,1000,Slash
649304,Koushirou,Koushirou,https://tcgplayer-cdn.tcgplayer.com/product/649304_200w.jpg,68,24406,https://cpt.tcgcsv.com/6Lc7,2025-08-15T13:21:37.2,1,8.0,10.0,13.31,9.5,,Normal,UC,OP12-027,"If your (Slash) attribute Character with a cost of 5 or less other than this Character would be K.O.'d by your opponent's effect, you may rest this Character instead.<br>
[Blocker]",Green,Character,2,East Blue;Frost Moon Village,1000,1000,Slash
649305,Shimotsuki Kouzaburou,Shimotsuki Kouzaburou,https://tcgplayer-cdn.tcgplayer.com/product/649305_200w.jpg,68,24406,https://cpt.tcgcsv.com/7Lc7,2025-08-15T13:21:31.867,1,7.35,9.23,10.01,6.36,,Normal,UC,OP12-029,"[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less. Then, K.O. up to 1 of your opponent's rested Characters with a base cost of 1 or less.",Green,Character,3,Land of Wano;East Blue;Frost Moon Village,2000,2000,Slash
649306,Nekomamushi,Nekomamushi,https://tcgplayer-cdn.tcgplayer.com/product/649306_200w.jpg,68,24406,https://cpt.tcgcsv.com/8Lc7,2025-08-15T13:21:24.053,1,0.39,0.5,2.01,0.73,,Normal,UC,OP12-032,,Green,Character,6,Land of Wano;Minks;The Akazaya Nine,7000,2000,Slash
649307,Buggy (049),Buggy 049,https://tcgplayer-cdn.tcgplayer.com/product/649307_200w.jpg,68,24406,https://cpt.tcgcsv.com/9Lc7,2025-08-15T13:20:55.18,1,3.0,3.42,4.7,3.45,,Normal,UC,OP12-049,,Blue,Character,6,The Four Emperors;Cross Guild,7000,2000,Slash
649308,Jaguar.D.Saul,JaguarDSaul,https://tcgplayer-cdn.tcgplayer.com/product/649308_200w.jpg,68,24406,https://cpt.tcgcsv.com/bLc7,2025-08-15T13:20:47.327,1,0.23,0.4,2.95,0.34,,Normal,UC,OP12-050,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>",Blue,Character,6,Giant;Navy;Ohara,7000,1000,Strike
649309,Hina,Hina,https://tcgplayer-cdn.tcgplayer.com/product/649309_200w.jpg,68,24406,https://cpt.tcgcsv.com/cLc7,2025-08-15T13:20:40.963,1,3.0,5.47,7.35,4.17,,Normal,UC,OP12-051,[Activate: Main] <strong>You may rest this Character and trash 1 card from your hand:</strong> Up to 1 of your opponent's Characters with a base cost of 4 or less cannot activate [Blocker] during this turn.,Blue,Character,3,Navy,3000,2000,Special
649310,Mohji & Cabaji,Mohji and Cabaji,https://tcgplayer-cdn.tcgplayer.com/product/649310_200w.jpg,68,24406,https://cpt.tcgcsv.com/dLc7,2025-08-15T13:20:34.957,1,1.69,1.97,7.09,2.51,,Normal,UC,OP12-055,,Blue,Character,5,Cross Guild,6000,2000,Slash;Wisdom
649311,Concasser,Concasser,https://tcgplayer-cdn.tcgplayer.com/product/649311_200w.jpg,68,24406,https://cpt.tcgcsv.com/fLc7,2025-08-15T13:20:28.92,1,5.13,7.9,9.0,4.66,,Normal,UC,OP12-059,"[Main] If your Leader is [Sanji], draw 1 card.<br>
[Counter] If you have 4 or more Events in your trash, up to 1 of your Leader gains +4000 power during this battle.",Blue,Event,1,Straw Hat Crew;Sky Island,,,
649312,Emporio.Ivankov (065),EmporioIvankov 065,https://tcgplayer-cdn.tcgplayer.com/product/649312_200w.jpg,68,24406,https://cpt.tcgcsv.com/gLc7,2025-08-15T13:20:22.953,1,0.93,1.51,7.01,1.51,,Normal,UC,OP12-065,"If you have 4 or more Events in your trash, this Character gains [Blocker].<br>
[On K.O.] Add up to 1 Event from your trash to your hand.",Purple,Character,6,Revolutionary Army;Impel Down,7000,1000,Special
649313,Gin,Gin,https://tcgplayer-cdn.tcgplayer.com/product/649313_200w.jpg,68,24406,https://cpt.tcgcsv.com/hLc7,2025-08-15T13:20:17.077,1,0.5,0.79,5.01,0.8,,Normal,UC,OP12-068,,Purple,Character,6,Krieg Pirates;East Blue,7000,2000,Strike
649314,Zeff,Zeff,https://tcgplayer-cdn.tcgplayer.com/product/649314_200w.jpg,68,24406,https://cpt.tcgcsv.com/jLc7,2025-08-15T13:20:11.68,1,0.29,0.71,5.01,1.42,,Normal,UC,OP12-072,"When a DON!! card on your field is returned to your DON!! deck, if your Leader is [Sanji], this Character gains [Rush] during this turn.<br>
<em>(This card can attack on the turn in which it is played.)</em>",Purple,Character,4,East Blue,5000,1000,Strike
649315,Monet,Monet,https://tcgplayer-cdn.tcgplayer.com/product/649315_200w.jpg,68,24406,https://cpt.tcgcsv.com/kLc7,2025-08-15T13:20:05.433,1,3.49,4.75,7.89,4.99,,Normal,UC,OP12-076,,Purple,Character,5,Donquixote Pirates;Punk Hazard,6000,2000,Special
649316,Brochette Blow,Brochette Blow,https://tcgplayer-cdn.tcgplayer.com/product/649316_200w.jpg,68,24406,https://cpt.tcgcsv.com/lLc7,2025-08-15T13:20:00.103,1,1.86,2.35,4.0,2.41,,Normal,UC,OP12-078,"[Main] If the number of DON!! cards on your field is equal to or less than the number on your opponent's field, draw 1 card. Then, give up to 1 of your opponent's Characters 3000 power during this turn.",Purple,Event,3,Straw Hat Crew,,,
